Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR35329982_1	(1, 29.46254158663016)	(2, 35.7940471601154)	(3, 38.41069051522463)	(4, 38.631469736566174)	(5, 38.6455518272138)	(6, 38.59858528602206)	(7, 38.66027180924772)	(8, 38.79844063938375)	(9, 38.811516655074634)	(10, 38.900628677415625)	(15, 39.15618552583932)	(20, 39.2370074657121)	(25, 39.20271118199916)	(30, 39.19154115919413)	(35, 39.187115581012776)	(40, 39.16872064076106)	(45, 39.13185274188488)	(50, 39.11474206373314)	(55, 39.084147025502)	(60, 39.023920613463225)	(65, 39.04666676064776)	(70, 39.01751887793431)	(75, 39.0129114683282)	(80, 38.97376530671228)	(85, 38.921701746814115)	(90, 38.84390841100696)	(95, 38.7994495968709)	(100, 38.77579102572802)	(105, 38.77150013904432)	(110, 38.72010726941478)	(115, 38.64744309849239)	(120, 38.563068731496294)	(125, 38.51848670343872)	(130, 38.46628765697649)	(135, 38.390351271195684)	(140, 38.37864735346287)	(145, 38.46424536019854)	(150, 37.9604000204105)
fastp | SRR35329982_2	(1, 21.315619498805603)	(2, 32.94218341661364)	(3, 35.09440027572634)	(4, 36.38598213580821)	(5, 37.31184304093361)	(6, 37.94891657185447)	(7, 38.09394540808985)	(8, 38.370374443124156)	(9, 38.4958161443372)	(10, 38.69240500365946)	(15, 38.82257350357049)	(20, 38.93717612582843)	(25, 38.97243426783067)	(30, 38.9817445119455)	(35, 38.982728492523094)	(40, 38.979667326730514)	(45, 38.98241550658059)	(50, 38.94853538793976)	(55, 38.91156217294835)	(60, 38.90131896596832)	(65, 38.902113298892345)	(70, 38.87199303207655)	(75, 38.808960127123825)	(80, 38.800016989902616)	(85, 38.755665830794776)	(90, 38.70113257910855)	(95, 38.63658456201445)	(100, 38.609015117638116)	(105, 38.54479185314423)	(110, 38.47706476491515)	(115, 38.41255981621087)	(120, 38.3426905532945)	(125, 38.25087897021762)	(130, 38.160507440149516)	(135, 38.10573836536173)	(140, 37.99917850623099)	(145, 38.10831635454699)	(150, 37.429535365671626)
fastp | SRR35329983_1	(1, 30.26286448345471)	(2, 36.0799842092326)	(3, 38.401639656316924)	(4, 38.658616378643394)	(5, 38.67424074182668)	(6, 38.692681640675666)	(7, 38.67518786028609)	(8, 38.79927801197467)	(9, 38.81127440311174)	(10, 38.877236944469686)	(15, 39.14347734560818)	(20, 39.21907548075945)	(25, 39.18355556518308)	(30, 39.16924161190954)	(35, 39.163174317820996)	(40, 39.141157078154365)	(45, 39.11017491546469)	(50, 39.10805277761546)	(55, 39.07931247759039)	(60, 39.01744871690839)	(65, 39.02359140751403)	(70, 38.98736290598417)	(75, 38.983100213642935)	(80, 38.94515316251332)	(85, 38.895489940829634)	(90, 38.81966343464019)	(95, 38.77740160420804)	(100, 38.75389194176506)	(105, 38.751542801374384)	(110, 38.700386702479776)	(115, 38.62975715802363)	(120, 38.54378178704187)	(125, 38.498514662355205)	(130, 38.44136547647521)	(135, 38.365061631139646)	(140, 38.348187749867655)	(145, 38.44088082770216)	(150, 37.92737749449359)
fastp | SRR35329983_2	(1, 21.478244636603257)	(2, 33.314134631505624)	(3, 35.414466961849094)	(4, 36.63720685329812)	(5, 37.517590668756085)	(6, 38.100104201475624)	(7, 38.2357508805612)	(8, 38.49198032590673)	(9, 38.59879071926907)	(10, 38.782312413365254)	(15, 38.89654583381942)	(20, 38.99974390247394)	(25, 39.02477049807969)	(30, 39.027163873269984)	(35, 39.02440876120015)	(40, 39.01800359205633)	(45, 39.018031012459645)	(50, 38.98261292643721)	(55, 38.945403941386246)	(60, 38.93227501580856)	(65, 38.9331110214227)	(70, 38.900961484692445)	(75, 38.84132449655789)	(80, 38.82722037844987)	(85, 38.784303904880154)	(90, 38.72935394600847)	(95, 38.66525820985891)	(100, 38.639583709308866)	(105, 38.57669531995271)	(110, 38.50862367765982)	(115, 38.445177943823275)	(120, 38.37489143186142)	(125, 38.28513688269915)	(130, 38.195693964071474)	(135, 38.141349020583036)	(140, 38.03775514301779)	(145, 38.14101396674747)	(150, 37.46197964118616)
fastp | SRR35329984_1	(1, 28.961471961995272)	(2, 35.84952519751945)	(3, 38.32052605117798)	(4, 38.63826227233522)	(5, 38.78138978104952)	(6, 38.62570476645527)	(7, 38.67097736773333)	(8, 38.70144308447187)	(9, 38.81368723893043)	(10, 38.95471112530055)	(15, 39.18919794710001)	(20, 39.26248177291261)	(25, 39.22755802434156)	(30, 39.2170574237544)	(35, 39.20995885165074)	(40, 39.19205581981139)	(45, 39.15920250505674)	(50, 39.148364746607406)	(55, 39.12010009210758)	(60, 39.07134164648876)	(65, 39.07838651961939)	(70, 39.04006122185126)	(75, 39.03302042836109)	(80, 38.99448078523265)	(85, 38.9446789210172)	(90, 38.866738465596065)	(95, 38.8253547928919)	(100, 38.79869517590942)	(105, 38.795812091464256)	(110, 38.741106080359216)	(115, 38.67232361948497)	(120, 38.58650305021128)	(125, 38.544458342084056)	(130, 38.490482132574314)	(135, 38.41842672549443)	(140, 38.40438006891721)	(145, 38.49614089615602)	(150, 37.993423361410564)
fastp | SRR35329984_2	(1, 21.501810808108047)	(2, 33.85625087409676)	(3, 35.89208641733567)	(4, 37.06222825843562)	(5, 37.84112937343168)	(6, 38.35001922048399)	(7, 38.443137810853464)	(8, 38.667063846392054)	(9, 38.74366679265625)	(10, 38.884445658530616)	(15, 38.966469529368695)	(20, 39.05703862376303)	(25, 39.07626509916706)	(30, 39.08045047211244)	(35, 39.07577685381647)	(40, 39.06970843000873)	(45, 39.06570177281698)	(50, 39.02873631003719)	(55, 38.99236237606799)	(60, 38.97564532579156)	(65, 38.97927106930482)	(70, 38.945562532228344)	(75, 38.89695076261079)	(80, 38.88324625376113)	(85, 38.84393402792328)	(90, 38.7927644424604)	(95, 38.7347860232335)	(100, 38.70978104982752)	(105, 38.653902393497404)	(110, 38.59351821805783)	(115, 38.53759139678523)	(120, 38.474081862354375)	(125, 38.39340565749921)	(130, 38.31657604384276)	(135, 38.27110122253585)	(140, 38.18298095217341)	(145, 38.2911175318536)	(150, 37.650724551526956)
fastp | SRR35329985_1	(1, 29.21797898317803)	(2, 35.92837350861778)	(3, 38.4670659497876)	(4, 38.68482731544824)	(5, 38.743775203899084)	(6, 38.73228556147541)	(7, 38.72985895060061)	(8, 38.73376664322579)	(9, 38.77305592032146)	(10, 38.951903698265326)	(15, 39.17194544758055)	(20, 39.24933604085735)	(25, 39.21619305776473)	(30, 39.2044463700196)	(35, 39.19473795962601)	(40, 39.17240165823836)	(45, 39.13645039244163)	(50, 39.131571969972654)	(55, 39.100643830376704)	(60, 39.040997697426235)	(65, 39.051918251106926)	(70, 39.00700317466285)	(75, 38.99745411165973)	(80, 38.95504587934737)	(85, 38.90289412857059)	(90, 38.82344626025311)	(95, 38.7773786296319)	(100, 38.750798002981384)	(105, 38.74260319383269)	(110, 38.688601899723764)	(115, 38.61720014878411)	(120, 38.533541658581704)	(125, 38.48920480486638)	(130, 38.43848212864982)	(135, 38.36735062221369)	(140, 38.359156741396006)	(145, 38.46215873259585)	(150, 37.95190059570228)
fastp | SRR35329985_2	(1, 20.597237088731912)	(2, 33.84960255961767)	(3, 35.71928515404268)	(4, 36.960821806722684)	(5, 37.793069011050555)	(6, 38.30034793006832)	(7, 38.40875918031356)	(8, 38.63433245593657)	(9, 38.7246466097885)	(10, 38.88157847651687)	(15, 38.988090757754655)	(20, 39.0833796287074)	(25, 39.10592516895274)	(30, 39.10990876581419)	(35, 39.10791460735827)	(40, 39.101914618298295)	(45, 39.10055067694158)	(50, 39.064559977684624)	(55, 39.02906754751886)	(60, 39.014769960341006)	(65, 39.01681005278093)	(70, 38.98703255217636)	(75, 38.92662576107292)	(80, 38.91920607075177)	(85, 38.879574831097706)	(90, 38.82972667144928)	(95, 38.76976782844516)	(100, 38.74648614982815)	(105, 38.68964621105147)	(110, 38.63038944268671)	(115, 38.57333965667881)	(120, 38.51154550559565)	(125, 38.42985080308627)	(130, 38.35411566367726)	(135, 38.30718631945455)	(140, 38.21957434152982)	(145, 38.32451664437109)	(150, 37.67426646889052)
fastp | SRR35329986_1	(1, 28.285241529467555)	(2, 36.081305197773425)	(3, 38.43327602993189)	(4, 38.6191407272021)	(5, 38.64331455857744)	(6, 38.78743115075682)	(7, 38.73645769740915)	(8, 38.66672894599373)	(9, 38.75297689654551)	(10, 38.94317631345264)	(15, 39.16960620453337)	(20, 39.25277775251173)	(25, 39.22477825474135)	(30, 39.212138187847174)	(35, 39.206408755818174)	(40, 39.18230743351696)	(45, 39.16018092038376)	(50, 39.14468228651745)	(55, 39.12294772196447)	(60, 39.07326673284696)	(65, 39.070991583467354)	(70, 39.03054215146683)	(75, 39.02477837389439)	(80, 38.98685360550692)	(85, 38.936741225809214)	(90, 38.86332376673985)	(95, 38.81940483697783)	(100, 38.79634013664985)	(105, 38.7896530734586)	(110, 38.738708193816294)	(115, 38.667759295358294)	(120, 38.58529393182593)	(125, 38.53977001428321)	(130, 38.48796138198203)	(135, 38.413935081944274)	(140, 38.40001946920502)	(145, 38.494456630882084)	(150, 37.986673660852134)
fastp | SRR35329986_2	(1, 21.19950010674163)	(2, 33.923477469312004)	(3, 35.938703926540356)	(4, 37.10755620165304)	(5, 37.87116959399122)	(6, 38.35987896908095)	(7, 38.460821291682514)	(8, 38.66787997211341)	(9, 38.76324975740133)	(10, 38.91647020321217)	(15, 39.00377429130067)	(20, 39.093310119481075)	(25, 39.108725237413175)	(30, 39.107651208323944)	(35, 39.10439162383766)	(40, 39.097445902115034)	(45, 39.09564036923801)	(50, 39.0605034307719)	(55, 39.02500062761514)	(60, 39.01324943504398)	(65, 39.01579734058616)	(70, 38.984148373137586)	(75, 38.93234007135002)	(80, 38.91451395745213)	(85, 38.874942562550615)	(90, 38.82480648187609)	(95, 38.76482127610325)	(100, 38.74055768726963)	(105, 38.68369333369284)	(110, 38.621821380763)	(115, 38.56320771233688)	(120, 38.49951369443268)	(125, 38.41622090822126)	(130, 38.339303892796366)	(135, 38.29207098448467)	(140, 38.20189401748402)	(145, 38.30882319153444)	(150, 37.6716963010566)
