Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR35329977_1	(1.0, 20.617621472321456)	(2.0, 8.351986068410898)	(3.0, 5.372772916925564)	(4.0, 4.2465286572109955)	(5.0, 3.3509134193421586)	(6.0, 2.9203471771187783)	(7.0, 2.4441704369051065)	(8.0, 2.1277843105810943)	(9.0, 1.9051791260014113)	('>10', 25.275691010422058)	('>50', 7.527296209246005)	('>100', 10.791708229148222)	('>500', 2.4123464375309345)	('>1k', 2.4329318529509045)	('>5k', 0.1724934382731977)	('>10k+', 0.05022923761131409)
fastp | SRR35329977_2	(1.0, 26.67997148086175)	(2.0, 11.906005714965834)	(3.0, 7.478698246065616)	(4.0, 5.341074067611822)	(5.0, 4.11668317285236)	(6.0, 3.2479538788629374)	(7.0, 2.710961828932066)	(8.0, 2.2931666711630547)	(9.0, 1.9476070881905578)	('>10', 20.648364577615123)	('>50', 5.010810264537873)	('>100', 6.461826572181647)	('>500', 1.2421790225970122)	('>1k', 0.8106631183792522)	('>5k', 0.012235696761569697)	('>10k+', 0.09179859842128214)
fastp | SRR35329978_1	(1.0, 22.962458675427495)	(2.0, 9.60357279111554)	(3.0, 6.183651690222758)	(4.0, 4.558418213822604)	(5.0, 3.6244665894190224)	(6.0, 3.0084952400549243)	(7.0, 2.592575502283151)	(8.0, 2.1749731995303487)	(9.0, 1.9418070332313329)	('>10', 23.84000597823912)	('>50', 6.480459184413408)	('>100', 8.892701848480458)	('>500', 2.0802837666038467)	('>1k', 1.8905565792231425)	('>5k', 0.08829396545467824)	('>10k+', 0.07727974247853908)
fastp | SRR35329978_2	(1.0, 29.346958779440957)	(2.0, 12.471607822784673)	(3.0, 7.597979371390736)	(4.0, 5.130036848097154)	(5.0, 4.067322933949505)	(6.0, 3.1755909545579533)	(7.0, 2.5686141296123655)	(8.0, 2.19822565438497)	(9.0, 1.755763367435741)	('>10', 19.113833796428885)	('>50', 4.4574695748493705)	('>100', 6.0836775884595555)	('>500', 1.1147143452275332)	('>1k', 0.6968825427320883)	('>5k', 0.011927153848158123)	('>10k+', 0.20939513680031532)
fastp | SRR35329979_1	(1.0, 20.65602337544412)	(2.0, 8.460187368551694)	(3.0, 5.686940888192691)	(4.0, 4.286918474853463)	(5.0, 3.3702786584975772)	(6.0, 2.7994893050385343)	(7.0, 2.512659116333884)	(8.0, 2.1610245507562893)	(9.0, 1.9572354011268511)	('>10', 25.369793146696008)	('>50', 7.495158849345119)	('>100', 10.433676433343692)	('>500', 2.3571518638728977)	('>1k', 2.2323584072574887)	('>5k', 0.1434589435433989)	('>10k+', 0.07764521714614728)
fastp | SRR35329979_2	(1.0, 28.34498412994886)	(2.0, 12.230848995620276)	(3.0, 7.745456135806429)	(4.0, 5.451763711485133)	(5.0, 4.036059344364587)	(6.0, 3.4063245379425005)	(7.0, 2.55817272125784)	(8.0, 2.324072420995943)	(9.0, 1.8835932204574495)	('>10', 19.681750104005168)	('>50', 4.686945456110455)	('>100', 6.051291134317308)	('>500', 1.0017414493831835)	('>1k', 0.5099585371772775)	('>5k', 0.016725971536469864)	('>10k+', 0.07031212959130137)
fastp | SRR35329980_1	(1.0, 25.683065045011368)	(2.0, 10.300307178020795)	(3.0, 6.294955038804016)	(4.0, 4.83391246177712)	(5.0, 3.8142176510308277)	(6.0, 3.042891260184943)	(7.0, 2.5660435652726252)	(8.0, 2.145437721769936)	(9.0, 1.9187645736460974)	('>10', 22.78634338523333)	('>50', 5.831934257226899)	('>100', 7.782687186293498)	('>500', 1.6497778192723018)	('>1k', 1.2716673261048452)	('>5k', 0.058302654654418626)	('>10k+', 0.01969287569685333)
fastp | SRR35329980_2	(1.0, 31.533752725767606)	(2.0, 13.107849349112143)	(3.0, 7.84437280678163)	(4.0, 5.355084572912001)	(5.0, 3.9673338287969395)	(6.0, 3.1801829369734644)	(7.0, 2.5833352069125333)	(8.0, 2.1330189393417296)	(9.0, 1.8099261772626347)	('>10', 17.984670827474353)	('>50', 4.132482324216788)	('>100', 5.001902502772641)	('>500', 0.8623093358662067)	('>1k', 0.4244103242766622)	('>5k', 0.01431560269377254)	('>10k+', 0.06505253883899846)
fastp | SRR35329981_1	(1.0, 22.93729222012483)	(2.0, 9.48952455941762)	(3.0, 6.0013265205617135)	(4.0, 4.507234870996364)	(5.0, 3.575461811868217)	(6.0, 2.9017343075057935)	(7.0, 2.4923579685030584)	(8.0, 2.120886406699473)	(9.0, 1.8980889837936215)	('>10', 23.620236281730502)	('>50', 6.6087324242543515)	('>100', 9.502779455701663)	('>500', 2.0920756092555965)	('>1k', 2.064046498005482)	('>5k', 0.11586829765532831)	('>10k+', 0.07235378392682688)
fastp | SRR35329981_2	(1.0, 29.516453832429264)	(2.0, 12.783343135638198)	(3.0, 7.723926598478986)	(4.0, 5.265348863740755)	(5.0, 4.102294380192972)	(6.0, 3.1836890589064777)	(7.0, 2.602233616503303)	(8.0, 2.055322857680103)	(9.0, 1.7375026788670427)	('>10', 18.8198235271256)	('>50', 4.400886375336727)	('>100', 5.8356019307519675)	('>500', 1.1452619859025521)	('>1k', 0.577160838726691)	('>5k', 0.021397875218231714)	('>10k+', 0.2297524445007807)
