Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
fastp | SRR35329982_1	(18.0, 522.0)	(19.0, 6996.0)	(20.0, 28565.0)	(21.0, 56257.0)	(22.0, 82408.0)	(23.0, 107825.0)	(24.0, 134557.0)	(25.0, 165591.0)	(26.0, 197534.0)	(27.0, 229502.0)	(28.0, 266103.0)	(29.0, 308092.0)	(30.0, 352228.0)	(31.0, 422914.0)	(32.0, 509858.0)	(33.0, 610243.0)	(34.0, 783267.0)	(35.0, 1032774.0)	(36.0, 1637916.0)	(37.0, 2804759.0)	(38.0, 6998245.0)	(39.0, 41218986.0)	(40.0, 11330948.0)	
fastp | SRR35329982_2	(17.0, 3.0)	(18.0, 6724.0)	(19.0, 35392.0)	(20.0, 89860.0)	(21.0, 137006.0)	(22.0, 171793.0)	(23.0, 201835.0)	(24.0, 228283.0)	(25.0, 256841.0)	(26.0, 281307.0)	(27.0, 304685.0)	(28.0, 334013.0)	(29.0, 369651.0)	(30.0, 407578.0)	(31.0, 469051.0)	(32.0, 546265.0)	(33.0, 658508.0)	(34.0, 860704.0)	(35.0, 1154317.0)	(36.0, 1841185.0)	(37.0, 3184352.0)	(38.0, 8729462.0)	(39.0, 43956472.0)	(40.0, 5060803.0)
fastp | SRR35329983_1	(18.0, 599.0)	(19.0, 7836.0)	(20.0, 31634.0)	(21.0, 61299.0)	(22.0, 88346.0)	(23.0, 114868.0)	(24.0, 141259.0)	(25.0, 173521.0)	(26.0, 205948.0)	(27.0, 237702.0)	(28.0, 272825.0)	(29.0, 312949.0)	(30.0, 354920.0)	(31.0, 416298.0)	(32.0, 497011.0)	(33.0, 595684.0)	(34.0, 767429.0)	(35.0, 1021970.0)	(36.0, 1597796.0)	(37.0, 2696622.0)	(38.0, 6539347.0)	(39.0, 39200961.0)	(40.0, 12431890.0)	
fastp | SRR35329983_2	(17.0, 3.0)	(18.0, 5415.0)	(19.0, 30108.0)	(20.0, 77718.0)	(21.0, 121385.0)	(22.0, 154235.0)	(23.0, 183595.0)	(24.0, 210752.0)	(25.0, 237981.0)	(26.0, 264007.0)	(27.0, 286139.0)	(28.0, 315905.0)	(29.0, 351571.0)	(30.0, 388403.0)	(31.0, 449297.0)	(32.0, 521661.0)	(33.0, 631388.0)	(34.0, 824157.0)	(35.0, 1107957.0)	(36.0, 1767042.0)	(37.0, 3044471.0)	(38.0, 8236481.0)	(39.0, 43178904.0)	(40.0, 5380139.0)
fastp | SRR35329984_1	(17.0, 1.0)	(18.0, 486.0)	(19.0, 6218.0)	(20.0, 24946.0)	(21.0, 48728.0)	(22.0, 70265.0)	(23.0, 93054.0)	(24.0, 116518.0)	(25.0, 141486.0)	(26.0, 169438.0)	(27.0, 196602.0)	(28.0, 227079.0)	(29.0, 260950.0)	(30.0, 298166.0)	(31.0, 355289.0)	(32.0, 421794.0)	(33.0, 505243.0)	(34.0, 642370.0)	(35.0, 859355.0)	(36.0, 1363020.0)	(37.0, 2324522.0)	(38.0, 5809268.0)	(39.0, 35792172.0)	(40.0, 9891716.0)
fastp | SRR35329984_2	(17.0, 4.0)	(18.0, 5059.0)	(19.0, 28173.0)	(20.0, 71185.0)	(21.0, 107561.0)	(22.0, 134490.0)	(23.0, 158687.0)	(24.0, 180968.0)	(25.0, 203058.0)	(26.0, 223787.0)	(27.0, 242020.0)	(28.0, 264528.0)	(29.0, 292744.0)	(30.0, 321594.0)	(31.0, 369188.0)	(32.0, 426307.0)	(33.0, 507712.0)	(34.0, 661521.0)	(35.0, 882263.0)	(36.0, 1396191.0)	(37.0, 2383668.0)	(38.0, 6416089.0)	(39.0, 39244532.0)	(40.0, 5097357.0)
fastp | SRR35329985_1	(18.0, 515.0)	(19.0, 6760.0)	(20.0, 26707.0)	(21.0, 51487.0)	(22.0, 73258.0)	(23.0, 95600.0)	(24.0, 117822.0)	(25.0, 142963.0)	(26.0, 168967.0)	(27.0, 194269.0)	(28.0, 222150.0)	(29.0, 255131.0)	(30.0, 287792.0)	(31.0, 335315.0)	(32.0, 398885.0)	(33.0, 478617.0)	(34.0, 627583.0)	(35.0, 825594.0)	(36.0, 1283443.0)	(37.0, 2179191.0)	(38.0, 5392806.0)	(39.0, 33658177.0)	(40.0, 8999680.0)	
fastp | SRR35329985_2	(18.0, 4094.0)	(19.0, 23486.0)	(20.0, 60966.0)	(21.0, 93759.0)	(22.0, 119047.0)	(23.0, 141300.0)	(24.0, 163196.0)	(25.0, 182793.0)	(26.0, 203631.0)	(27.0, 220065.0)	(28.0, 241590.0)	(29.0, 267354.0)	(30.0, 294426.0)	(31.0, 338152.0)	(32.0, 395036.0)	(33.0, 472551.0)	(34.0, 616019.0)	(35.0, 824656.0)	(36.0, 1307701.0)	(37.0, 2244877.0)	(38.0, 5979582.0)	(39.0, 37319192.0)	(40.0, 4309239.0)	
fastp | SRR35329986_1	(17.0, 1.0)	(18.0, 558.0)	(19.0, 6283.0)	(20.0, 25228.0)	(21.0, 48471.0)	(22.0, 69938.0)	(23.0, 90351.0)	(24.0, 112320.0)	(25.0, 136497.0)	(26.0, 162021.0)	(27.0, 186915.0)	(28.0, 215901.0)	(29.0, 248872.0)	(30.0, 283278.0)	(31.0, 337972.0)	(32.0, 397025.0)	(33.0, 465084.0)	(34.0, 604609.0)	(35.0, 811407.0)	(36.0, 1282178.0)	(37.0, 2186489.0)	(38.0, 5475934.0)	(39.0, 34338393.0)	(40.0, 8584245.0)
fastp | SRR35329986_2	(17.0, 1.0)	(18.0, 4235.0)	(19.0, 24023.0)	(20.0, 61042.0)	(21.0, 93036.0)	(22.0, 117260.0)	(23.0, 140159.0)	(24.0, 160421.0)	(25.0, 180802.0)	(26.0, 200527.0)	(27.0, 216935.0)	(28.0, 239493.0)	(29.0, 266596.0)	(30.0, 293745.0)	(31.0, 339032.0)	(32.0, 393088.0)	(33.0, 471703.0)	(34.0, 614633.0)	(35.0, 819940.0)	(36.0, 1306403.0)	(37.0, 2243073.0)	(38.0, 6064932.0)	(39.0, 37296220.0)	(40.0, 4522671.0)
