contrast_id	genes_tested	significant_padj_lt_0_05	top_abs_log2fc	median_abs_log2fc
geno_in_contra	16891	891	4.697306382875	0.0986011649653819
geno_in_ipsi	21466	2	4.89581594336687	0.050533822535832
