fail_count,warn_count,severity
3,2,11
3,2,11
3,2,11
3,2,11
3,2,11
3,2,11
3,2,11
3,2,11
3,1,10
3,1,10
3,1,10
3,1,10
3,1,10
3,1,10
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
3,0,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,3,9
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
2,2,8
