source	total_terms	strongest_term_neglog10	median_overlap_fraction
GO:BP	20	5.902943710950225	0.25274725274725274
KEGG	1	2.0534732387869	0.09302325581395349
REAC	1	1.3016844526362865	0.05660377358490566
