Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastqc_fastp_trim | SRR30333748_1	(1, 0.001990895500036804)	(2, 0.07298099400732523)	(3, 0.28719976344036896)	(4, 0.09133530550965656)	(5, 0.0029903091773461157)	(6, 0.0018116355864876731)	(7, 0.08201379000510177)	(8, 0.04076180069597265)	(9, 0.0)	(10, 0.12029165112023169)	(15, 6.345509495663125e-07)	(20, 0.05625599731516486)	(25, 0.008650023732913665)	(30, 0.009674361425912478)	(35, 0.09718592597010824)	(40, 0.11098660480166599)	(45, 0.005174143195147645)	(50, 0.01977808507286378)	(55, 0.04335747904366283)	(60, 0.033635570894742124)	(65, 0.02700733668726672)	(70, 0.032322956806083894)	(75, 0.020684730481956234)	(80, 0.005702849994476806)	(85, 0.024190995745019605)	(90, 0.023726338929989776)	(95, 0.0447911216995723)	(100, 0.10854519602269382)	(105, 0.009985350082732868)	(110, 0.02347990337251447)	(115, 0.044449208864768164)	(120, 0.08998456580376271)	(125, 0.014220962502241998)	(130, 0.07287143191921887)	(135, 0.08125464601136304)	(140, 0.03483963487840058)	(145, 0.0010575641422145882)	(150, 0.008248252760317517)
fastqc_fastp_trim | SRR30333748_2	(1, 0.06586136133468365)	(2, 0.0414423538190928)	(3, 0.0001475324952218508)	(4, 0.0010152773864729517)	(5, 0.04877931930727624)	(6, 0.0)	(7, 0.07307300352047434)	(8, 0.08596068084501536)	(9, 4.759112749091961e-05)	(10, 0.08075040420730949)	(15, 0.04038594521261518)	(20, 0.08418606977175108)	(25, 0.024410223230945726)	(30, 0.02741334266402293)	(35, 0.023204113833956645)	(40, 0.03663631562974313)	(45, 0.03760412388622994)	(50, 0.1263860216780662)	(55, 0.023565208211379578)	(60, 0.013243283622920321)	(65, 0.012315765972418702)	(70, 0.016334459083782223)	(75, 0.06008955246050798)	(80, 0.08027852402677452)	(85, 0.05632985377919628)	(90, 0.009007482712238961)	(95, 0.004457190733314255)	(100, 0.07277947442098885)	(105, 0.009046578630494715)	(110, 0.028899477695703425)	(115, 0.013582463246333446)	(120, 0.03041684410312365)	(125, 0.009900019427774536)	(130, 0.07225857067872796)	(135, 0.041079152042256)	(140, 0.06846924230683635)	(145, 0.04859190466674805)	(150, 0.07186067257345531)
fastqc_fastp_trim | SRR30333749_1	(1, 0.0057477518285313795)	(2, 0.06489597062850418)	(3, 0.22129522112476321)	(4, 0.07732846043747302)	(5, 0.0018100868843640414)	(6, 0.0010899239742213427)	(7, 0.06377313598365804)	(8, 0.03138516424525117)	(9, 0.0)	(10, 0.09614252287277089)	(15, 0.0008452245973738946)	(20, 0.043112442017370196)	(25, 0.006655376493571858)	(30, 0.013420847854919541)	(35, 0.07528005121893298)	(40, 0.08478485355509102)	(45, 0.003891570792217201)	(50, 0.015403792049520004)	(55, 0.03957893885347994)	(60, 0.025874925769552998)	(65, 0.020731965177713023)	(70, 0.023691711527093425)	(75, 0.016108612823461137)	(80, 0.004252083180708815)	(85, 0.018737906849742685)	(90, 0.028978709572082158)	(95, 0.03401781697641543)	(100, 0.0833561101635457)	(105, 0.00763485863896659)	(110, 0.01795126311584253)	(115, 0.03381374731309074)	(120, 0.06893042709945688)	(125, 0.011138303707006254)	(130, 0.055526023074810804)	(135, 0.06227511448758529)	(140, 0.026556957957756904)	(145, 0.000650954610581433)	(150, 0.006423255575831092)
fastqc_fastp_trim | SRR30333749_2	(1, 0.14260774358266606)	(2, 0.039481189218952155)	(3, 0.00013745044790357963)	(4, 0.055514493578634506)	(5, 0.03715033936999568)	(6, 1.935921801458868e-06)	(7, 0.055874575033705846)	(8, 0.06643115661706106)	(9, 0.007484273684439984)	(10, 0.06531064507837667)	(15, 0.057715366354661006)	(20, 0.06342089796857985)	(25, 0.020414170073113195)	(30, 0.0285574317598282)	(35, 0.017667410319258368)	(40, 0.0338207448094638)	(45, 0.029102480305152337)	(50, 0.09792792747779094)	(55, 0.018282733321901865)	(60, 0.0101077126773688)	(65, 0.009563084687521322)	(70, 0.01115270322242167)	(75, 0.04497981430822052)	(80, 0.06163603629424094)	(85, 0.043193685075570865)	(90, 0.007008868105307695)	(95, 0.0036571354449662845)	(100, 0.05605245292514356)	(105, 0.006739870832794063)	(110, 0.02226453760917549)	(115, 0.010597816667346523)	(120, 0.023178985705268496)	(125, 0.019658855866401086)	(130, 0.05539217149268109)	(135, 0.03704999459511664)	(140, 0.05367626699099788)	(145, 0.042469343892862985)	(150, 0.08253494143243394)
fastqc_fastp_trim | SRR30333750_1	(1, 0.0018514097963257701)	(2, 0.07338121732960583)	(3, 0.2907641987025854)	(4, 0.09156836831733683)	(5, 0.002801297163092701)	(6, 0.0016676230349350195)	(7, 0.08262859332379306)	(8, 0.04196722331420578)	(9, 0.0)	(10, 0.12142539827413397)	(15, 0.0)	(20, 0.0569986154643498)	(25, 0.008880377889388967)	(30, 0.00981192811313581)	(35, 0.09853173776341657)	(40, 0.11200792886673928)	(45, 0.005097706137529028)	(50, 0.01981296624920334)	(55, 0.043737681206078544)	(60, 0.0337259759296702)	(65, 0.02762235554338652)	(70, 0.03146208193591955)	(75, 0.021031541239545423)	(80, 0.005708006385377951)	(85, 0.0245070254225198)	(90, 0.0239677848036512)	(95, 0.04502975635627342)	(100, 0.10958498669547027)	(105, 0.010100708345846792)	(110, 0.023693688079036615)	(115, 0.044682963850432474)	(120, 0.09212346668708833)	(125, 0.014193189352734132)	(130, 0.07305360194275808)	(135, 0.08305082855545488)	(140, 0.03520006839745172)	(145, 0.001032916361998218)	(150, 0.008488936303603933)
fastqc_fastp_trim | SRR30333750_2	(1, 0.06492509170814299)	(2, 0.04069038897191214)	(3, 0.00016057159153086615)	(4, 0.0009750371341151389)	(5, 0.04995130714851763)	(6, 0.0)	(7, 0.0738532591167568)	(8, 0.08666222908694794)	(9, 5.416872967306328e-05)	(10, 0.08172552321624356)	(15, 0.040286567535345756)	(20, 0.08369077874208099)	(25, 0.024668852212855363)	(30, 0.027704321450455878)	(35, 0.02248713963374903)	(40, 0.036980835744983245)	(45, 0.03815965785776468)	(50, 0.1278969296248173)	(55, 0.023874833976979135)	(60, 0.013160992306779555)	(65, 0.012484000285499538)	(70, 0.01636457081749039)	(75, 0.059598901010035704)	(80, 0.08073969104312351)	(85, 0.0569600774809735)	(90, 0.009109933168009487)	(95, 0.004544580017964433)	(100, 0.07319531928489804)	(105, 0.009072987859392031)	(110, 0.029323234109291156)	(115, 0.013602900446154151)	(120, 0.030775388799885013)	(125, 0.010041622906248101)	(130, 0.07322616153011753)	(135, 0.041452754476335264)	(140, 0.06926341554102415)	(145, 0.049187565450036386)	(150, 0.07222852891759356)
fastqc_fastp_trim | SRR30333751_1	(1, 0.001972780712390376)	(2, 0.0775891849281648)	(3, 0.3024188685049841)	(4, 0.09653161963576147)	(5, 0.002999374656563187)	(6, 0.0018512349812952339)	(7, 0.08640405533404937)	(8, 0.04380695142101358)	(9, 0.0)	(10, 0.1263533322435356)	(15, 0.0)	(20, 0.060030924411946754)	(25, 0.009214483392165268)	(30, 0.01019568069810399)	(35, 0.10262393181203049)	(40, 0.11567382779366889)	(45, 0.00534179229983839)	(50, 0.020549204553766614)	(55, 0.045364379058573295)	(60, 0.034956083575726125)	(65, 0.029506656267624356)	(70, 0.03263667939325119)	(75, 0.023014704064759316)	(80, 0.00600254197275862)	(85, 0.025230232517090986)	(90, 0.024836789864982393)	(95, 0.04667980366279071)	(100, 0.11358017130090303)	(105, 0.01045694785238463)	(110, 0.024640860896630767)	(115, 0.04595326595930988)	(120, 0.0937319213840932)	(125, 0.014649863720642291)	(130, 0.07561361697626391)	(135, 0.08472358285035783)	(140, 0.03672837616299455)	(145, 0.0011204235696020896)	(150, 0.009078808006295748)
fastqc_fastp_trim | SRR30333751_2	(1, 0.06712690238235991)	(2, 0.042483037919238804)	(3, 0.00017764376083136084)	(4, 0.001039683484444596)	(5, 0.05043212873286107)	(6, 3.7398686490812805e-06)	(7, 0.07560331467550263)	(8, 0.09134068195083667)	(9, 5.7967964060759855e-05)	(10, 0.08405242592750706)	(15, 0.04117160025140676)	(20, 0.08704490784371985)	(25, 0.025470084874252962)	(30, 0.028797199995712473)	(35, 0.023397300441647048)	(40, 0.03823189974476293)	(45, 0.03977819172938752)	(50, 0.13240385143153952)	(55, 0.02469324165878105)	(60, 0.013754709372272732)	(65, 0.013424680372967136)	(70, 0.016216370457200938)	(75, 0.06163199232808692)	(80, 0.08399089881826173)	(85, 0.058532619830343524)	(90, 0.009481777079747069)	(95, 0.004717310081285246)	(100, 0.07610730746390089)	(105, 0.009476791898293608)	(110, 0.03015585144617348)	(115, 0.014342190737969227)	(120, 0.03156565367739167)	(125, 0.0103886938322741)	(130, 0.07596076704763981)	(135, 0.04271831593880528)	(140, 0.07202044832310692)	(145, 0.05072437766000695)	(150, 0.07529941463438301)
fastqc_fastp_trim | SRR30333752_1	(1, 0.0019230028946144386)	(2, 0.07353966083162387)	(3, 0.294645039722604)	(4, 0.09308411030525265)	(5, 0.0028523674371787786)	(6, 0.0015547313375609054)	(7, 0.084179581996496)	(8, 0.04179534746560378)	(9, 0.0)	(10, 0.12374862367191201)	(15, 0.0)	(20, 0.058867647616705564)	(25, 0.008886663767909999)	(30, 0.009925346606431334)	(35, 0.10060653110144961)	(40, 0.11455830704589101)	(45, 0.005259563746089868)	(50, 0.019982049674287863)	(55, 0.044531858149766124)	(60, 0.03437333662732435)	(65, 0.028924663414136322)	(70, 0.03206251178820171)	(75, 0.02224286828755412)	(80, 0.005717240036979458)	(85, 0.0248848117095746)	(90, 0.024459060452223333)	(95, 0.04614318148069511)	(100, 0.11083814712449548)	(105, 0.010362527902506025)	(110, 0.02421602743260917)	(115, 0.04534847928022043)	(120, 0.09394550829120403)	(125, 0.014616853366655568)	(130, 0.07452474674633748)	(135, 0.0842425971344041)	(140, 0.03589257798653275)	(145, 0.0010634005931211082)	(150, 0.008617595586283626)
fastqc_fastp_trim | SRR30333752_2	(1, 0.06269823258836399)	(2, 0.04094762803238622)	(3, 0.00015460456876303976)	(4, 0.0010405408616748406)	(5, 0.04960374675313035)	(6, 5.211389958304712e-06)	(7, 0.07512566050893461)	(8, 0.08822883199409876)	(9, 3.995398968033612e-05)	(10, 0.08287534480293093)	(15, 0.0403459983431903)	(20, 0.08546071437527665)	(25, 0.025401770220540264)	(30, 0.028049615908086398)	(35, 0.02297005041625342)	(40, 0.03774623893906485)	(45, 0.038546674589947025)	(50, 0.1301512749660106)	(55, 0.024346213523500936)	(60, 0.013506398701647635)	(65, 0.012542414004819043)	(70, 0.01619646988825892)	(75, 0.06120059807510532)	(80, 0.08250869045501413)	(85, 0.05801308770018555)	(90, 0.009114180443514273)	(95, 0.004575585969483277)	(100, 0.07447118127878874)	(105, 0.009065496034086174)	(110, 0.02969640557556483)	(115, 0.013894515250873558)	(120, 0.031164407312726305)	(125, 0.010331739521193619)	(130, 0.07417198197205827)	(135, 0.04220819162894817)	(140, 0.07084214479959389)	(145, 0.04989380653837832)	(150, 0.07482946584508944)
