Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
fastqc_fastp_trim | SRR30333743_1 - polya	(1, 0.0007781933784536873)	(2, 0.0015811568379191629)	(3, 0.0021508687011902975)	(4, 0.0033171266821620036)	(5, 0.004456550408704273)	(6, 0.005808583997264393)	(7, 0.007843858987066344)	(8, 0.010347701342674626)	(9, 0.013382036266618711)	(10, 0.020136837358533423)	(15, 0.028317156612676565)	(20, 0.035539699401030536)	(25, 0.042143815833456874)	(30, 0.0488585719610692)	(35, 0.055289297826412995)	(40, 0.061041736306717345)	(45, 0.06678302825056638)	(50, 0.07256642933213545)	(55, 0.07748865726386135)	(60, 0.08188699798218792)	(65, 0.08678197882480083)	(70, 0.09261946124991231)	(75, 0.09726674128240738)	(80, 0.10171338365870693)	(85, 0.10611089870766643)	(90, 0.11027516216043161)	(95, 0.11404516849042581)	(100, 0.11773549772649876)	(105, 0.12090606809600768)	(110, 0.12442507093841577)	(115, 0.1279424224420897)	(120, 0.13093795090578203)	(125, 0.1337427497456835)	(130, 0.13677625900026052)	(135, 0.1398725191267341)	(140, 0.14166628582667112)
fastqc_fastp_trim | SRR30333743_2 - polya	(1, 0.00416137360998046)	(2, 0.006083119061811714)	(3, 0.007073922302283252)	(4, 0.00791404088326641)	(5, 0.008675720874378906)	(6, 0.009358962275620736)	(7, 0.010027754462939025)	(8, 0.011334376236310867)	(9, 0.01289489134005354)	(10, 0.01600064666424828)	(15, 0.020655357721046864)	(20, 0.02519942908265945)	(25, 0.030015145666034658)	(30, 0.03447582442157423)	(35, 0.03914787453508106)	(40, 0.04383519953187849)	(45, 0.04834294144134046)	(50, 0.0539471722702576)	(55, 0.05871045884882452)	(60, 0.06433079023039931)	(65, 0.07649826685807334)	(70, 0.09169471155880557)	(75, 0.09642538419737362)	(80, 0.10154370860377618)	(85, 0.10687423003751306)	(90, 0.11212796422011337)	(95, 0.11682726142273318)	(100, 0.1217734337661038)	(105, 0.1268397410023816)	(110, 0.13123601754729053)	(115, 0.1354126660405616)	(120, 0.13941096995054778)	(125, 0.14349266646660697)	(130, 0.14728826854698002)	(135, 0.15052984648205608)	(140, 0.1523958592516108)
fastqc_fastp_trim | SRR30333743_2 - polyg	(1, 0.09045207916138083)	(2, 0.1193732129160615)	(3, 0.12029796260716827)	(4, 0.1205518559375391)	(5, 0.12074795241221577)	(6, 0.12101835912992778)	(7, 0.12128050915396921)	(8, 0.12159426351345187)	(9, 0.121969943075464)	(10, 0.12301565332884498)	(15, 0.12403700633589773)	(20, 0.12446387739866756)	(25, 0.12484533664624911)	(30, 0.12530812432648603)	(35, 0.12581136980570884)	(40, 0.12630429441784347)	(45, 0.1267398350089674)	(50, 0.12736238971173033)	(55, 0.12805801615347806)	(60, 0.1289435465496495)	(65, 0.12981132505442916)	(70, 0.13074928545540887)	(75, 0.13158692702829086)	(80, 0.13253727246977648)	(85, 0.1335074339760715)	(90, 0.13425383908389343)	(95, 0.13499652867956352)	(100, 0.13573343858966425)	(105, 0.13648686188710615)	(110, 0.13721138675670094)	(115, 0.13788554579490514)	(120, 0.13855268664348933)	(125, 0.1391801953624546)	(130, 0.13966734028901978)	(135, 0.14004714819786718)	(140, 0.14008100064191664)
fastqc_fastp_trim | SRR30333744_1 - polya	(1, 0.000647698219484485)	(2, 0.0015158894498573054)	(3, 0.0021865556913093255)	(4, 0.003387783240211402)	(5, 0.004464983470488791)	(6, 0.005535293294175918)	(7, 0.007303830985676108)	(8, 0.009313532907835414)	(9, 0.012016869093414276)	(10, 0.017407923209634073)	(15, 0.024056246848356732)	(20, 0.029922739019304506)	(25, 0.035351920051990414)	(30, 0.041002972176882715)	(35, 0.04613724380750547)	(40, 0.05066102541423114)	(45, 0.05538922241646789)	(50, 0.06035169324277349)	(55, 0.06447491254638535)	(60, 0.06819665082600472)	(65, 0.07214944740661747)	(70, 0.0771973592746423)	(75, 0.08125075579147287)	(80, 0.08504047941611614)	(85, 0.08878794188033913)	(90, 0.09224738534908924)	(95, 0.09538343906853645)	(100, 0.0984914718011833)	(105, 0.10146583064597905)	(110, 0.10452287436985794)	(115, 0.10756062495528414)	(120, 0.11005265533876167)	(125, 0.11238253148714841)	(130, 0.11463753188392098)	(135, 0.11714150563882167)	(140, 0.11876075118753286)
fastqc_fastp_trim | SRR30333744_2 - polya	(1, 0.00349802974565557)	(2, 0.0050805264592187266)	(3, 0.005868329612705175)	(4, 0.00651602783218966)	(5, 0.007163726051674145)	(6, 0.0077517074140430395)	(7, 0.008348875985198947)	(8, 0.00953402591872375)	(9, 0.010861577588447269)	(10, 0.013515762207015605)	(15, 0.017520925877714345)	(20, 0.021693296748336744)	(25, 0.026034252900200845)	(30, 0.0300821370917592)	(35, 0.034525071261159154)	(40, 0.03919538884803771)	(45, 0.04370906452509767)	(50, 0.04864351436460288)	(55, 0.053082314290048685)	(60, 0.058170190516297016)	(65, 0.06662150387947116)	(70, 0.07634616438052547)	(75, 0.08072800361149178)	(80, 0.0856381073477114)	(85, 0.0909088090288213)	(90, 0.09614735547917667)	(95, 0.10068399917820417)	(100, 0.10537360990353546)	(105, 0.11005173661788296)	(110, 0.11407619342703443)	(115, 0.11805655163400823)	(120, 0.12187521496633061)	(125, 0.12576002620191948)	(130, 0.12937105861565532)	(135, 0.1325149214625715)	(140, 0.1343215860705378)
fastqc_fastp_trim | SRR30333744_2 - polyg	(1, 0.10291511283213052)	(2, 0.14666460107589105)	(3, 0.14801741756977885)	(4, 0.14839179632784968)	(5, 0.14867430299805037)	(6, 0.1490188233275634)	(7, 0.1493725308658634)	(8, 0.14979973607445957)	(9, 0.1503211101731226)	(10, 0.15165968649339057)	(15, 0.15291236241149989)	(20, 0.15343741139367778)	(25, 0.15382511160448975)	(30, 0.15429274053174874)	(35, 0.15482100503700205)	(40, 0.15528082483679212)	(45, 0.15567909033770916)	(50, 0.15625007536382207)	(55, 0.1568509188184928)	(60, 0.15765847447087136)	(65, 0.15845684291446285)	(70, 0.1592864478679302)	(75, 0.16002326201264871)	(80, 0.16075364511121634)	(85, 0.16143809216584887)	(90, 0.16212529538311754)	(95, 0.16281203923994683)	(100, 0.16343814751878183)	(105, 0.16400637638225862)	(110, 0.16459849198858167)	(115, 0.1651731518982094)	(120, 0.16574184012212556)	(125, 0.1663256872405403)	(130, 0.16673313995024439)	(135, 0.16709833149952819)	(140, 0.1671428894621452)
fastqc_fastp_trim | SRR30333745_1 - polya	(1, 0.0006763245816932463)	(2, 0.001415714799621554)	(3, 0.002105087443984123)	(4, 0.003268539698665431)	(5, 0.004334131483326816)	(6, 0.005451915518665493)	(7, 0.007350408637052001)	(8, 0.009433749309920586)	(9, 0.01233694325384497)	(10, 0.0180972279869288)	(15, 0.024946591017478797)	(20, 0.03134362120882559)	(25, 0.037067371366435314)	(30, 0.042926386440383685)	(35, 0.04828087642445157)	(40, 0.053210869436344135)	(45, 0.05816434896104149)	(50, 0.06319089763668703)	(55, 0.0674102061685238)	(60, 0.07114847612328488)	(65, 0.07519294061535273)	(70, 0.08037476123676324)	(75, 0.08452056568222947)	(80, 0.08832842530456028)	(85, 0.09241725320970381)	(90, 0.09605853256528957)	(95, 0.0993222879743096)	(100, 0.10253733061603079)	(105, 0.10544617872044522)	(110, 0.1085877172757959)	(115, 0.11165488187393144)	(120, 0.11427275818081997)	(125, 0.11664446103868058)	(130, 0.11923493641396354)	(135, 0.12174364392985204)	(140, 0.12331506561066086)
fastqc_fastp_trim | SRR30333745_2 - polya	(1, 0.003583867879840739)	(2, 0.005238797161733216)	(3, 0.006102143975020093)	(4, 0.0068698049953986005)	(5, 0.007489587972191447)	(6, 0.008172436585219354)	(7, 0.00879656891623531)	(8, 0.01008615244338674)	(9, 0.011545360785239371)	(10, 0.014223258180406775)	(15, 0.018416905522327214)	(20, 0.022630124958251636)	(25, 0.027086908230670094)	(30, 0.0312270585156463)	(35, 0.03579431538533169)	(40, 0.040251533593172455)	(45, 0.0445504353072921)	(50, 0.049412578393304186)	(55, 0.053611010024870044)	(60, 0.05840443331415703)	(65, 0.0671266282731772)	(70, 0.07833056475190261)	(75, 0.0826225074992653)	(80, 0.08755728480080327)	(85, 0.09258078892849267)	(90, 0.09776608903328166)	(95, 0.10216937524875587)	(100, 0.10666617258002693)	(105, 0.11131171782572824)	(110, 0.11541750821234191)	(115, 0.11926929631232608)	(120, 0.12293493205156125)	(125, 0.12663927704338207)	(130, 0.13016486357663318)	(135, 0.13315286992790815)	(140, 0.13485607704167712)
fastqc_fastp_trim | SRR30333745_2 - polyg	(1, 0.11193280560878803)	(2, 0.1517728902924545)	(3, 0.15299505882914777)	(4, 0.15332995910432703)	(5, 0.15355612552392864)	(6, 0.15385405628821153)	(7, 0.1541041441560402)	(8, 0.15453907957835097)	(9, 0.15497184032355021)	(10, 0.1562148857605144)	(15, 0.1573866017882196)	(20, 0.15787372946120767)	(25, 0.15823603066799252)	(30, 0.15869097311972957)	(35, 0.15914461076519976)	(40, 0.1596408720820563)	(45, 0.1600801568585902)	(50, 0.1608073688846938)	(55, 0.1615067450437695)	(60, 0.16252492886739903)	(65, 0.16338131671392891)	(70, 0.16435513712448274)	(75, 0.1651410654325983)	(80, 0.16602659395242303)	(85, 0.16684557735263422)	(90, 0.16763585501497288)	(95, 0.16834306001165017)	(100, 0.16912115948216416)	(105, 0.16991187207992514)	(110, 0.17065300203954267)	(115, 0.17123059628037135)	(120, 0.17184342029040728)	(125, 0.1725049570677419)	(130, 0.17296207419659054)	(135, 0.17324304247940328)	(140, 0.17327609757149892)
fastqc_fastp_trim | SRR30333746_1 - polya	(1, 0.000552693372193602)	(2, 0.0011199953797755811)	(3, 0.0016799930696633717)	(4, 0.0026392934601668044)	(5, 0.0037544192948129264)	(6, 0.00491093626305945)	(7, 0.0067126679609592985)	(8, 0.008687268510954943)	(9, 0.011321692425992288)	(10, 0.016649461752133433)	(15, 0.023209225996027715)	(20, 0.029056575787482143)	(25, 0.03454260533033071)	(30, 0.03995413083269854)	(35, 0.045016509949284175)	(40, 0.04973704699778178)	(45, 0.05427400219489877)	(50, 0.05890396570398844)	(55, 0.0627129239042513)	(60, 0.06619903126243104)	(65, 0.07003525891541888)	(70, 0.07480351750618518)	(75, 0.07863779734112122)	(80, 0.08222957382861022)	(85, 0.08590169781073528)	(90, 0.08931281417392135)	(95, 0.09230661051951278)	(100, 0.09525852877699086)	(105, 0.09798888273107856)	(110, 0.10059214155728735)	(115, 0.10327915655972286)	(120, 0.10554641677199898)	(125, 0.1077148252181471)	(130, 0.10993777256974516)	(135, 0.1122391195979275)	(140, 0.11354561855616137)
fastqc_fastp_trim | SRR30333746_2 - polya	(1, 0.003562072262199294)	(2, 0.0052420653318626656)	(3, 0.006116148682600565)	(4, 0.006936667036914415)	(5, 0.007586751311697198)	(6, 0.008217357405962144)	(7, 0.008787094186108853)	(8, 0.00992656774640227)	(9, 0.011216997205708918)	(10, 0.01394442943271893)	(15, 0.01810399488230285)	(20, 0.022485611589790105)	(25, 0.027138461960988226)	(30, 0.03127806227554136)	(35, 0.03568840929929242)	(40, 0.04033639012536109)	(45, 0.04488357136724995)	(50, 0.0498592725805312)	(55, 0.05446342750043472)	(60, 0.05939773758011557)	(65, 0.06672835081800324)	(70, 0.07563815754137446)	(75, 0.08021455605404007)	(80, 0.08504076223184695)	(85, 0.09009681093976427)	(90, 0.09526924177627567)	(95, 0.09963381507580982)	(100, 0.104106005322705)	(105, 0.10864977788300326)	(110, 0.1127143872025627)	(115, 0.11657642344473669)	(120, 0.12021981711059793)	(125, 0.12387002813964043)	(130, 0.12699335438567547)	(135, 0.12978652547193317)	(140, 0.1314777184953943)
fastqc_fastp_trim | SRR30333746_2 - polyg	(1, 0.0903178882886417)	(2, 0.12106176146348141)	(3, 0.12184088868419485)	(4, 0.12211358321144455)	(5, 0.1223400170599644)	(6, 0.12263462454029668)	(7, 0.12286105838881653)	(8, 0.12323357859122014)	(9, 0.12366453333517727)	(10, 0.12483711980235099)	(15, 0.12594591522832882)	(20, 0.12641874806039932)	(25, 0.1267951638989065)	(30, 0.12724510986886853)	(35, 0.12776955987931124)	(40, 0.12825651439225716)	(45, 0.12867139963728708)	(50, 0.12927717105139175)	(55, 0.12995549868792544)	(60, 0.1308656166726213)	(65, 0.13161698748609685)	(70, 0.13248717520073117)	(75, 0.13320835483440407)	(80, 0.13404883832374867)	(85, 0.1348011830462501)	(90, 0.13557154508573052)	(95, 0.1363647939873194)	(100, 0.13703046080651646)	(105, 0.13770586671597243)	(110, 0.13836909876260478)	(115, 0.13896123545034697)	(120, 0.13955726777419275)	(125, 0.14019907382225547)	(130, 0.14060519388605236)	(135, 0.1409368099093685)	(140, 0.14098307058809836)
fastqc_fastp_trim | SRR30333747_1 - polya	(1, 0.0009692704814824544)	(2, 0.002368765458662082)	(3, 0.003484818415147101)	(4, 0.00518800127164238)	(5, 0.0067671782440837675)	(6, 0.007992052690656896)	(7, 0.009674989688531132)	(8, 0.012238621536420757)	(9, 0.015895529749846725)	(10, 0.022584255291773946)	(15, 0.030451289805445904)	(20, 0.037805091803074405)	(25, 0.04481876337586938)	(30, 0.05158746005934972)	(35, 0.05816533952532673)	(40, 0.06463996511233641)	(45, 0.07059579057218188)	(50, 0.07675508691116881)	(55, 0.08223766542574737)	(60, 0.08739833478825136)	(65, 0.09296948893429698)	(70, 0.0985441861056013)	(75, 0.1034087597857725)	(80, 0.10822069423352901)	(85, 0.11308020644904496)	(90, 0.1176836085530047)	(95, 0.12195700316144142)	(100, 0.12603958055237485)	(105, 0.12988325681157992)	(110, 0.1335669907876788)	(115, 0.13707610423317115)	(120, 0.14031847849133125)	(125, 0.14335282655216014)	(130, 0.1463532627997988)	(135, 0.1494387316536458)	(140, 0.15125934049014314)
fastqc_fastp_trim | SRR30333747_2 - polya	(1, 0.003565801849631275)	(2, 0.005567611120786945)	(3, 0.006509043546665464)	(4, 0.007569420391942614)	(5, 0.008331170822559374)	(6, 0.00901953001567485)	(7, 0.009657274562237719)	(8, 0.01125416666097252)	(9, 0.013101601260142733)	(10, 0.01693717917589941)	(15, 0.0225017534178932)	(20, 0.02849553986265311)	(25, 0.03444984688310198)	(30, 0.040026062493802875)	(35, 0.04616814985296193)	(40, 0.052579507131780855)	(45, 0.05883142827395906)	(50, 0.06518255412338039)	(55, 0.07142789536150676)	(60, 0.07792732212532724)	(65, 0.08608134168495246)	(70, 0.09415842698181774)	(75, 0.10007882218907635)	(80, 0.10644614472539453)	(85, 0.11299365540343997)	(90, 0.11955483203605463)	(95, 0.12572172057202446)	(100, 0.13188506608273562)	(105, 0.13786366813352974)	(110, 0.14333156840060804)	(115, 0.14840163754578284)	(120, 0.15350713694354448)	(125, 0.15869108904346266)	(130, 0.16319629873311034)	(135, 0.1670298520630049)	(140, 0.16940975274390857)
fastqc_fastp_trim | SRR30333747_2 - polyg	(1, 0.11571014348391849)	(2, 0.15763172449111654)	(3, 0.15981827722218925)	(4, 0.16026368611185218)	(5, 0.1605623125265126)	(6, 0.16085081601186246)	(7, 0.16118993414376492)	(8, 0.16175934891748178)	(9, 0.16241480859033805)	(10, 0.16394084018389923)	(15, 0.16523758742857703)	(20, 0.1656328878181529)	(25, 0.16593151423281333)	(30, 0.16632681462238919)	(35, 0.1667226211584306)	(40, 0.16707338065904015)	(45, 0.1674236340131842)	(50, 0.1678199466956911)	(55, 0.1683331792117346)	(60, 0.16894561643502115)	(65, 0.16952566028451405)	(70, 0.1702104764523708)	(75, 0.17083202431203687)	(80, 0.17148748398489316)	(85, 0.17213282072843888)	(90, 0.1727108399920697)	(95, 0.17329493301328677)	(100, 0.1738339789990721)	(105, 0.1744165535808926)	(110, 0.1749890052334026)	(115, 0.1755574077141884)	(120, 0.17609392296764606)	(125, 0.17662284602412082)	(130, 0.17699891284800667)	(135, 0.17727476267171843)	(140, 0.1772980454091326)
fastqc_fastp_trim | SRR30333748_1 - polya	(1, 0.000866158520334737)	(2, 0.0021463598498404745)	(3, 0.003099768770575231)	(4, 0.004654412268611938)	(5, 0.005939372710866767)	(6, 0.007129150898139758)	(7, 0.008921750033631064)	(8, 0.011375865841246151)	(9, 0.014480393724570474)	(10, 0.020722128732096216)	(15, 0.02784429959820397)	(20, 0.03450293288255017)	(25, 0.04072531416489628)	(30, 0.046967683720788564)	(35, 0.05296797307484371)	(40, 0.058797886192481365)	(45, 0.06437969089879969)	(50, 0.06996244742766783)	(55, 0.07506802358489369)	(60, 0.079720532208406)	(65, 0.08453136064937142)	(70, 0.08952652539081833)	(75, 0.09414159566070446)	(80, 0.09865259999847709)	(85, 0.10324228833370137)	(90, 0.10729387965409501)	(95, 0.1110938725471533)	(100, 0.11472063373614463)	(105, 0.11824999175087123)	(110, 0.12180949081300874)	(115, 0.12519099905833023)	(120, 0.12811372883463923)	(125, 0.13094222817851622)	(130, 0.13375771928087904)	(135, 0.13664174160682874)	(140, 0.13839023963084515)
fastqc_fastp_trim | SRR30333748_2 - polya	(1, 0.003566161819986243)	(2, 0.005295306118822989)	(3, 0.006150360042743178)	(4, 0.007048245981405195)	(5, 0.007801772166678088)	(6, 0.008396661260314584)	(7, 0.009058177932438367)	(8, 0.010490670869915047)	(9, 0.01214366936476632)	(10, 0.01548932562737797)	(15, 0.02070975503894858)	(20, 0.026448610465986937)	(25, 0.031930156530391066)	(30, 0.036947847738850355)	(35, 0.04257882994357596)	(40, 0.04836813196575469)	(45, 0.05395406123645556)	(50, 0.05968784027656156)	(55, 0.06517858729228058)	(60, 0.07080385856170729)	(65, 0.07767538282302955)	(70, 0.08475123165837946)	(75, 0.09011411717823956)	(80, 0.09560994058089096)	(85, 0.1016476682885723)	(90, 0.10783895670095767)	(95, 0.11368631989867532)	(100, 0.11922560986443509)	(105, 0.12458088080389665)	(110, 0.12949291970932608)	(115, 0.13428375987674532)	(120, 0.13919135694360896)	(125, 0.14400408902967402)	(130, 0.1484786068363703)	(135, 0.15231540353468823)	(140, 0.15457915483233964)
fastqc_fastp_trim | SRR30333748_2 - polyg	(1, 0.12262805820585257)	(2, 0.16349931849505434)	(3, 0.16494132965802918)	(4, 0.16533950875803655)	(5, 0.165707546810633)	(6, 0.1661311078453022)	(7, 0.1665975008947132)	(8, 0.1671352806353606)	(9, 0.1676413329576807)	(10, 0.16925181671197342)	(15, 0.17054470900881005)	(20, 0.17098921013957527)	(25, 0.17131949256436224)	(30, 0.17167737784309395)	(35, 0.17204351225059078)	(40, 0.1723744292237443)	(45, 0.17275864825968767)	(50, 0.1732745360816892)	(55, 0.17380025940337224)	(60, 0.1743688147397971)	(65, 0.17495482015630195)	(70, 0.1755690629751181)	(75, 0.1761300037311444)	(80, 0.17672679646988054)	(85, 0.17731153278965228)	(90, 0.17786295532018043)	(95, 0.17846292080074927)	(100, 0.17898769229988248)	(105, 0.17954546031407606)	(110, 0.18012765844038164)	(115, 0.1806889164705912)	(120, 0.18120131427657676)	(125, 0.1817292585175427)	(130, 0.18210364205380464)	(135, 0.18234635680400832)	(140, 0.1823755460288694)
fastqc_fastp_trim | SRR30333749_1 - polya	(1, 0.0009524735263177631)	(2, 0.0016958674980779684)	(3, 0.00247991582766881)	(4, 0.003827317401484182)	(5, 0.005196014115115602)	(6, 0.00709902524594967)	(7, 0.010403643761039957)	(8, 0.014347116470611671)	(9, 0.01877844147415102)	(10, 0.028716689634120263)	(15, 0.0404766402092623)	(20, 0.05047954815740028)	(25, 0.060707410218867774)	(30, 0.07019342704601624)	(35, 0.07938982997166644)	(40, 0.08850840884089799)	(45, 0.09698232575024375)	(50, 0.10561305232550766)	(55, 0.11327426926260101)	(60, 0.12103576694900989)	(65, 0.12869272485814)	(70, 0.13719180875090473)	(75, 0.14486541558752739)	(80, 0.15239731294828326)	(85, 0.1593763110425425)	(90, 0.16619656354908208)	(95, 0.17288710929492393)	(100, 0.17956449077251585)	(105, 0.1856196669831189)	(110, 0.19161444243351644)	(115, 0.19802815136174964)	(120, 0.20396446197374313)	(125, 0.20937187874957805)	(130, 0.215138989796124)	(135, 0.2210845928327645)	(140, 0.2244623891919499)
fastqc_fastp_trim | SRR30333749_2 - polya	(1, 0.005800021717170769)	(2, 0.008254770561420613)	(3, 0.00952473526317763)	(4, 0.010994099910484912)	(5, 0.012204051036396704)	(6, 0.0133055905414268)	(7, 0.014350988314214589)	(8, 0.016650863414347725)	(9, 0.01919272873966322)	(10, 0.024351185971830516)	(15, 0.032331442821804265)	(20, 0.040197867469852225)	(25, 0.047222166134265595)	(30, 0.05385153675118134)	(35, 0.06008714087368035)	(40, 0.0669515323972932)	(45, 0.07361420086919404)	(50, 0.08006353075857411)	(55, 0.08675446368877626)	(60, 0.09350695893226478)	(65, 0.10286985113284046)	(70, 0.11367848973474559)	(75, 0.1207767406119747)	(80, 0.12787654022664494)	(85, 0.13540882477176114)	(90, 0.14363494369052013)	(95, 0.15183744436330135)	(100, 0.16031833059113237)	(105, 0.16831213889371632)	(110, 0.17567135202978207)	(115, 0.18308825563553127)	(120, 0.19065267648255166)	(125, 0.1989028008316488)	(130, 0.2071482789684224)	(135, 0.2141582518115049)	(140, 0.21814934819739254)
fastqc_fastp_trim | SRR30333749_2 - polyg	(1, 0.11874169961428113)	(2, 0.15869912559639218)	(3, 0.16864395589048636)	(4, 0.17047533791466646)	(5, 0.17110644842194206)	(6, 0.1715652618888878)	(7, 0.17189824043873872)	(8, 0.17226412965921445)	(9, 0.17266873731571936)	(10, 0.173830677580955)	(15, 0.1749217631082572)	(20, 0.1753817381282838)	(25, 0.17580299471228125)	(30, 0.17621612042471257)	(35, 0.17664202322103356)	(40, 0.17707644407328088)	(45, 0.17754029093691046)	(50, 0.17808660806928217)	(55, 0.178752565168984)	(60, 0.17967638705264016)	(65, 0.1804375915049738)	(70, 0.18133895669573305)	(75, 0.1820858353267359)	(80, 0.18286949647196643)	(85, 0.18370349158403493)	(90, 0.18442442886289817)	(95, 0.18508380382847506)	(100, 0.1856893601679714)	(105, 0.18634331455250425)	(110, 0.18704063358538972)	(115, 0.18756255810306302)	(120, 0.18813133192833162)	(125, 0.18871598031237222)	(130, 0.18913297786840647)	(135, 0.18939587604904456)	(140, 0.18942994827275025)
fastqc_fastp_trim | SRR30333750_1 - polya	(1, 0.0006713053284483199)	(2, 0.0018165870415359435)	(3, 0.002809035553045996)	(4, 0.0044224898583079516)	(5, 0.005975971641431874)	(6, 0.0071367301344260866)	(7, 0.008980401540798561)	(8, 0.01147022850827115)	(9, 0.014859643307814252)	(10, 0.021424893344189518)	(15, 0.0292046836837344)	(20, 0.03629111428346408)	(25, 0.043035894966755785)	(30, 0.04981936759981396)	(35, 0.05631071601213526)	(40, 0.06251883935216598)	(45, 0.06831450650768608)	(50, 0.07441545314686367)	(55, 0.07974449538820011)	(60, 0.0847732880993487)	(65, 0.08993982415166595)	(70, 0.09543872405247719)	(75, 0.10022723975557599)	(80, 0.10497396815292699)	(85, 0.10969902905840875)	(90, 0.11406464175056)	(95, 0.11815089856539729)	(100, 0.12203943951692793)	(105, 0.12581770841162407)	(110, 0.12950505122436903)	(115, 0.13292309806673935)	(120, 0.13598440513226273)	(125, 0.1388882359622366)	(130, 0.1417738815758202)	(135, 0.144886648934533)	(140, 0.14672180811195687)
