Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
fastqc_fastp_trim | SRR30333748_1	(20.0, 1318.0)	(21.0, 23070.0)	(22.0, 53710.0)	(23.0, 70406.0)	(24.0, 88559.0)	(25.0, 105835.0)	(26.0, 125652.0)	(27.0, 142149.0)	(28.0, 170355.0)	(29.0, 200838.0)	(30.0, 244405.0)	(31.0, 292676.0)	(32.0, 374780.0)	(33.0, 477084.0)	(34.0, 653629.0)	(35.0, 956585.0)	(36.0, 1633893.0)	(37.0, 2836911.0)	(38.0, 6782847.0)	(39.0, 36898176.0)	(40.0, 10904082.0)	
fastqc_fastp_trim | SRR30333748_2	(19.0, 28.0)	(20.0, 9643.0)	(21.0, 84522.0)	(22.0, 119980.0)	(23.0, 122791.0)	(24.0, 137228.0)	(25.0, 149998.0)	(26.0, 164061.0)	(27.0, 173814.0)	(28.0, 197468.0)	(29.0, 220304.0)	(30.0, 254992.0)	(31.0, 292156.0)	(32.0, 359588.0)	(33.0, 448987.0)	(34.0, 603438.0)	(35.0, 871396.0)	(36.0, 1478587.0)	(37.0, 2607455.0)	(38.0, 6414598.0)	(39.0, 36488855.0)	(40.0, 11837071.0)
fastqc_fastp_trim | SRR30333749_1	(20.0, 1580.0)	(21.0, 20908.0)	(22.0, 42843.0)	(23.0, 54811.0)	(24.0, 67456.0)	(25.0, 79877.0)	(26.0, 93260.0)	(27.0, 105827.0)	(28.0, 127110.0)	(29.0, 149097.0)	(30.0, 178912.0)	(31.0, 212236.0)	(32.0, 270057.0)	(33.0, 343502.0)	(34.0, 466584.0)	(35.0, 681123.0)	(36.0, 1147511.0)	(37.0, 1960958.0)	(38.0, 4675295.0)	(39.0, 28017323.0)	(40.0, 12958709.0)	
fastqc_fastp_trim | SRR30333749_2	(19.0, 49.0)	(20.0, 7753.0)	(21.0, 63858.0)	(22.0, 90694.0)	(23.0, 95533.0)	(24.0, 106378.0)	(25.0, 115969.0)	(26.0, 125579.0)	(27.0, 132179.0)	(28.0, 148749.0)	(29.0, 164519.0)	(30.0, 188190.0)	(31.0, 212869.0)	(32.0, 260185.0)	(33.0, 320666.0)	(34.0, 426060.0)	(35.0, 607147.0)	(36.0, 1011222.0)	(37.0, 1743534.0)	(38.0, 4293725.0)	(39.0, 28134973.0)	(40.0, 13405148.0)
fastqc_fastp_trim | SRR30333750_1	(20.0, 872.0)	(21.0, 17135.0)	(22.0, 40447.0)	(23.0, 53974.0)	(24.0, 68071.0)	(25.0, 82222.0)	(26.0, 96902.0)	(27.0, 111505.0)	(28.0, 133642.0)	(29.0, 158312.0)	(30.0, 193441.0)	(31.0, 231982.0)	(32.0, 297286.0)	(33.0, 381376.0)	(34.0, 524634.0)	(35.0, 774836.0)	(36.0, 1335375.0)	(37.0, 2339938.0)	(38.0, 5710061.0)	(39.0, 30582069.0)	(40.0, 8556259.0)	
fastqc_fastp_trim | SRR30333750_2	(19.0, 12.0)	(20.0, 6376.0)	(21.0, 57341.0)	(22.0, 84725.0)	(23.0, 89715.0)	(24.0, 102024.0)	(25.0, 112833.0)	(26.0, 125028.0)	(27.0, 133270.0)	(28.0, 153123.0)	(29.0, 171890.0)	(30.0, 200491.0)	(31.0, 231130.0)	(32.0, 286230.0)	(33.0, 358495.0)	(34.0, 483581.0)	(35.0, 701666.0)	(36.0, 1197470.0)	(37.0, 2121804.0)	(38.0, 5319297.0)	(39.0, 30165590.0)	(40.0, 9588248.0)
fastqc_fastp_trim | SRR30333751_1	(20.0, 1188.0)	(21.0, 21498.0)	(22.0, 48218.0)	(23.0, 63511.0)	(24.0, 79483.0)	(25.0, 93894.0)	(26.0, 110583.0)	(27.0, 125485.0)	(28.0, 150254.0)	(29.0, 175003.0)	(30.0, 212135.0)	(31.0, 251608.0)	(32.0, 320753.0)	(33.0, 407381.0)	(34.0, 554064.0)	(35.0, 805538.0)	(36.0, 1364772.0)	(37.0, 2331625.0)	(38.0, 5506322.0)	(39.0, 30999204.0)	(40.0, 9855295.0)	
fastqc_fastp_trim | SRR30333751_2	(19.0, 16.0)	(20.0, 6656.0)	(21.0, 59535.0)	(22.0, 85773.0)	(23.0, 89152.0)	(24.0, 100380.0)	(25.0, 110292.0)	(26.0, 122691.0)	(27.0, 129999.0)	(28.0, 147888.0)	(29.0, 166294.0)	(30.0, 193770.0)	(31.0, 223563.0)	(32.0, 275405.0)	(33.0, 344803.0)	(34.0, 464174.0)	(35.0, 671382.0)	(36.0, 1143968.0)	(37.0, 2003451.0)	(38.0, 4917167.0)	(39.0, 30532235.0)	(40.0, 11689220.0)
fastqc_fastp_trim | SRR30333752_1	(20.0, 871.0)	(21.0, 18184.0)	(22.0, 43520.0)	(23.0, 58020.0)	(24.0, 74364.0)	(25.0, 90852.0)	(26.0, 107864.0)	(27.0, 123790.0)	(28.0, 148538.0)	(29.0, 176258.0)	(30.0, 215314.0)	(31.0, 259012.0)	(32.0, 334384.0)	(33.0, 427892.0)	(34.0, 593399.0)	(35.0, 879359.0)	(36.0, 1522762.0)	(37.0, 2690574.0)	(38.0, 6684522.0)	(39.0, 34495494.0)	(40.0, 8621243.0)	
fastqc_fastp_trim | SRR30333752_2	(19.0, 22.0)	(20.0, 8280.0)	(21.0, 73963.0)	(22.0, 106060.0)	(23.0, 109038.0)	(24.0, 120867.0)	(25.0, 132784.0)	(26.0, 145316.0)	(27.0, 154536.0)	(28.0, 176269.0)	(29.0, 198275.0)	(30.0, 230680.0)	(31.0, 265550.0)	(32.0, 328304.0)	(33.0, 409306.0)	(34.0, 552073.0)	(35.0, 797965.0)	(36.0, 1364662.0)	(37.0, 2430048.0)	(38.0, 6111078.0)	(39.0, 33845375.0)	(40.0, 10005765.0)
fastqc_fastp_trim | SRR30333753_1	(20.0, 1000.0)	(21.0, 19051.0)	(22.0, 45944.0)	(23.0, 60273.0)	(24.0, 73504.0)	(25.0, 84053.0)	(26.0, 98059.0)	(27.0, 111387.0)	(28.0, 133284.0)	(29.0, 156382.0)	(30.0, 188980.0)	(31.0, 226529.0)	(32.0, 287690.0)	(33.0, 361017.0)	(34.0, 486847.0)	(35.0, 697391.0)	(36.0, 1163587.0)	(37.0, 1947355.0)	(38.0, 4430560.0)	(39.0, 22142045.0)	(40.0, 6149421.0)	
fastqc_fastp_trim | SRR30333753_2	(19.0, 11.0)	(20.0, 5369.0)	(21.0, 54097.0)	(22.0, 82496.0)	(23.0, 85579.0)	(24.0, 92698.0)	(25.0, 100322.0)	(26.0, 108371.0)	(27.0, 115201.0)	(28.0, 130171.0)	(29.0, 145435.0)	(30.0, 169380.0)	(31.0, 194798.0)	(32.0, 238310.0)	(33.0, 293868.0)	(34.0, 392991.0)	(35.0, 557767.0)	(36.0, 930825.0)	(37.0, 1564600.0)	(38.0, 3693283.0)	(39.0, 21630070.0)	(40.0, 8278717.0)
fastqc_fastp_trim | SRR30333754_1	(20.0, 992.0)	(21.0, 18565.0)	(22.0, 44030.0)	(23.0, 58885.0)	(24.0, 73396.0)	(25.0, 86689.0)	(26.0, 102095.0)	(27.0, 116903.0)	(28.0, 140072.0)	(29.0, 162818.0)	(30.0, 196501.0)	(31.0, 235084.0)	(32.0, 298776.0)	(33.0, 376798.0)	(34.0, 511578.0)	(35.0, 742122.0)	(36.0, 1249850.0)	(37.0, 2103797.0)	(38.0, 4882776.0)	(39.0, 27479508.0)	(40.0, 9918740.0)	
fastqc_fastp_trim | SRR30333754_2	(19.0, 14.0)	(20.0, 6616.0)	(21.0, 62728.0)	(22.0, 91609.0)	(23.0, 93196.0)	(24.0, 101706.0)	(25.0, 110217.0)	(26.0, 119522.0)	(27.0, 126082.0)	(28.0, 142252.0)	(29.0, 158540.0)	(30.0, 184115.0)	(31.0, 211729.0)	(32.0, 260161.0)	(33.0, 322920.0)	(34.0, 432247.0)	(35.0, 619247.0)	(36.0, 1044039.0)	(37.0, 1790239.0)	(38.0, 4327535.0)	(39.0, 27225322.0)	(40.0, 11369939.0)
fastqc_fastp_trim | SRR30333755_1	(19.0, 1.0)	(20.0, 1046.0)	(21.0, 21431.0)	(22.0, 52874.0)	(23.0, 68691.0)	(24.0, 82876.0)	(25.0, 95173.0)	(26.0, 110410.0)	(27.0, 126534.0)	(28.0, 149856.0)	(29.0, 174679.0)	(30.0, 211109.0)	(31.0, 251661.0)	(32.0, 319202.0)	(33.0, 399214.0)	(34.0, 538690.0)	(35.0, 768177.0)	(36.0, 1271012.0)	(37.0, 2107015.0)	(38.0, 4694819.0)	(39.0, 21653320.0)	(40.0, 5475713.0)
fastqc_fastp_trim | SRR30333755_2	(19.0, 11.0)	(20.0, 5130.0)	(21.0, 52371.0)	(22.0, 82669.0)	(23.0, 85659.0)	(24.0, 94447.0)	(25.0, 101311.0)	(26.0, 109538.0)	(27.0, 116437.0)	(28.0, 132459.0)	(29.0, 148544.0)	(30.0, 172900.0)	(31.0, 198842.0)	(32.0, 247086.0)	(33.0, 304663.0)	(34.0, 406451.0)	(35.0, 583244.0)	(36.0, 972520.0)	(37.0, 1634527.0)	(38.0, 3771757.0)	(39.0, 21162146.0)	(40.0, 8190791.0)
fastqc_fastp_trim | SRR30333756_1	(19.0, 1.0)	(20.0, 883.0)	(21.0, 17004.0)	(22.0, 38551.0)	(23.0, 51386.0)	(24.0, 64612.0)	(25.0, 77569.0)	(26.0, 92431.0)	(27.0, 107810.0)	(28.0, 128398.0)	(29.0, 150042.0)	(30.0, 182341.0)	(31.0, 217511.0)	(32.0, 277840.0)	(33.0, 353688.0)	(34.0, 484615.0)	(35.0, 707484.0)	(36.0, 1204572.0)	(37.0, 2057813.0)	(38.0, 4892195.0)	(39.0, 27858810.0)	(40.0, 8683710.0)
fastqc_fastp_trim | SRR30333756_2	(19.0, 18.0)	(20.0, 7107.0)	(21.0, 65071.0)	(22.0, 92048.0)	(23.0, 93288.0)	(24.0, 104355.0)	(25.0, 113513.0)	(26.0, 123460.0)	(27.0, 130234.0)	(28.0, 146622.0)	(29.0, 163962.0)	(30.0, 189519.0)	(31.0, 215797.0)	(32.0, 265512.0)	(33.0, 330461.0)	(34.0, 439120.0)	(35.0, 624515.0)	(36.0, 1050360.0)	(37.0, 1839786.0)	(38.0, 4570299.0)	(39.0, 27817095.0)	(40.0, 9267124.0)
