Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
fastqc_fastp_trim | SRR30333743_1	(15, 365.0)	(20, 365.0)	(25, 895.0)	(30, 3740.0)	(35, 9299.0)	(40, 19036.0)	(45, 29350.0)	(50, 53934.0)	(55, 73832.0)	(60, 121945.0)	(65, 171233.0)	(70, 262136.0)	(75, 394682.0)	(80, 585761.0)	(85, 866265.0)	(90, 1209646.0)	(95, 1626179.0)	(100, 2027757.0)	(105, 2402049.0)	(110, 2649919.0)	(115, 2791459.0)	(120, 2787764.0)	(125, 2697324.0)	(130, 2551971.0)	(135, 2360972.0)	(140, 2166098.0)	(145, 1971069.0)	(150, 18610497.0)
fastqc_fastp_trim | SRR30333743_2	(15, 359.0)	(20, 381.0)	(25, 299.0)	(30, 3473.0)	(35, 9453.0)	(40, 19107.0)	(45, 29518.0)	(50, 54112.0)	(55, 74024.0)	(60, 122064.0)	(65, 171318.0)	(70, 262062.0)	(75, 394305.0)	(80, 584885.0)	(85, 864697.0)	(90, 1207019.0)	(95, 1621955.0)	(100, 2022249.0)	(105, 2394055.0)	(110, 2639624.0)	(115, 2779778.0)	(120, 2775125.0)	(125, 2684116.0)	(130, 2538661.0)	(135, 2349358.0)	(140, 2148866.0)	(145, 1948559.0)	(150, 18746120.0)
fastqc_fastp_trim | SRR30333744_1	(15, 508.0)	(20, 380.0)	(25, 550.0)	(30, 1905.0)	(35, 4576.0)	(40, 9107.0)	(45, 14857.0)	(50, 25991.0)	(55, 36080.0)	(60, 58770.0)	(65, 84338.0)	(70, 132652.0)	(75, 204117.0)	(80, 313159.0)	(85, 478916.0)	(90, 695021.0)	(95, 977119.0)	(100, 1279056.0)	(105, 1588317.0)	(110, 1841873.0)	(115, 2050492.0)	(120, 2166093.0)	(125, 2201616.0)	(130, 2195228.0)	(135, 2133406.0)	(140, 2046733.0)	(145, 1953987.0)	(150, 21043948.0)
fastqc_fastp_trim | SRR30333744_2	(15, 410.0)	(20, 398.0)	(25, 258.0)	(30, 1834.0)	(35, 4660.0)	(40, 9150.0)	(45, 14914.0)	(50, 26150.0)	(55, 36229.0)	(60, 58885.0)	(65, 84478.0)	(70, 132707.0)	(75, 204023.0)	(80, 312748.0)	(85, 478210.0)	(90, 693811.0)	(95, 974810.0)	(100, 1275853.0)	(105, 1583218.0)	(110, 1835011.0)	(115, 2042306.0)	(120, 2156848.0)	(125, 2191344.0)	(130, 2184491.0)	(135, 2123497.0)	(140, 2029675.0)	(145, 1929550.0)	(150, 21153327.0)
fastqc_fastp_trim | SRR30333745_1	(15, 388.0)	(20, 295.0)	(25, 557.0)	(30, 1916.0)	(35, 4739.0)	(40, 10237.0)	(45, 16424.0)	(50, 30598.0)	(55, 44601.0)	(60, 75467.0)	(65, 109550.0)	(70, 174222.0)	(75, 272326.0)	(80, 415016.0)	(85, 631489.0)	(90, 912608.0)	(95, 1266712.0)	(100, 1634436.0)	(105, 1996796.0)	(110, 2281820.0)	(115, 2488732.0)	(120, 2584348.0)	(125, 2583636.0)	(130, 2518619.0)	(135, 2394126.0)	(140, 2250102.0)	(145, 2086945.0)	(150, 19197133.0)
fastqc_fastp_trim | SRR30333745_2	(15, 372.0)	(20, 294.0)	(25, 306.0)	(30, 1857.0)	(35, 4831.0)	(40, 10326.0)	(45, 16558.0)	(50, 30754.0)	(55, 44761.0)	(60, 75581.0)	(65, 109629.0)	(70, 174285.0)	(75, 272051.0)	(80, 414344.0)	(85, 630184.0)	(90, 910503.0)	(95, 1263137.0)	(100, 1629255.0)	(105, 1989616.0)	(110, 2272219.0)	(115, 2477277.0)	(120, 2572029.0)	(125, 2570038.0)	(130, 2504621.0)	(135, 2381650.0)	(140, 2231628.0)	(145, 2064422.0)	(150, 19331310.0)
fastqc_fastp_trim | SRR30333746_1	(15, 427.0)	(20, 343.0)	(25, 476.0)	(30, 1539.0)	(35, 3541.0)	(40, 7898.0)	(45, 12797.0)	(50, 24502.0)	(55, 35142.0)	(60, 61440.0)	(65, 87829.0)	(70, 139351.0)	(75, 212260.0)	(80, 321355.0)	(85, 484775.0)	(90, 691355.0)	(95, 959821.0)	(100, 1243427.0)	(105, 1528471.0)	(110, 1768312.0)	(115, 1960632.0)	(120, 2065827.0)	(125, 2104460.0)	(130, 2094876.0)	(135, 2035668.0)	(140, 1950823.0)	(145, 1851102.0)	(150, 19423149.0)
fastqc_fastp_trim | SRR30333746_2	(15, 347.0)	(20, 340.0)	(25, 259.0)	(30, 1483.0)	(35, 3668.0)	(40, 7964.0)	(45, 12914.0)	(50, 24666.0)	(55, 35309.0)	(60, 61580.0)	(65, 87946.0)	(70, 139415.0)	(75, 212155.0)	(80, 320951.0)	(85, 484065.0)	(90, 690067.0)	(95, 957525.0)	(100, 1240249.0)	(105, 1523691.0)	(110, 1761982.0)	(115, 1952832.0)	(120, 2057217.0)	(125, 2094673.0)	(130, 2084739.0)	(135, 2026405.0)	(140, 1934626.0)	(145, 1827955.0)	(150, 19526575.0)
fastqc_fastp_trim | SRR30333747_1	(15, 505.0)	(20, 448.0)	(25, 509.0)	(30, 1722.0)	(35, 3794.0)	(40, 7388.0)	(45, 12299.0)	(50, 20188.0)	(55, 28139.0)	(60, 45717.0)	(65, 64936.0)	(70, 101301.0)	(75, 156643.0)	(80, 239523.0)	(85, 367661.0)	(90, 533106.0)	(95, 752925.0)	(100, 988054.0)	(105, 1240627.0)	(110, 1450491.0)	(115, 1626020.0)	(120, 1728985.0)	(125, 1773766.0)	(130, 1784817.0)	(135, 1748582.0)	(140, 1696729.0)	(145, 1629486.0)	(150, 21509893.0)
fastqc_fastp_trim | SRR30333747_2	(15, 338.0)	(20, 360.0)	(25, 264.0)	(30, 1703.0)	(35, 3903.0)	(40, 7475.0)	(45, 12405.0)	(50, 20338.0)	(55, 28255.0)	(60, 45861.0)	(65, 65058.0)	(70, 101377.0)	(75, 156498.0)	(80, 239151.0)	(85, 366954.0)	(90, 531921.0)	(95, 750893.0)	(100, 985119.0)	(105, 1235896.0)	(110, 1444246.0)	(115, 1618363.0)	(120, 1720448.0)	(125, 1764359.0)	(130, 1774924.0)	(135, 1739494.0)	(140, 1680396.0)	(145, 1604567.0)	(150, 21613688.0)
