Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastqc_fastp_trim | SRR30333748_1	(1, 38.3126611752851)	(2, 38.85418024600171)	(3, 38.86695126160906)	(4, 38.99803229724276)	(5, 38.9710077706793)	(6, 38.905752371307244)	(7, 38.94423712691729)	(8, 38.969667921803335)	(9, 38.96819751460096)	(10, 38.94215117607194)	(15, 39.27772263972696)	(20, 39.314634445225195)	(25, 39.13501313525886)	(30, 39.07953424472853)	(35, 39.06940804648631)	(40, 39.069728357475405)	(45, 39.10634288796963)	(50, 39.076527160557376)	(55, 39.05496390954811)	(60, 39.03921075584187)	(65, 39.02076410866666)	(70, 38.990538828960915)	(75, 38.971955564359334)	(80, 38.94377043191906)	(85, 38.90673765489404)	(90, 38.87145421824165)	(95, 38.839482035936896)	(100, 38.773403754558885)	(105, 38.78629784784502)	(110, 38.74512456909404)	(115, 38.7231526609612)	(120, 38.67318738524408)	(125, 38.68133412153482)	(130, 38.655744776669984)	(135, 38.605343451407535)	(140, 38.61293415425344)	(145, 38.606634834364016)	(150, 38.419680339371)
fastqc_fastp_trim | SRR30333748_2	(1, 38.30906741061117)	(2, 38.938943946535495)	(3, 39.07853091265822)	(4, 39.125940337224385)	(5, 39.127321971110284)	(6, 39.143980737649784)	(7, 39.16829710696709)	(8, 39.17411775567857)	(9, 39.20763437830758)	(10, 39.2255569494468)	(15, 39.28388552923572)	(20, 39.26647776451581)	(25, 39.094381715024575)	(30, 39.03605866495669)	(35, 39.03750760698783)	(40, 39.02428709111017)	(45, 39.00288996653713)	(50, 38.957425209345345)	(55, 38.98938266846899)	(60, 38.96375098773442)	(65, 38.93584405508422)	(70, 38.90790026628164)	(75, 38.854174707350104)	(80, 38.81729711766458)	(85, 38.80890585577686)	(90, 38.79496733339037)	(95, 38.77089745761948)	(100, 38.701825838158584)	(105, 38.68633613254106)	(110, 38.641292594248554)	(115, 38.622778518018805)	(120, 38.56732410109656)	(125, 38.53387912814113)	(130, 38.46528216432235)	(135, 38.417229147156405)	(140, 38.327871424032864)	(145, 38.23768381840809)	(150, 37.96004812645042)
fastqc_fastp_trim | SRR30333749_1	(1, 38.301006568989216)	(2, 38.88178074760228)	(3, 38.92262722631249)	(4, 39.043190318594455)	(5, 39.035383326745716)	(6, 39.04453737170235)	(7, 39.03773628482164)	(8, 39.07672489809743)	(9, 39.083011068497385)	(10, 39.0711555763095)	(15, 39.36184555233916)	(20, 39.398558279119165)	(25, 39.22980740737613)	(30, 39.18399828449664)	(35, 39.18313800289318)	(40, 39.183273541379535)	(45, 39.21451630431039)	(50, 39.19048796236193)	(55, 39.17403057006844)	(60, 39.160895436608584)	(65, 39.14753906402249)	(70, 39.12566908693289)	(75, 39.108039979760306)	(80, 39.087234865479374)	(85, 39.05677212166235)	(90, 39.024836842013436)	(95, 39.00128688158202)	(100, 38.948572908317225)	(105, 38.95721316213221)	(110, 38.924864788193744)	(115, 38.90131487844277)	(120, 38.8605276026598)	(125, 38.86397878898648)	(130, 38.83707600303258)	(135, 38.79963202186341)	(140, 38.79994792606789)	(145, 38.79054650385576)	(150, 38.5648598022512)
fastqc_fastp_trim | SRR30333749_2	(1, 38.55500380708702)	(2, 38.987155449235594)	(3, 39.15508028761371)	(4, 39.17928569867389)	(5, 39.24188295575534)	(6, 39.28882731711109)	(7, 39.287743162183844)	(8, 39.2956484988601)	(9, 39.313027385027105)	(10, 39.32755492166592)	(15, 39.36830100415692)	(20, 39.363145770200916)	(25, 39.20708965013345)	(30, 39.15096288861909)	(35, 39.15227740634263)	(40, 39.137016020928456)	(45, 39.124953253011306)	(50, 39.08837858940353)	(55, 39.10961485997499)	(60, 39.09266104795911)	(65, 39.07172729506372)	(70, 39.05048915281609)	(75, 39.00982494046171)	(80, 38.978631917199976)	(85, 38.96870575431642)	(90, 38.95565579580506)	(95, 38.9336093021029)	(100, 38.8795115032954)	(105, 38.867457705540446)	(110, 38.83190532196139)	(115, 38.812694271052465)	(120, 38.77211389346549)	(125, 38.74311222375029)	(130, 38.696642251712404)	(135, 38.65901805108078)	(140, 38.59425516843911)	(145, 38.524126067930794)	(150, 38.22391125872086)
fastqc_fastp_trim | SRR30333750_1	(1, 38.33407766971697)	(2, 38.868126246956905)	(3, 38.86920010333072)	(4, 39.000148480357225)	(5, 38.965020600851545)	(6, 38.889302080220446)	(7, 38.92235680636569)	(8, 38.948576251357146)	(9, 38.94990497160408)	(10, 38.92006699356334)	(15, 39.26735351257067)	(20, 39.307415838218276)	(25, 39.12912477429135)	(30, 39.07295383515727)	(35, 39.06651937370095)	(40, 39.066481651927795)	(45, 39.10611382080895)	(50, 39.075670618947235)	(55, 39.05627607808894)	(60, 39.04066706700562)	(65, 39.02394914548161)	(70, 38.995543487842596)	(75, 38.97836248930632)	(80, 38.952605335765476)	(85, 38.915523134934816)	(90, 38.88371289600905)	(95, 38.85109435627602)	(100, 38.78691500642242)	(105, 38.800585304712435)	(110, 38.76109310309709)	(115, 38.738210649961594)	(120, 38.689525369946104)	(125, 38.698806514603085)	(130, 38.67396075730319)	(135, 38.623067238325284)	(140, 38.63268738415398)	(145, 38.626585567565414)	(150, 38.44358551511184)
fastqc_fastp_trim | SRR30333750_2	(1, 38.29197351559254)	(2, 38.98292882157341)	(3, 39.105647614344335)	(4, 39.1560641148049)	(5, 39.17309507294971)	(6, 39.18434328705022)	(7, 39.201159388797976)	(8, 39.202394551910366)	(9, 39.23986422298372)	(10, 39.253508142014695)	(15, 39.30658787966102)	(20, 39.28404677358819)	(25, 39.121185552738346)	(30, 39.06531054133403)	(35, 39.066141953698924)	(40, 39.051927974715476)	(45, 39.02770888579845)	(50, 38.98262502252546)	(55, 39.015360687562925)	(60, 38.990946471480626)	(65, 38.961972770280866)	(70, 38.935245748130704)	(75, 38.88040904836406)	(80, 38.84393916530172)	(85, 38.83500972054364)	(90, 38.82158521801524)	(95, 38.79773015947944)	(100, 38.72766296317833)	(105, 38.7132069027782)	(110, 38.668079537823665)	(115, 38.65126781010265)	(120, 38.594834360999634)	(125, 38.562835553263376)	(130, 38.49384077766731)	(135, 38.444968183088065)	(140, 38.35509924843738)	(145, 38.26242143499026)	(150, 37.990966725633875)
fastqc_fastp_trim | SRR30333751_1	(1, 38.33199782623875)	(2, 38.853409266130434)	(3, 38.861503015063406)	(4, 39.006445065237706)	(5, 38.989055984973504)	(6, 38.92968616854832)	(7, 38.9650864562265)	(8, 38.992004983599365)	(9, 38.99396979839153)	(10, 38.967575802556176)	(15, 39.29321416238461)	(20, 39.326774930668265)	(25, 39.14654278759791)	(30, 39.09050666267743)	(35, 39.07488482879289)	(40, 39.073680568112465)	(45, 39.10955171955741)	(50, 39.07897053494969)	(55, 39.05545442194648)	(60, 39.03904799513457)	(65, 39.01854542842064)	(70, 38.98865774494442)	(75, 38.96811655947505)	(80, 38.93929300856424)	(85, 38.90112907012602)	(90, 38.86494978673223)	(95, 38.8310066546117)	(100, 38.76191068896473)	(105, 38.77745148235812)	(110, 38.73567568492996)	(115, 38.71182065442032)	(120, 38.660429419428375)	(125, 38.671779525154)	(130, 38.64417992413105)	(135, 38.59645047440325)	(140, 38.604898172456856)	(145, 38.59963906587849)	(150, 38.40894537224519)
fastqc_fastp_trim | SRR30333751_2	(1, 38.53495163433569)	(2, 39.05902163465395)	(3, 39.19396312646587)	(4, 39.22046282594872)	(5, 39.18214480494659)	(6, 39.216479566647955)	(7, 39.24658921174302)	(8, 39.25422654710606)	(9, 39.28808829022069)	(10, 39.30132829288796)	(15, 39.3524710568618)	(20, 39.33432066120854)	(25, 39.19028664959403)	(30, 39.13782677169259)	(35, 39.1371430662888)	(40, 39.12174698996483)	(45, 39.09956198706596)	(50, 39.05267198987417)	(55, 39.08468377310848)	(60, 39.06036521495201)	(65, 39.03357422822033)	(70, 39.00706070767172)	(75, 38.95434640696419)	(80, 38.91758482162588)	(85, 38.90950072524443)	(90, 38.89674541564299)	(95, 38.873602353135674)	(100, 38.804321187982794)	(105, 38.79285256810598)	(110, 38.748636780900796)	(115, 38.73118257970806)	(120, 38.67797371103616)	(125, 38.64777387407901)	(130, 38.578038848278084)	(135, 38.53313846631375)	(140, 38.44640858589692)	(145, 38.35929077214241)	(150, 38.062183910972564)
fastqc_fastp_trim | SRR30333752_1	(1, 38.28493034873093)	(2, 38.83824971229653)	(3, 38.829888697217825)	(4, 38.966792641017086)	(5, 38.93207793960263)	(6, 38.85571638059378)	(7, 38.89310685281103)	(8, 38.916736719328576)	(9, 38.91388706181417)	(10, 38.884859237577814)	(15, 39.245853257107804)	(20, 39.29255953837383)	(25, 39.10941890305989)	(30, 39.05766031909678)	(35, 39.0498468903901)	(40, 39.053873398241926)	(45, 39.093858302116)	(50, 39.06443600305434)	(55, 39.04439951186013)	(60, 39.02980596256555)	(65, 39.012355040948265)	(70, 38.98380571769302)	(75, 38.96524107613594)	(80, 38.93846760646961)	(85, 38.90023439412159)	(90, 38.8670668375576)	(95, 38.8332940272104)	(100, 38.76714848682103)	(105, 38.78122200421154)	(110, 38.74028925236486)	(115, 38.71649295789839)	(120, 38.66559428662756)	(125, 38.67657794998066)	(130, 38.65093757277176)	(135, 38.599985130935835)	(140, 38.609662439201784)	(145, 38.60593515386071)	(150, 38.42283694478418)
fastqc_fastp_trim | SRR30333752_2	(1, 38.22561778248548)	(2, 38.893358493460816)	(3, 39.03750140533816)	(4, 39.094302429049705)	(5, 39.115427458355086)	(6, 39.137706845278835)	(7, 39.1379863842362)	(8, 39.14735295437866)	(9, 39.19025078876124)	(10, 39.21612695196085)	(15, 39.27563820607543)	(20, 39.258089646685875)	(25, 39.07931954821129)	(30, 39.022035043464534)	(35, 39.02475052900311)	(40, 39.014429609915965)	(45, 38.99256752739616)	(50, 38.948044352801254)	(55, 38.981598627905214)	(60, 38.95582376331741)	(65, 38.92858131036489)	(70, 38.90212057398287)	(75, 38.84713861090229)	(80, 38.81060884211665)	(85, 38.80282558164314)	(90, 38.790360092161706)	(95, 38.76729306592721)	(100, 38.697115355825034)	(105, 38.6838618637578)	(110, 38.63846310557257)	(115, 38.622393194566136)	(120, 38.566961189721354)	(125, 38.536044443927175)	(130, 38.46683298836386)	(135, 38.41843720946689)	(140, 38.32780952480391)	(145, 38.236196225693035)	(150, 37.977369505522574)
