Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastqc_fastp_trim | SRR30333743_1	(1.0, 16.06672710044478)	(2.0, 10.504962052499584)	(3.0, 8.428235195243392)	(4.0, 6.24929509277601)	(5.0, 4.6983028952300945)	(6.0, 3.600736271545007)	(7.0, 2.989785799398125)	(8.0, 2.525614365174726)	(9.0, 2.1701906501415387)	('>10', 24.846825419463258)	('>50', 6.446411323490277)	('>100', 8.672871437099712)	('>500', 1.644466715279418)	('>1k', 1.1414038804747435)	('>5k', 0.014171801739366578)	('>10k+', 0.0)
fastqc_fastp_trim | SRR30333743_2	(1.0, 13.470199606896383)	(2.0, 9.4318057761877)	(3.0, 8.020581219702164)	(4.0, 6.300639334708606)	(5.0, 5.051169205087336)	(6.0, 3.9942264984928317)	(7.0, 3.3057973270703345)	(8.0, 2.7089093635403203)	(9.0, 2.3997639149626915)	('>10', 26.656603832781776)	('>50', 6.564447325342594)	('>100', 9.146131753883068)	('>500', 1.741562050686014)	('>1k', 1.1220898226685094)	('>5k', 0.02205631479402213)	('>10k+', 0.0640166531953344)
fastqc_fastp_trim | SRR30333744_1	(1.0, 23.555647688530424)	(2.0, 10.874204994429094)	(3.0, 6.922459427397549)	(4.0, 5.107020236677582)	(5.0, 3.964835852146293)	(6.0, 3.191886530325136)	(7.0, 2.6081144556645266)	(8.0, 2.306950076106135)	(9.0, 1.9537919008679965)	('>10', 23.180611603484888)	('>50', 6.183084131672997)	('>100', 8.02463885614026)	('>500', 1.3953364181066952)	('>1k', 0.7314178284505917)	('>5k', 0.0)	('>10k+', 0.0)
fastqc_fastp_trim | SRR30333744_2	(1.0, 21.30165383984009)	(2.0, 10.583459017391041)	(3.0, 7.534373471415592)	(4.0, 5.591872165185588)	(5.0, 4.42355017903517)	(6.0, 3.5342177510344084)	(7.0, 3.0369748698485575)	(8.0, 2.4688751622688523)	(9.0, 2.091185389651483)	('>10', 23.695871414249105)	('>50', 5.8993614381493495)	('>100', 7.916063945455942)	('>500', 1.2725915989699474)	('>1k', 0.5641966627516506)	('>5k', 0.01687449504756224)	('>10k+', 0.06887859970570144)
fastqc_fastp_trim | SRR30333745_1	(1.0, 20.11719799670181)	(2.0, 11.33810373098305)	(3.0, 7.76574150420576)	(4.0, 5.3966644337348475)	(5.0, 4.060526309553917)	(6.0, 3.2982175546611465)	(7.0, 2.72539471412681)	(8.0, 2.3282810168454744)	(9.0, 2.0285002055732955)	('>10', 23.668991941315934)	('>50', 6.20725017556079)	('>100', 8.356811834214716)	('>500', 1.6003002997957667)	('>1k', 1.0949125760786482)	('>5k', 0.013105706647866682)	('>10k+', 0.0)
fastqc_fastp_trim | SRR30333745_2	(1.0, 17.431187443088472)	(2.0, 10.446645292612947)	(3.0, 7.665449441060049)	(4.0, 5.882717754968466)	(5.0, 4.5605681517470895)	(6.0, 3.51354826792295)	(7.0, 3.0604683079442294)	(8.0, 2.571735126603024)	(9.0, 2.2840027664531357)	('>10', 25.064579077473987)	('>50', 6.1992572774674555)	('>100', 8.627836605776034)	('>500', 1.6355229075805173)	('>1k', 0.9548222825566595)	('>5k', 0.0245615817975147)	('>10k+', 0.07709771494754081)
fastqc_fastp_trim | SRR30333746_1	(1.0, 25.092867773218813)	(2.0, 11.181268490288595)	(3.0, 6.969821494415654)	(4.0, 5.01142398665591)	(5.0, 3.7638656036552858)	(6.0, 3.123094097134072)	(7.0, 2.5596694662738497)	(8.0, 2.242698185943141)	(9.0, 1.9365002356781367)	('>10', 22.379668598760176)	('>50', 5.715691114074657)	('>100', 7.76032783769804)	('>500', 1.3437228503734724)	('>1k', 0.8895574302164099)	('>5k', 0.029822835613718447)	('>10k+', 0.0)
fastqc_fastp_trim | SRR30333746_2	(1.0, 21.233393789907236)	(2.0, 11.050947332512076)	(3.0, 7.535825896857556)	(4.0, 5.569886493343432)	(5.0, 4.284848887612429)	(6.0, 3.505381676711914)	(7.0, 2.9550739450430905)	(8.0, 2.4862896690982548)	(9.0, 2.059753474681373)	('>10', 23.54941063593306)	('>50', 5.77732415783793)	('>100', 7.803897730628)	('>500', 1.377146248374931)	('>1k', 0.7478149705257949)	('>5k', 0.0)	('>10k+', 0.06300509093302446)
fastqc_fastp_trim | SRR30333747_1	(1.0, 28.57498105944244)	(2.0, 11.329265040801657)	(3.0, 7.153616842870184)	(4.0, 5.241489514652696)	(5.0, 4.193846895617101)	(6.0, 3.1492831831805597)	(7.0, 2.7590056463178128)	(8.0, 2.299263458490537)	(9.0, 1.976325503448331)	('>10', 21.68932431137393)	('>50', 4.789252015831028)	('>100', 5.681393037574571)	('>500', 0.8245546786298245)	('>1k', 0.3383988117693364)	('>5k', 0.0)	('>10k+', 0.0)
fastqc_fastp_trim | SRR30333747_2	(1.0, 26.078184263520487)	(2.0, 12.034400766675953)	(3.0, 8.197107920431362)	(4.0, 5.90233645790097)	(5.0, 4.556586765043694)	(6.0, 3.749988145066748)	(7.0, 2.9500747778470244)	(8.0, 2.5794306561272453)	(9.0, 2.0124529514741565)	('>10', 21.440394888332374)	('>50', 4.540833026402033)	('>100', 5.035745019666197)	('>500', 0.5459368675684405)	('>1k', 0.2862729338573844)	('>5k', 0.015360035791785371)	('>10k+', 0.0748945242941762)
