Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
fastqc_fastp_trim | SRR30333743_1	70.2724277601248	53.0	130.2112946119996	137	27.27272727272727	48.445541999999996
fastqc_fastp_trim | SRR30333743_2	73.18637799873719	53.0	130.28045065529454	137	18.181818181818183	48.445541999999996
fastqc_fastp_trim | SRR30333744_1	63.80911580797213	53.0	135.36008787105845	147	27.27272727272727	43.538795
fastqc_fastp_trim | SRR30333744_2	65.59939196395533	53.0	135.41272233188815	147	18.181818181818183	43.538795
fastqc_fastp_trim | SRR30333745_1	66.572224611022	53.0	132.72003454779048	142	27.27272727272727	45.983838
fastqc_fastp_trim | SRR30333745_2	69.27623423147662	53.0	132.78822846409645	142	18.181818181818183	45.983838
fastqc_fastp_trim | SRR30333746_1	62.241469633698756	53.0	134.8931176722172	147	27.27272727272727	41.071598
fastqc_fastp_trim | SRR30333746_2	65.4983582760656	53.0	134.945610370456	147	18.181818181818183	41.071598
fastqc_fastp_trim | SRR30333747_1	58.47298430817969	51.0	137.42040264761167	151	27.27272727272727	39.514254
fastqc_fastp_trim | SRR30333747_2	59.87904557080761	51.0	137.47433230044024	151	18.181818181818183	39.514254
fastqc_fastp_trim | SRR30333748_1	65.44685453080461	52.0	138.97878186067348	151	27.27272727272727	63.03696
fastqc_fastp_trim | SRR30333748_2	66.93262261335141	52.0	139.02422242443163	151	18.181818181818183	63.03696
fastqc_fastp_trim | SRR30333749_1	76.84342642070925	51.0	141.18628541113142	151	27.27272727272727	51.654979
fastqc_fastp_trim | SRR30333749_2	78.95044900048248	51.0	141.23302770096953	151	18.181818181818183	51.654979
fastqc_fastp_trim | SRR30333750_1	62.38438302120756	52.0	137.29595166709973	151	27.27272727272727	51.690338999999994
fastqc_fastp_trim | SRR30333750_2	63.97134844369493	52.0	137.33992709933668	151	18.181818181818183	51.690338999999994
fastqc_fastp_trim | SRR30333751_1	63.50447687610456	52.0	136.6323352334484	151	27.27272727272727	53.477813999999995
fastqc_fastp_trim | SRR30333751_2	65.55205901394737	52.0	136.6766447671178	151	18.181818181818183	53.477813999999995
fastqc_fastp_trim | SRR30333752_1	63.54379389863971	52.0	138.49504332541156	151	27.27272727272727	57.566216
fastqc_fastp_trim | SRR30333752_2	65.2561694820119	52.0	138.53689071729156	151	18.181818181818183	57.566216
fastqc_fastp_trim | SRR30333753_1	63.78417372094198	53.0	131.90279940034517	137	27.27272727272727	38.864359
fastqc_fastp_trim | SRR30333753_2	66.79006167492804	53.0	131.97741583747722	137	18.181818181818183	38.864359
fastqc_fastp_trim | SRR30333754_1	69.26231853967103	53.0	132.29203883813466	142	27.27272727272727	48.799974999999996
fastqc_fastp_trim | SRR30333754_2	71.71438610460075	53.0	132.3568421705134	142	18.181818181818183	48.799974999999996
fastqc_fastp_trim | SRR30333755_1	66.22955466124436	52.0	130.71446236034097	137	27.27272727272727	38.573502999999995
fastqc_fastp_trim | SRR30333755_2	69.56809071215616	52.0	130.7992609071569	137	18.181818181818183	38.573502999999995
fastqc_fastp_trim | SRR30333756_1	70.44259889379597	52.0	138.87280672906903	151	27.27272727272727	47.649266
fastqc_fastp_trim | SRR30333756_2	72.72841879945008	52.0	138.9175165468446	151	18.181818181818183	47.649266
fastqc_fastp_trim | SRR30333757_1	64.55779083457745	49.0	140.45366915329495	151	18.181818181818183	44.948012999999996
fastqc_fastp_trim | SRR30333757_2	64.44846981066975	49.0	140.4550933541823	151	9.090909090909092	44.948012999999996
fastqc_fastp_trim | SRR30333758_1	65.5791793270248	49.0	141.60329742152442	151	18.181818181818183	40.107884
fastqc_fastp_trim | SRR30333758_2	64.66058726852685	49.0	141.6064163843697	151	9.090909090909092	40.107884
fastqc_fastp_trim | SRR30333759_1	64.56615081474666	48.0	140.54352110686912	151	18.181818181818183	42.583245999999995
fastqc_fastp_trim | SRR30333759_2	64.6027054832536	48.0	140.54305350512735	151	9.090909090909092	42.583245999999995
