Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc_fastp_trim | SRR30333748_1	SRR30333748_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63036960.0	8.7 Gbp	0.0	15-151	52.0	34.55314546919539	138.97878186067348	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333748_2	SRR30333748_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63036960.0	8.7 Gbp	0.0	15-151	52.0	33.06737738664859	139.02422242443163	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333749_1	SRR30333749_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51654979.0	7.2 Gbp	0.0	15-151	51.0	23.156573579290747	141.18628541113142	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333749_2	SRR30333749_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51654979.0	7.2 Gbp	0.0	15-151	51.0	21.04955099951753	141.23302770096953	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333750_1	SRR30333750_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51690339.0	7 Gbp	0.0	15-151	52.0	37.61561697879244	137.29595166709973	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333750_2	SRR30333750_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51690339.0	7 Gbp	0.0	15-151	52.0	36.02865155630507	137.33992709933668	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333751_1	SRR30333751_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53477814.0	7.3 Gbp	0.0	15-151	52.0	36.49552312389544	136.6323352334484	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333751_2	SRR30333751_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53477814.0	7.3 Gbp	0.0	15-151	52.0	34.44794098605263	136.6766447671178	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333752_1	SRR30333752_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57566216.0	7.9 Gbp	0.0	15-151	52.0	36.45620610136029	138.49504332541156	151	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333752_2	SRR30333752_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57566216.0	7.9 Gbp	0.0	15-151	52.0	34.7438305179881	138.53689071729156	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333753_1	SRR30333753_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38864359.0	5.1 Gbp	0.0	15-151	53.0	36.21582627905802	131.90279940034517	137	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333753_2	SRR30333753_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38864359.0	5.1 Gbp	0.0	15-151	53.0	33.20993832507197	131.97741583747722	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333754_1	SRR30333754_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48799975.0	6.4 Gbp	0.0	15-151	53.0	30.737681460328975	132.29203883813466	142	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333754_2	SRR30333754_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48799975.0	6.4 Gbp	0.0	15-151	53.0	28.28561389539925	132.3568421705134	142	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333755_1	SRR30333755_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38573503.0	5 Gbp	0.0	15-151	52.0	33.770445338755636	130.71446236034097	137	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333755_2	SRR30333755_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38573503.0	5 Gbp	0.0	15-151	52.0	30.43190928784384	130.7992609071569	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333756_1	SRR30333756_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47649266.0	6.6 Gbp	0.0	15-151	52.0	29.55740110620403	138.87280672906903	151	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333756_2	SRR30333756_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47649266.0	6.6 Gbp	0.0	15-151	52.0	27.27158120054991	138.9175165468446	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
fastqc_fastp_trim | SRR30333757_1	SRR30333757_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44948013.0	6.3 Gbp	0.0	15-151	49.0	35.44220916542256	140.45366915329495	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333757_2	SRR30333757_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44948013.0	6.3 Gbp	0.0	15-151	49.0	35.55153018933025	140.4550933541823	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333758_1	SRR30333758_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40107884.0	5.6 Gbp	0.0	15-151	49.0	34.42082067297519	141.60329742152442	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333758_2	SRR30333758_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40107884.0	5.6 Gbp	0.0	15-151	49.0	35.339412731473146	141.6064163843697	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333759_1	SRR30333759_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42583246.0	5.9 Gbp	0.0	15-151	48.0	35.433849185253344	140.54352110686912	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333759_2	SRR30333759_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42583246.0	5.9 Gbp	0.0	15-151	48.0	35.3972945167464	140.54305350512735	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333760_1	SRR30333760_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40637728.0	5.7 Gbp	0.0	15-151	49.0	34.73358502540926	140.80652461673054	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333760_2	SRR30333760_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40637728.0	5.7 Gbp	0.0	15-151	49.0	35.79004948587139	140.81001432954125	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333761_1	SRR30333761_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41576563.0	5.7 Gbp	0.0	15-151	49.0	37.37364241263318	139.26296671035556	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333761_2	SRR30333761_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41576563.0	5.7 Gbp	0.0	15-151	49.0	35.91465130055181	139.26456032452705	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333762_1	SRR30333762_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40165536.0	5.6 Gbp	0.0	15-151	49.0	34.79172814447742	140.45895662888702	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333762_2	SRR30333762_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40165536.0	5.6 Gbp	0.0	15-151	49.0	36.04389112048827	140.45888950666563	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333763_1	SRR30333763_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42552007.0	5.9 Gbp	0.0	15-151	49.0	34.24757858230015	139.5377062238216	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333763_2	SRR30333763_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42552007.0	5.9 Gbp	0.0	15-151	49.0	35.335589063144894	139.54417764595686	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333764_1	SRR30333764_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40267584.0	5.6 Gbp	0.0	15-151	49.0	35.4987218391626	140.09095633847812	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333764_2	SRR30333764_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40267584.0	5.6 Gbp	0.0	15-151	49.0	36.127549830085705	140.0923448995599	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333765_1	SRR30333765_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40091944.0	5.6 Gbp	0.0	15-151	49.0	38.01943167490441	140.47649206035007	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333765_2	SRR30333765_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40091944.0	5.6 Gbp	0.0	15-151	49.0	37.10811409176493	140.476825917945	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333766_1	SRR30333766_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44697103.0	6.2 Gbp	0.0	15-151	49.0	34.46511559349708	140.29527493090546	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333766_2	SRR30333766_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44697103.0	6.2 Gbp	0.0	15-151	49.0	34.94494986638353	140.29834996241254	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333767_1	SRR30333767_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41767128.0	5.8 Gbp	0.0	15-151	49.0	35.365038567950236	140.01400984525438	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333767_2	SRR30333767_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41767128.0	5.8 Gbp	0.0	15-151	49.0	35.94638946932862	140.0173988022351	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333768_1	SRR30333768_1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41128203.0	5.6 Gbp	0.0	15-151	49.0	35.697451123127045	137.36296268524057	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastqc_fastp_trim | SRR30333768_2	SRR30333768_2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41128203.0	5.6 Gbp	0.0	15-151	49.0	37.19486651372894	137.37311715272364	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
