Sample	Unique Reads	Duplicate Reads
fastqc_fastp_trim | SRR30333743_1	14401684.0	34043858.0
fastqc_fastp_trim | SRR30333743_2	12990005.0	35455537.0
fastqc_fastp_trim | SRR30333744_1	15757075.0	27781720.0
fastqc_fastp_trim | SRR30333744_2	14977611.0	28561184.0
fastqc_fastp_trim | SRR30333745_1	15371375.0	30612463.0
fastqc_fastp_trim | SRR30333745_2	14127967.0	31855871.0
fastqc_fastp_trim | SRR30333746_1	15508032.0	25563566.0
fastqc_fastp_trim | SRR30333746_2	14170376.0	26901222.0
fastqc_fastp_trim | SRR30333747_1	16409091.0	23105163.0
fastqc_fastp_trim | SRR30333747_2	15853496.0	23660758.0
fastqc_fastp_trim | SRR30333748_1	21781253.0	41255707.0
fastqc_fastp_trim | SRR30333748_2	20844670.0	42192290.0
fastqc_fastp_trim | SRR30333749_1	11961524.0	39693455.0
fastqc_fastp_trim | SRR30333749_2	10873142.0	40781837.0
fastqc_fastp_trim | SRR30333750_1	19443640.0	32246699.0
fastqc_fastp_trim | SRR30333750_2	18623333.0	33067006.0
fastqc_fastp_trim | SRR30333751_1	19517008.0	33960806.0
fastqc_fastp_trim | SRR30333751_2	18422006.0	35055808.0
fastqc_fastp_trim | SRR30333752_1	20986459.0	36579757.0
fastqc_fastp_trim | SRR30333752_2	20000709.0	37565507.0
fastqc_fastp_trim | SRR30333753_1	14075049.0	24789310.0
fastqc_fastp_trim | SRR30333753_2	12906830.0	25957529.0
fastqc_fastp_trim | SRR30333754_1	14999981.0	33799994.0
fastqc_fastp_trim | SRR30333754_2	13803373.0	34996602.0
fastqc_fastp_trim | SRR30333755_1	13026444.0	25547059.0
fastqc_fastp_trim | SRR30333755_2	11738654.0	26834849.0
fastqc_fastp_trim | SRR30333756_1	14083885.0	33565381.0
fastqc_fastp_trim | SRR30333756_2	12994709.0	34654557.0
fastqc_fastp_trim | SRR30333757_1	15930569.0	29017444.0
fastqc_fastp_trim | SRR30333757_2	15979707.0	28968306.0
fastqc_fastp_trim | SRR30333758_1	13805463.0	26302421.0
fastqc_fastp_trim | SRR30333758_2	14173891.0	25933993.0
fastqc_fastp_trim | SRR30333759_1	15088884.0	27494362.0
fastqc_fastp_trim | SRR30333759_2	15073318.0	27509928.0
fastqc_fastp_trim | SRR30333760_1	14114940.0	26522788.0
fastqc_fastp_trim | SRR30333760_2	14544263.0	26093465.0
fastqc_fastp_trim | SRR30333761_1	15538676.0	26037887.0
fastqc_fastp_trim | SRR30333761_2	14932078.0	26644485.0
fastqc_fastp_trim | SRR30333762_1	13974285.0	26191251.0
fastqc_fastp_trim | SRR30333762_2	14477223.0	25688313.0
fastqc_fastp_trim | SRR30333763_1	14573033.0	27978974.0
fastqc_fastp_trim | SRR30333763_2	15036003.0	27516004.0
fastqc_fastp_trim | SRR30333764_1	14294478.0	25973106.0
fastqc_fastp_trim | SRR30333764_2	14547692.0	25719892.0
fastqc_fastp_trim | SRR30333765_1	15242730.0	24849214.0
fastqc_fastp_trim | SRR30333765_2	14877365.0	25214579.0
fastqc_fastp_trim | SRR30333766_1	15404909.0	29292194.0
fastqc_fastp_trim | SRR30333766_2	15619381.0	29077722.0
fastqc_fastp_trim | SRR30333767_1	14770961.0	26996167.0
fastqc_fastp_trim | SRR30333767_2	15013775.0	26753353.0
fastqc_fastp_trim | SRR30333768_1	14681721.0	26446482.0
fastqc_fastp_trim | SRR30333768_2	15297581.0	25830622.0
