Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
fastp | SRR30333748_2	(19.0, 22.0)	(20.0, 9882.0)	(21.0, 89046.0)	(22.0, 125678.0)	(23.0, 125386.0)	(24.0, 138536.0)	(25.0, 149130.0)	(26.0, 162454.0)	(27.0, 173305.0)	(28.0, 196445.0)	(29.0, 219709.0)	(30.0, 255257.0)	(31.0, 293386.0)	(32.0, 361335.0)	(33.0, 450604.0)	(34.0, 605443.0)	(35.0, 874387.0)	(36.0, 1482796.0)	(37.0, 2611871.0)	(38.0, 6418620.0)	(39.0, 36486148.0)	(40.0, 11846691.0)														
fastp | SRR30333749_1	(20.0, 1544.0)	(21.0, 21182.0)	(22.0, 43883.0)	(23.0, 55642.0)	(24.0, 67655.0)	(25.0, 79521.0)	(26.0, 92557.0)	(27.0, 105643.0)	(28.0, 126963.0)	(29.0, 149182.0)	(30.0, 179118.0)	(31.0, 213043.0)	(32.0, 271426.0)	(33.0, 345187.0)	(34.0, 468419.0)	(35.0, 684189.0)	(36.0, 1151140.0)	(37.0, 1965306.0)	(38.0, 4680495.0)	(39.0, 28026327.0)	(40.0, 12961830.0)															
fastp | SRR30333749_2	(19.0, 46.0)	(20.0, 8223.0)	(21.0, 67418.0)	(22.0, 95514.0)	(23.0, 98159.0)	(24.0, 107586.0)	(25.0, 115408.0)	(26.0, 124869.0)	(27.0, 131492.0)	(28.0, 148108.0)	(29.0, 163826.0)	(30.0, 188142.0)	(31.0, 213683.0)	(32.0, 260989.0)	(33.0, 321481.0)	(34.0, 427416.0)	(35.0, 609335.0)	(36.0, 1014013.0)	(37.0, 1747627.0)	(38.0, 4298463.0)	(39.0, 28129972.0)	(40.0, 13418482.0)														
fastp | SRR30333750_1	(20.0, 864.0)	(21.0, 17117.0)	(22.0, 41330.0)	(23.0, 54522.0)	(24.0, 68452.0)	(25.0, 81940.0)	(26.0, 96543.0)	(27.0, 111214.0)	(28.0, 133908.0)	(29.0, 158353.0)	(30.0, 194114.0)	(31.0, 233071.0)	(32.0, 298856.0)	(33.0, 383001.0)	(34.0, 527128.0)	(35.0, 777836.0)	(36.0, 1339091.0)	(37.0, 2344563.0)	(38.0, 5714097.0)	(39.0, 30587305.0)	(40.0, 8556647.0)															
fastp | SRR30333750_2	(19.0, 14.0)	(20.0, 6485.0)	(21.0, 59664.0)	(22.0, 88324.0)	(23.0, 91430.0)	(24.0, 102586.0)	(25.0, 111672.0)	(26.0, 123759.0)	(27.0, 132263.0)	(28.0, 152403.0)	(29.0, 172111.0)	(30.0, 200639.0)	(31.0, 232349.0)	(32.0, 287184.0)	(33.0, 359797.0)	(34.0, 485754.0)	(35.0, 704359.0)	(36.0, 1201284.0)	(37.0, 2125988.0)	(38.0, 5322844.0)	(39.0, 30163916.0)	(40.0, 9595127.0)														
fastp | SRR30333751_1	(20.0, 1147.0)	(21.0, 21635.0)	(22.0, 49209.0)	(23.0, 63936.0)	(24.0, 79806.0)	(25.0, 93719.0)	(26.0, 110100.0)	(27.0, 125178.0)	(28.0, 150300.0)	(29.0, 175065.0)	(30.0, 212905.0)	(31.0, 252555.0)	(32.0, 322314.0)	(33.0, 409159.0)	(34.0, 556143.0)	(35.0, 808569.0)	(36.0, 1369013.0)	(37.0, 2336030.0)	(38.0, 5510540.0)	(39.0, 31005903.0)	(40.0, 9856465.0)															
fastp | SRR30333751_2	(19.0, 13.0)	(20.0, 6908.0)	(21.0, 62779.0)	(22.0, 90248.0)	(23.0, 91354.0)	(24.0, 101310.0)	(25.0, 110156.0)	(26.0, 121322.0)	(27.0, 129621.0)	(28.0, 147859.0)	(29.0, 166002.0)	(30.0, 193943.0)	(31.0, 224629.0)	(32.0, 276833.0)	(33.0, 345986.0)	(34.0, 465626.0)	(35.0, 674014.0)	(36.0, 1146732.0)	(37.0, 2007293.0)	(38.0, 4920466.0)	(39.0, 30529183.0)	(40.0, 11697414.0)														
fastp | SRR30333752_1	(20.0, 845.0)	(21.0, 18280.0)	(22.0, 44368.0)	(23.0, 58740.0)	(24.0, 74463.0)	(25.0, 90403.0)	(26.0, 107432.0)	(27.0, 123296.0)	(28.0, 148715.0)	(29.0, 176247.0)	(30.0, 215634.0)	(31.0, 259994.0)	(32.0, 335749.0)	(33.0, 429724.0)	(34.0, 595964.0)	(35.0, 882618.0)	(36.0, 1527190.0)	(37.0, 2695574.0)	(38.0, 6688748.0)	(39.0, 34501858.0)	(40.0, 8621847.0)															
fastp | SRR30333752_2	(19.0, 18.0)	(20.0, 8456.0)	(21.0, 77222.0)	(22.0, 110308.0)	(23.0, 111268.0)	(24.0, 121569.0)	(25.0, 131746.0)	(26.0, 144046.0)	(27.0, 153647.0)	(28.0, 175170.0)	(29.0, 197470.0)	(30.0, 230657.0)	(31.0, 266319.0)	(32.0, 329419.0)	(33.0, 410534.0)	(34.0, 554102.0)	(35.0, 800767.0)	(36.0, 1368332.0)	(37.0, 2434593.0)	(38.0, 6114582.0)	(39.0, 33843576.0)	(40.0, 10013888.0)														
fastp | SRR30333753_1	(20.0, 957.0)	(21.0, 19216.0)	(22.0, 46988.0)	(23.0, 61146.0)	(24.0, 74047.0)	(25.0, 84387.0)	(26.0, 97906.0)	(27.0, 111373.0)	(28.0, 133373.0)	(29.0, 156576.0)	(30.0, 190006.0)	(31.0, 227493.0)	(32.0, 288889.0)	(33.0, 362380.0)	(34.0, 488497.0)	(35.0, 699638.0)	(36.0, 1166214.0)	(37.0, 1949853.0)	(38.0, 4433259.0)	(39.0, 22146966.0)	(40.0, 6149870.0)															
fastp | SRR30333753_2	(19.0, 10.0)	(20.0, 5546.0)	(21.0, 57070.0)	(22.0, 86423.0)	(23.0, 87791.0)	(24.0, 93938.0)	(25.0, 100405.0)	(26.0, 108304.0)	(27.0, 114905.0)	(28.0, 130292.0)	(29.0, 145572.0)	(30.0, 169808.0)	(31.0, 195861.0)	(32.0, 239287.0)	(33.0, 294349.0)	(34.0, 394019.0)	(35.0, 559441.0)	(36.0, 932491.0)	(37.0, 1566496.0)	(38.0, 3694964.0)	(39.0, 21627503.0)	(40.0, 8284559.0)														
fastp | SRR30333754_1	(20.0, 969.0)	(21.0, 18685.0)	(22.0, 45009.0)	(23.0, 59596.0)	(24.0, 73842.0)	(25.0, 86412.0)	(26.0, 101566.0)	(27.0, 116344.0)	(28.0, 139872.0)	(29.0, 163194.0)	(30.0, 197166.0)	(31.0, 235886.0)	(32.0, 300076.0)	(33.0, 378285.0)	(34.0, 513705.0)	(35.0, 745071.0)	(36.0, 1252934.0)	(37.0, 2107428.0)	(38.0, 4886568.0)	(39.0, 27487765.0)	(40.0, 9921070.0)															
fastp | SRR30333754_2	(19.0, 9.0)	(20.0, 6948.0)	(21.0, 66908.0)	(22.0, 96914.0)	(23.0, 96447.0)	(24.0, 103727.0)	(25.0, 110311.0)	(26.0, 119480.0)	(27.0, 126215.0)	(28.0, 142350.0)	(29.0, 158536.0)	(30.0, 184454.0)	(31.0, 212593.0)	(32.0, 261303.0)	(33.0, 323097.0)	(34.0, 432997.0)	(35.0, 620869.0)	(36.0, 1045805.0)	(37.0, 1792640.0)	(38.0, 4330299.0)	(39.0, 27222710.0)	(40.0, 11376831.0)														
fastp | SRR30333755_1	(20.0, 1000.0)	(21.0, 21584.0)	(22.0, 54101.0)	(23.0, 69904.0)	(24.0, 83229.0)	(25.0, 95387.0)	(26.0, 110386.0)	(27.0, 126100.0)	(28.0, 150065.0)	(29.0, 175022.0)	(30.0, 211947.0)	(31.0, 252663.0)	(32.0, 320508.0)	(33.0, 401228.0)	(34.0, 540625.0)	(35.0, 770868.0)	(36.0, 1273828.0)	(37.0, 2110202.0)	(38.0, 4697916.0)	(39.0, 21659129.0)	(40.0, 5476268.0)															
fastp | SRR30333755_2	(19.0, 11.0)	(20.0, 5344.0)	(21.0, 55731.0)	(22.0, 86764.0)	(23.0, 88142.0)	(24.0, 95789.0)	(25.0, 101691.0)	(26.0, 109819.0)	(27.0, 116301.0)	(28.0, 132769.0)	(29.0, 148413.0)	(30.0, 173683.0)	(31.0, 199790.0)	(32.0, 248095.0)	(33.0, 305705.0)	(34.0, 407351.0)	(35.0, 585329.0)	(36.0, 974524.0)	(37.0, 1636847.0)	(38.0, 3773750.0)	(39.0, 21159824.0)	(40.0, 8196288.0)														
