Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
qc_bundle_trimmed | SRR30333748_1 - illumina_universal_adapter	(1, 2.904770878247079e-05)	(2, 5.9624244342966355e-05)	(3, 0.00010396022090568494)	(4, 0.0002706023397103858)	(5, 0.000351630158945699)	(6, 0.0005626082543131184)	(7, 0.0006451649003264564)	(8, 0.0007582980819002901)	(9, 0.0008744889170301732)	(10, 0.0013074526605667905)	(15, 0.0018804569369704773)	(20, 0.002304859250550156)	(25, 0.0027567804461342805)	(30, 0.0037544928014732514)	(35, 0.006350440670559325)	(40, 0.012325095719080158)	(45, 0.022812235885618933)	(50, 0.04259831204681561)	(55, 0.07351149526383223)	(60, 0.12499626584059467)	(65, 0.20786907323162823)	(70, 0.3415989149243672)	(75, 0.5626755226913516)	(80, 0.9157895609078015)	(85, 1.4767549379652547)	(90, 2.333998383173953)	(95, 3.5895152692644636)	(100, 5.333028464889438)	(105, 7.608554116049632)	(110, 10.398864485314196)	(115, 13.603240770312215)	(120, 17.140384855234014)	(125, 20.86491968446116)	(130, 24.672198899629983)	(135, 28.484258144602983)	(140, 30.731856717008995)
qc_bundle_trimmed | SRR30333748_2 - illumina_universal_adapter	(1, 2.1403574892346898e-05)	(2, 3.6691842672594685e-05)	(3, 7.185485856716458e-05)	(4, 0.00018804569369704774)	(5, 0.00026601585937631147)	(6, 0.0004494750727392849)	(7, 0.0005228587580844742)	(8, 0.00062070367187806)	(9, 0.0007323080266738688)	(10, 0.0010924996155765067)	(15, 0.0016453233785102665)	(20, 0.0021030541158508853)	(25, 0.0025788250091721963)	(30, 0.0036282117096084047)	(35, 0.0062960144372616435)	(40, 0.012457186352701502)	(45, 0.022979795300490442)	(50, 0.04288909489999593)	(55, 0.0742434975251505)	(60, 0.1263303200870991)	(65, 0.20981221206649772)	(70, 0.3433751058750764)	(75, 0.5632106120636602)	(80, 0.9153082862380792)	(85, 1.4777774173143974)	(90, 2.3398754990740356)	(95, 3.6013710151626896)	(100, 5.347848300144899)	(105, 7.62545499031534)	(110, 10.4237051685689)	(115, 13.645899012368726)	(120, 17.1999146180821)	(125, 20.94018107485512)	(130, 24.769022251370494)	(135, 28.594817699178684)	(140, 30.84326996845755)
qc_bundle_trimmed | SRR30333749_1 - illumina_universal_adapter	(1, 3.744302061534085e-06)	(2, 3.744302061534085e-06)	(3, 7.48860412306817e-06)	(4, 4.3059473707641976e-05)	(5, 5.054807783071014e-05)	(6, 8.42467963845169e-05)	(7, 9.173540050758508e-05)	(8, 9.73518535998862e-05)	(9, 0.00012917842112292592)	(10, 0.00019807357905515308)	(15, 0.0002486216568858632)	(20, 0.00030253960657195407)	(25, 0.0004478185265594766)	(30, 0.0009866235932142315)	(35, 0.0024719882210248027)	(40, 0.006033568341956024)	(45, 0.012277940889976417)	(50, 0.024584712905826644)	(55, 0.04388134801014871)	(60, 0.07630475728179696)	(65, 0.1298093360202944)	(70, 0.2157672784469324)	(75, 0.3596593089508627)	(80, 0.5940020699250657)	(85, 0.9815358355730188)	(90, 1.5919858755939915)	(95, 2.5200276164742847)	(100, 3.8479012831236403)	(105, 5.634894903244801)	(110, 7.897832000430445)	(115, 10.566809076203175)	(120, 13.60307372751673)	(125, 16.917365911956406)	(130, 20.439229097630317)	(135, 24.08269972565873)	(140, 26.273672086082104)
qc_bundle_trimmed | SRR30333749_2 - illumina_universal_adapter	(1, 1.8721510307670424e-06)	(2, 1.8721510307670424e-06)	(3, 5.616453092301127e-06)	(4, 1.497720824613634e-05)	(5, 1.497720824613634e-05)	(6, 6.365313504607944e-05)	(7, 7.301389019991465e-05)	(8, 8.799109844605099e-05)	(9, 9.173540050758508e-05)	(10, 0.0001243108284429316)	(15, 0.00017485890627364176)	(20, 0.0002441284944120223)	(25, 0.0004137453777995163)	(30, 0.0009637833506388734)	(35, 0.0024405360837079166)	(40, 0.006058655165768303)	(45, 0.012347584908320951)	(50, 0.024569361267374357)	(55, 0.044102636261985365)	(60, 0.0767143839273288)	(65, 0.13031107249654)	(70, 0.21586537916094456)	(75, 0.3588943480396913)	(80, 0.5921460193931632)	(85, 0.9794783415902059)	(90, 1.591318640966626)	(95, 2.519888702867802)	(100, 3.845514290559412)	(105, 5.628031223135803)	(110, 7.888088952036128)	(115, 10.55912164964064)	(120, 13.595475040913053)	(125, 16.90973202891335)	(130, 20.433914809714384)	(135, 24.07269158067846)	(140, 26.260664380720335)
qc_bundle_trimmed | SRR30333750_1 - illumina_universal_adapter	(1, 5.2888523723015096e-05)	(2, 7.366615804277102e-05)	(3, 0.00010388817159877965)	(4, 0.0002965535080183346)	(5, 0.0003872195486863605)	(6, 0.0005761071334114145)	(7, 0.0006894396842464467)	(8, 0.000798994483386978)	(9, 0.0009331046685417664)	(10, 0.0013739682912900422)	(15, 0.0019406310454652038)	(20, 0.002358828158046473)	(25, 0.0028937577979878263)	(30, 0.004580901704752008)	(35, 0.00900653781486002)	(40, 0.020227593673036573)	(45, 0.03955646021795134)	(50, 0.07583043198855069)	(55, 0.1337837874083834)	(60, 0.2255559537725592)	(65, 0.368914830625825)	(70, 0.5809959218792683)	(75, 0.9110592207533358)	(80, 1.4017513883520807)	(85, 2.1394665837273874)	(90, 3.214502894532237)	(95, 4.727059517835729)	(100, 6.768250913432025)	(105, 9.363202907841256)	(110, 12.500060538470905)	(115, 16.06421361886286)	(120, 19.974144689627664)	(125, 24.072395926813012)	(130, 28.23686850677678)	(135, 32.380122211022865)	(140, 34.80813800247828)
qc_bundle_trimmed | SRR30333750_2 - illumina_universal_adapter	(1, 4.533302033401294e-05)	(2, 5.4777399570265635e-05)	(3, 7.366615804277102e-05)	(4, 0.00023044285336456578)	(5, 0.00031166451479633893)	(6, 0.0004778855893543864)	(7, 0.0005893292643421681)	(8, 0.0006969951876354489)	(9, 0.0008122166143177318)	(10, 0.0012020805891902432)	(15, 0.0017762988467544065)	(20, 0.0022114958419609315)	(25, 0.0027551143107996364)	(30, 0.004474746882136527)	(35, 0.008963849220712158)	(40, 0.020279726646420686)	(45, 0.0395961266107436)	(50, 0.0758780316599014)	(55, 0.13421633997740373)	(60, 0.2265355247869433)	(65, 0.37032846530990726)	(70, 0.5818954045577289)	(75, 0.9098631845668568)	(80, 1.3987624312113915)	(85, 2.137653262914027)	(90, 3.2185503776977256)	(95, 4.737450223871454)	(100, 6.781030291864186)	(105, 9.377117122882444)	(110, 12.521114326439527)	(115, 16.10414029874687)	(120, 20.033136926763483)	(125, 24.146618547680383)	(130, 28.33074336973411)	(135, 32.48530350702667)	(140, 34.91067185009458)
qc_bundle_trimmed | SRR30333751_1 - illumina_universal_adapter	(1, 4.1640320111952355e-05)	(2, 5.974480711714903e-05)	(3, 8.690153762494405e-05)	(4, 0.00021363294666132076)	(5, 0.00028242999728106817)	(6, 0.00044537038032783823)	(7, 0.0005268405718512233)	(8, 0.0006227943529787657)	(9, 0.0007386630698120244)	(10, 0.0011199435661414664)	(15, 0.0016489566764333133)	(20, 0.002044358672626809)	(25, 0.002512902796321299)	(30, 0.003936277564669861)	(35, 0.007999286538376098)	(40, 0.01858715262875522)	(45, 0.03666520708292431)	(50, 0.07107097418760007)	(55, 0.12329372904382999)	(60, 0.2062354532709974)	(65, 0.3358711841127478)	(70, 0.5316223289590358)	(75, 0.8415501452830767)	(80, 1.3174649677271224)	(85, 2.053878373983881)	(90, 3.1485679912017983)	(95, 4.716977080769512)	(100, 6.855384580401176)	(105, 9.602482313455077)	(110, 12.927091818680086)	(115, 16.696720839274775)	(120, 20.811717209506174)	(125, 25.104042684876596)	(130, 29.447831612918247)	(135, 33.73622877669828)	(140, 36.24142992424757)
qc_bundle_trimmed | SRR30333751_2 - illumina_universal_adapter	(1, 3.077762790883435e-05)	(2, 3.9829871411432685e-05)	(3, 5.612390971610969e-05)	(4, 0.0001502672421431324)	(5, 0.0002118224979608011)	(6, 0.00036027929140341385)	(7, 0.0004290763420231612)	(8, 0.0005250301231507036)	(9, 0.000626415250379805)	(10, 0.0009486751190723059)	(15, 0.0014860162933865429)	(20, 0.00191654099437012)	(25, 0.002418035284414068)	(30, 0.003930122039088094)	(35, 0.008103568383526032)	(40, 0.018863789190194623)	(45, 0.03695487887500745)	(50, 0.07153951831129457)	(55, 0.12424964595770435)	(60, 0.20791736011378018)	(65, 0.33828596058950094)	(70, 0.5340566582817546)	(75, 0.842561099837447)	(80, 1.3179617548505451)	(85, 2.057339227719795)	(90, 3.1602765250377995)	(95, 4.739015310711197)	(100, 6.885294279202981)	(105, 9.638507345877498)	(110, 12.977283974273814)	(115, 16.77550034193944)	(120, 20.91809483007183)	(125, 25.236820992572707)	(130, 29.6123898129238)	(135, 33.92237693954727)	(140, 36.43200680670777)
qc_bundle_trimmed | SRR30333752_1 - illumina_universal_adapter	(1, 5.392740663270026e-05)	(2, 7.752064703450662e-05)	(3, 0.00014492990532538196)	(4, 0.00029491550502257956)	(5, 0.00034884291165527984)	(6, 0.0005308479090406432)	(7, 0.0006420731852205875)	(8, 0.0007634098501441631)	(9, 0.0008881169779822825)	(10, 0.0013525667676064135)	(15, 0.0019899213047466398)	(20, 0.002465493621988765)	(25, 0.0030502689376621086)	(30, 0.004612815544844599)	(35, 0.008779381799803605)	(40, 0.019128388178910237)	(45, 0.03672658619461761)	(50, 0.0681895204555922)	(55, 0.11468707863947221)	(60, 0.18718910639422318)	(65, 0.2964413135839935)	(70, 0.46095630481320643)	(75, 0.7191172487989776)	(80, 1.114870600345169)	(85, 1.7254286091296067)	(90, 2.6357346926634966)	(95, 3.9477170422233057)	(100, 5.754233596336172)	(105, 8.097142808030398)	(110, 10.969316822334306)	(115, 14.26337033146649)	(120, 17.899564923794678)	(125, 21.72678353522125)	(130, 25.64384790246824)	(135, 29.554422443373277)	(140, 31.85324903356189)
qc_bundle_trimmed | SRR30333752_2 - illumina_universal_adapter	(1, 4.550124934634085e-05)	(2, 6.06683324617878e-05)	(3, 0.00011796620200903183)	(4, 0.0002325619411035199)	(5, 0.0002797484219071326)	(6, 0.0004432158732625053)	(7, 0.0005274774461260994)	(8, 0.0006302765650196844)	(9, 0.0007381313782850848)	(10, 0.0011304532615379792)	(15, 0.0017715153078842034)	(20, 0.002274725421025588)	(25, 0.002867252801402382)	(30, 0.00445271855640377)	(35, 0.008616925487322593)	(40, 0.019054912087373182)	(45, 0.03653446980848861)	(50, 0.06800448204158377)	(55, 0.1147979668693607)	(60, 0.18774253640479124)	(65, 0.2972960629791218)	(70, 0.46114976938450125)	(75, 0.7168587015999419)	(80, 1.1105095583800408)	(85, 1.7210847565253427)	(90, 2.634303594109981)	(95, 3.9480931858845687)	(100, 5.751912695573217)	(105, 8.089236713171754)	(110, 10.960072316652294)	(115, 14.262912622602695)	(120, 17.905152814260695)	(125, 21.73635699808372)	(130, 25.660270820065648)	(135, 29.569646824358266)	(140, 31.86000175601118)
