Sample	Unique Reads	Duplicate Reads
fastp | SRR30333768_2	15491094.0	25654037.0
qc_bundle_trimmed | SRR30333743_1	15000478.0	35095341.0
qc_bundle_trimmed | SRR30333743_2	14100589.0	35995230.0
qc_bundle_trimmed | SRR30333744_1	16415044.0	28863433.0
qc_bundle_trimmed | SRR30333744_2	16203135.0	29075342.0
qc_bundle_trimmed | SRR30333745_1	16038870.0	31774518.0
qc_bundle_trimmed | SRR30333745_2	15396176.0	32417212.0
qc_bundle_trimmed | SRR30333746_1	16009792.0	26206243.0
qc_bundle_trimmed | SRR30333746_2	14983884.0	27232151.0
qc_bundle_trimmed | SRR30333747_1	17047934.0	24088934.0
qc_bundle_trimmed | SRR30333747_2	16957724.0	24179144.0
qc_bundle_trimmed | SRR30333748_1	22689797.0	42719837.0
qc_bundle_trimmed | SRR30333748_2	22593421.0	42816213.0
qc_bundle_trimmed | SRR30333749_1	12534973.0	40879521.0
qc_bundle_trimmed | SRR30333749_2	12056137.0	41358357.0
qc_bundle_trimmed | SRR30333750_1	20037365.0	32904177.0
qc_bundle_trimmed | SRR30333750_2	19564173.0	33377369.0
qc_bundle_trimmed | SRR30333751_1	20252848.0	34982078.0
qc_bundle_trimmed | SRR30333751_2	19672142.0	35562784.0
qc_bundle_trimmed | SRR30333752_1	21670235.0	37668795.0
qc_bundle_trimmed | SRR30333752_2	21234921.0	38104109.0
qc_bundle_trimmed | SRR30333753_1	14654015.0	25657747.0
qc_bundle_trimmed | SRR30333753_2	13909641.0	26402121.0
qc_bundle_trimmed | SRR30333754_1	15744453.0	35347377.0
qc_bundle_trimmed | SRR30333754_2	15358380.0	35733450.0
qc_bundle_trimmed | SRR30333755_1	13594286.0	26542615.0
qc_bundle_trimmed | SRR30333755_2	12745390.0	27391511.0
qc_bundle_trimmed | SRR30333756_1	14803256.0	34973730.0
qc_bundle_trimmed | SRR30333756_2	14419717.0	35357269.0
qc_bundle_trimmed | SRR30333757_1	16064239.0	29150351.0
qc_bundle_trimmed | SRR30333757_2	16212819.0	29001622.0
qc_bundle_trimmed | SRR30333758_1	13956328.0	26495182.0
qc_bundle_trimmed | SRR30333758_2	14518443.0	25932829.0
qc_bundle_trimmed | SRR30333759_1	15178957.0	27591515.0
qc_bundle_trimmed | SRR30333759_2	15236402.0	27534016.0
qc_bundle_trimmed | SRR30333760_1	14212306.0	26653048.0
qc_bundle_trimmed | SRR30333760_2	14729125.0	26136160.0
qc_bundle_trimmed | SRR30333761_1	15682605.0	26161816.0
qc_bundle_trimmed | SRR30333761_2	15167457.0	26676718.0
qc_bundle_trimmed | SRR30333762_1	14068312.0	26319782.0
qc_bundle_trimmed | SRR30333762_2	14640677.0	25747286.0
qc_bundle_trimmed | SRR30333763_1	14667695.0	28176552.0
qc_bundle_trimmed | SRR30333763_2	15283840.0	27560315.0
qc_bundle_trimmed | SRR30333764_1	14356487.0	26156086.0
qc_bundle_trimmed | SRR30333764_2	14734803.0	25777672.0
qc_bundle_trimmed | SRR30333765_1	15365890.0	24998585.0
qc_bundle_trimmed | SRR30333765_2	15089440.0	25274763.0
qc_bundle_trimmed | SRR30333766_1	15525080.0	29489639.0
qc_bundle_trimmed | SRR30333766_2	15889053.0	29125589.0
qc_bundle_trimmed | SRR30333767_1	14884272.0	27188054.0
qc_bundle_trimmed | SRR30333767_2	15192443.0	26879723.0
qc_bundle_trimmed | SRR30333768_1	14887435.0	26607855.0
qc_bundle_trimmed | SRR30333768_2	15648572.0	25846259.0
