Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | SRR30333755_1	SRR30333755_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38601960.0	0.0	30-151	52.0	34.380618821054064	130.67771848890575	137	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR30333755_2	SRR30333755_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38601960.0	0.0	30-151	52.0	31.11168650862236	130.72665346526446	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333756_1	SRR30333756_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47678165.0	0.0	30-151	52.0	29.76373165698119	138.8282779549087	151	pass	pass	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333756_2	SRR30333756_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47678165.0	0.0	30-151	52.0	27.50918511255499	138.82246445516517	151	pass	pass	fail	pass	warn	pass	pass	warn	fail	pass	pass
fastp | SRR30333757_1	SRR30333757_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44963837.0	0.0	30-151	49.0	35.7165441517886	140.4286050810121	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333757_2	SRR30333757_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44963837.0	0.0	30-151	49.0	35.83691947004763	140.4147481230305	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333758_1	SRR30333758_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40122532.0	0.0	30-151	49.0	34.656350020873525	141.57644188557194	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333758_2	SRR30333758_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40122532.0	0.0	30-151	49.0	35.59864635554882	141.565612334735	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333759_1	SRR30333759_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42596005.0	0.0	30-151	48.0	35.69175631696637	140.52031956987517	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR30333759_2	SRR30333759_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42596005.0	0.0	30-151	48.0	35.666261390299944	140.50681811592426	151	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
fastp | SRR30333760_1	SRR30333760_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40650266.0	0.0	30-151	49.0	34.97700718306849	140.78637495262637	151	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
