stage,report_id,Adapter Content,Basic Statistics,Overrepresented sequences,Per base N content,Per base sequence content,Per base sequence quality,Per sequence GC content,Per sequence quality scores,Per tile sequence quality,Sequence Duplication Levels,Sequence Length Distribution
raw,SRR35329977_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329977_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329978_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329978_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329979_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329979_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329980_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329980_2,fail,pass,pass,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329981_1,fail,pass,warn,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329981_2,fail,pass,warn,pass,fail,warn,pass,pass,fail,fail,pass
raw,SRR35329982_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329982_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329983_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329983_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329984_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329984_2,fail,pass,warn,pass,fail,warn,pass,pass,fail,fail,pass
raw,SRR35329985_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329985_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329986_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329986_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329987_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329987_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329988_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329988_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329989_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329989_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329990_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329990_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329991_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329991_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329992_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329992_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329993_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329993_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329994_1,fail,pass,warn,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329994_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329995_1,fail,pass,pass,pass,fail,pass,warn,pass,warn,fail,pass
raw,SRR35329995_2,fail,pass,warn,pass,fail,warn,warn,pass,fail,fail,pass
raw,SRR35329996_1,fail,pass,pass,pass,fail,warn,warn,pass,warn,fail,pass
raw,SRR35329996_2,fail,pass,warn,pass,fail,warn,pass,pass,fail,fail,pass
trimmed,SRR35329977_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329977_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329977_2,pass,pass,pass,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329977_2.fastp,pass,pass,pass,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329978_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329978_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329978_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329978_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329979_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329979_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329979_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329979_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329980_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329980_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329980_2,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329980_2.fastp,pass,pass,pass,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329981_1,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329981_1.fastp,pass,pass,pass,pass,fail,warn,warn,pass,warn,fail,warn
trimmed,SRR35329981_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329981_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329982_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329982_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329982_2,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329982_2.fastp,pass,pass,warn,pass,fail,warn,pass,pass,fail,fail,warn
trimmed,SRR35329983_1,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329983_1.fastp,pass,pass,pass,pass,fail,pass,warn,pass,warn,fail,warn
trimmed,SRR35329983_2,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
trimmed,SRR35329983_2.fastp,pass,pass,warn,pass,fail,warn,warn,pass,fail,fail,warn
