report_id,severity_raw,severity_trimmed,severity_delta
SRR35329977_1,11.0,9.0,-2.0
SRR35329977_1.fastp,,9.0,
SRR35329977_2,15.0,11.0,-4.0
SRR35329977_2.fastp,,11.0,
SRR35329978_1,12.0,9.0,-3.0
SRR35329978_1.fastp,,9.0,
SRR35329978_2,15.0,12.0,-3.0
SRR35329978_2.fastp,,12.0,
SRR35329979_1,11.0,9.0,-2.0
SRR35329979_1.fastp,,9.0,
SRR35329979_2,15.0,12.0,-3.0
SRR35329979_2.fastp,,12.0,
SRR35329980_1,12.0,10.0,-2.0
SRR35329980_1.fastp,,10.0,
SRR35329980_2,14.0,12.0,-2.0
SRR35329980_2.fastp,,12.0,
SRR35329981_1,13.0,10.0,-3.0
SRR35329981_1.fastp,,10.0,
SRR35329981_2,14.0,12.0,-2.0
SRR35329981_2.fastp,,12.0,
SRR35329982_1,12.0,9.0,-3.0
SRR35329982_1.fastp,,9.0,
SRR35329982_2,15.0,12.0,-3.0
SRR35329982_2.fastp,,12.0,
SRR35329983_1,12.0,9.0,-3.0
SRR35329983_1.fastp,,9.0,
SRR35329983_2,15.0,13.0,-2.0
SRR35329983_2.fastp,,13.0,
SRR35329984_1,11.0,9.0,-2.0
SRR35329984_1.fastp,,9.0,
SRR35329984_2,14.0,12.0,-2.0
SRR35329984_2.fastp,,12.0,
SRR35329985_1,12.0,9.0,-3.0
SRR35329985_1.fastp,,9.0,
SRR35329985_2,15.0,13.0,-2.0
SRR35329985_2.fastp,,13.0,
SRR35329986_1,12.0,10.0,-2.0
SRR35329986_1.fastp,,10.0,
SRR35329986_2,15.0,12.0,-3.0
SRR35329986_2.fastp,,12.0,
SRR35329987_1,12.0,10.0,-2.0
SRR35329987_1.fastp,,10.0,
SRR35329987_2,15.0,13.0,-2.0
SRR35329987_2.fastp,,13.0,
SRR35329988_1,12.0,10.0,-2.0
SRR35329988_1.fastp,,10.0,
SRR35329988_2,15.0,12.0,-3.0
SRR35329988_2.fastp,,12.0,
SRR35329989_1,11.0,9.0,-2.0
SRR35329989_1.fastp,,9.0,
SRR35329989_2,15.0,12.0,-3.0
SRR35329989_2.fastp,,12.0,
SRR35329990_1,11.0,9.0,-2.0
SRR35329990_1.fastp,,9.0,
SRR35329990_2,15.0,13.0,-2.0
SRR35329990_2.fastp,,13.0,
SRR35329991_1,12.0,9.0,-3.0
SRR35329991_1.fastp,,9.0,
SRR35329991_2,15.0,13.0,-2.0
SRR35329991_2.fastp,,13.0,
SRR35329992_1,12.0,10.0,-2.0
SRR35329992_1.fastp,,10.0,
SRR35329992_2,15.0,12.0,-3.0
SRR35329992_2.fastp,,12.0,
SRR35329993_1,12.0,10.0,-2.0
SRR35329993_1.fastp,,10.0,
SRR35329993_2,15.0,13.0,-2.0
SRR35329993_2.fastp,,13.0,
SRR35329994_1,12.0,9.0,-3.0
SRR35329994_1.fastp,,9.0,
SRR35329994_2,15.0,12.0,-3.0
SRR35329994_2.fastp,,12.0,
SRR35329995_1,11.0,9.0,-2.0
SRR35329995_1.fastp,,9.0,
SRR35329995_2,15.0,13.0,-2.0
SRR35329995_2.fastp,,13.0,
SRR35329996_1,12.0,10.0,-2.0
SRR35329996_1.fastp,,10.0,
SRR35329996_2,14.0,12.0,-2.0
SRR35329996_2.fastp,,12.0,
