stage,report_id,srr,read,module_key,module,status
raw,SRR34002422_2,SRR34002422,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002422_2,SRR34002422,2,per_base_n_content,Per base N content,pass
raw,SRR34002422_2,SRR34002422,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002422_2,SRR34002422,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002422_2,SRR34002422,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002422_2,SRR34002422,2,adapter_content,Adapter Content,warn
raw,SRR34002423_1,SRR34002423,1,basic_statistics,Basic Statistics,pass
raw,SRR34002423_1,SRR34002423,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002423_1,SRR34002423,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002423_1,SRR34002423,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002423_1,SRR34002423,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002423_1,SRR34002423,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002423_1,SRR34002423,1,per_base_n_content,Per base N content,pass
raw,SRR34002423_1,SRR34002423,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002423_1,SRR34002423,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002423_1,SRR34002423,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002423_1,SRR34002423,1,adapter_content,Adapter Content,warn
raw,SRR34002423_2,SRR34002423,2,basic_statistics,Basic Statistics,pass
raw,SRR34002423_2,SRR34002423,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002423_2,SRR34002423,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002423_2,SRR34002423,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002423_2,SRR34002423,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002423_2,SRR34002423,2,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002423_2,SRR34002423,2,per_base_n_content,Per base N content,pass
raw,SRR34002423_2,SRR34002423,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002423_2,SRR34002423,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002423_2,SRR34002423,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002423_2,SRR34002423,2,adapter_content,Adapter Content,warn
raw,SRR34002424_1,SRR34002424,1,basic_statistics,Basic Statistics,pass
raw,SRR34002424_1,SRR34002424,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002424_1,SRR34002424,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002424_1,SRR34002424,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002424_1,SRR34002424,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002424_1,SRR34002424,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002424_1,SRR34002424,1,per_base_n_content,Per base N content,pass
raw,SRR34002424_1,SRR34002424,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002424_1,SRR34002424,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002424_1,SRR34002424,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002424_1,SRR34002424,1,adapter_content,Adapter Content,fail
raw,SRR34002424_2,SRR34002424,2,basic_statistics,Basic Statistics,pass
raw,SRR34002424_2,SRR34002424,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002424_2,SRR34002424,2,per_tile_sequence_quality,Per tile sequence quality,pass
