stage,report_id,srr,read,module_key,module,status
raw,SRR34002412_2,SRR34002412,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002412_2,SRR34002412,2,adapter_content,Adapter Content,pass
raw,SRR34002413_1,SRR34002413,1,basic_statistics,Basic Statistics,pass
raw,SRR34002413_1,SRR34002413,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002413_1,SRR34002413,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002413_1,SRR34002413,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002413_1,SRR34002413,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002413_1,SRR34002413,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002413_1,SRR34002413,1,per_base_n_content,Per base N content,pass
raw,SRR34002413_1,SRR34002413,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002413_1,SRR34002413,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002413_1,SRR34002413,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002413_1,SRR34002413,1,adapter_content,Adapter Content,pass
raw,SRR34002413_2,SRR34002413,2,basic_statistics,Basic Statistics,pass
raw,SRR34002413_2,SRR34002413,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002413_2,SRR34002413,2,per_tile_sequence_quality,Per tile sequence quality,warn
raw,SRR34002413_2,SRR34002413,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002413_2,SRR34002413,2,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002413_2,SRR34002413,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002413_2,SRR34002413,2,per_base_n_content,Per base N content,pass
raw,SRR34002413_2,SRR34002413,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002413_2,SRR34002413,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002413_2,SRR34002413,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002413_2,SRR34002413,2,adapter_content,Adapter Content,pass
raw,SRR34002414_1,SRR34002414,1,basic_statistics,Basic Statistics,pass
raw,SRR34002414_1,SRR34002414,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002414_1,SRR34002414,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002414_1,SRR34002414,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002414_1,SRR34002414,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002414_1,SRR34002414,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002414_1,SRR34002414,1,per_base_n_content,Per base N content,pass
raw,SRR34002414_1,SRR34002414,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002414_1,SRR34002414,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002414_1,SRR34002414,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002414_1,SRR34002414,1,adapter_content,Adapter Content,pass
raw,SRR34002414_2,SRR34002414,2,basic_statistics,Basic Statistics,pass
raw,SRR34002414_2,SRR34002414,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002414_2,SRR34002414,2,per_tile_sequence_quality,Per tile sequence quality,warn
raw,SRR34002414_2,SRR34002414,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002414_2,SRR34002414,2,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002414_2,SRR34002414,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002414_2,SRR34002414,2,per_base_n_content,Per base N content,pass
raw,SRR34002414_2,SRR34002414,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002414_2,SRR34002414,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002414_2,SRR34002414,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002414_2,SRR34002414,2,adapter_content,Adapter Content,pass
raw,SRR34002415_1,SRR34002415,1,basic_statistics,Basic Statistics,pass
raw,SRR34002415_1,SRR34002415,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002415_1,SRR34002415,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002415_1,SRR34002415,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002415_1,SRR34002415,1,per_base_sequence_content,Per base sequence content,fail
raw,SRR34002415_1,SRR34002415,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002415_1,SRR34002415,1,per_base_n_content,Per base N content,pass
raw,SRR34002415_1,SRR34002415,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002415_1,SRR34002415,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002415_1,SRR34002415,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002415_1,SRR34002415,1,adapter_content,Adapter Content,fail
raw,SRR34002415_2,SRR34002415,2,basic_statistics,Basic Statistics,pass
raw,SRR34002415_2,SRR34002415,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002415_2,SRR34002415,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002415_2,SRR34002415,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002415_2,SRR34002415,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002415_2,SRR34002415,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002415_2,SRR34002415,2,per_base_n_content,Per base N content,pass
raw,SRR34002415_2,SRR34002415,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002415_2,SRR34002415,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002415_2,SRR34002415,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002415_2,SRR34002415,2,adapter_content,Adapter Content,fail
raw,SRR34002416_1,SRR34002416,1,basic_statistics,Basic Statistics,pass
raw,SRR34002416_1,SRR34002416,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002416_1,SRR34002416,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002416_1,SRR34002416,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002416_1,SRR34002416,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002416_1,SRR34002416,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002416_1,SRR34002416,1,per_base_n_content,Per base N content,pass
raw,SRR34002416_1,SRR34002416,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002416_1,SRR34002416,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002416_1,SRR34002416,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002416_1,SRR34002416,1,adapter_content,Adapter Content,fail
raw,SRR34002416_2,SRR34002416,2,basic_statistics,Basic Statistics,pass
raw,SRR34002416_2,SRR34002416,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002416_2,SRR34002416,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002416_2,SRR34002416,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002416_2,SRR34002416,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002416_2,SRR34002416,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002416_2,SRR34002416,2,per_base_n_content,Per base N content,pass
raw,SRR34002416_2,SRR34002416,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002416_2,SRR34002416,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002416_2,SRR34002416,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002416_2,SRR34002416,2,adapter_content,Adapter Content,fail
raw,SRR34002417_1,SRR34002417,1,basic_statistics,Basic Statistics,pass
raw,SRR34002417_1,SRR34002417,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002417_1,SRR34002417,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002417_1,SRR34002417,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002417_1,SRR34002417,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002417_1,SRR34002417,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002417_1,SRR34002417,1,per_base_n_content,Per base N content,pass
raw,SRR34002417_1,SRR34002417,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002417_1,SRR34002417,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002417_1,SRR34002417,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002417_1,SRR34002417,1,adapter_content,Adapter Content,fail
raw,SRR34002417_2,SRR34002417,2,basic_statistics,Basic Statistics,pass
raw,SRR34002417_2,SRR34002417,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002417_2,SRR34002417,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002417_2,SRR34002417,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002417_2,SRR34002417,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002417_2,SRR34002417,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002417_2,SRR34002417,2,per_base_n_content,Per base N content,pass
raw,SRR34002417_2,SRR34002417,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002417_2,SRR34002417,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002417_2,SRR34002417,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002417_2,SRR34002417,2,adapter_content,Adapter Content,fail
raw,SRR34002418_1,SRR34002418,1,basic_statistics,Basic Statistics,pass
raw,SRR34002418_1,SRR34002418,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002418_1,SRR34002418,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002418_1,SRR34002418,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002418_1,SRR34002418,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002418_1,SRR34002418,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002418_1,SRR34002418,1,per_base_n_content,Per base N content,pass
raw,SRR34002418_1,SRR34002418,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002418_1,SRR34002418,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002418_1,SRR34002418,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002418_1,SRR34002418,1,adapter_content,Adapter Content,fail
raw,SRR34002418_2,SRR34002418,2,basic_statistics,Basic Statistics,pass
raw,SRR34002418_2,SRR34002418,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002418_2,SRR34002418,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002418_2,SRR34002418,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002418_2,SRR34002418,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002418_2,SRR34002418,2,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002418_2,SRR34002418,2,per_base_n_content,Per base N content,pass
raw,SRR34002418_2,SRR34002418,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002418_2,SRR34002418,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002418_2,SRR34002418,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002418_2,SRR34002418,2,adapter_content,Adapter Content,fail
raw,SRR34002419_1,SRR34002419,1,basic_statistics,Basic Statistics,pass
raw,SRR34002419_1,SRR34002419,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002419_1,SRR34002419,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002419_1,SRR34002419,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002419_1,SRR34002419,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002419_1,SRR34002419,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002419_1,SRR34002419,1,per_base_n_content,Per base N content,pass
raw,SRR34002419_1,SRR34002419,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002419_1,SRR34002419,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002419_1,SRR34002419,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002419_1,SRR34002419,1,adapter_content,Adapter Content,fail
raw,SRR34002419_2,SRR34002419,2,basic_statistics,Basic Statistics,pass
raw,SRR34002419_2,SRR34002419,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002419_2,SRR34002419,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002419_2,SRR34002419,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002419_2,SRR34002419,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002419_2,SRR34002419,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002419_2,SRR34002419,2,per_base_n_content,Per base N content,pass
raw,SRR34002419_2,SRR34002419,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002419_2,SRR34002419,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002419_2,SRR34002419,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002419_2,SRR34002419,2,adapter_content,Adapter Content,fail
raw,SRR34002420_1,SRR34002420,1,basic_statistics,Basic Statistics,pass
raw,SRR34002420_1,SRR34002420,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002420_1,SRR34002420,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002420_1,SRR34002420,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002420_1,SRR34002420,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002420_1,SRR34002420,1,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002420_1,SRR34002420,1,per_base_n_content,Per base N content,pass
raw,SRR34002420_1,SRR34002420,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002420_1,SRR34002420,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002420_1,SRR34002420,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002420_1,SRR34002420,1,adapter_content,Adapter Content,fail
raw,SRR34002420_2,SRR34002420,2,basic_statistics,Basic Statistics,pass
raw,SRR34002420_2,SRR34002420,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002420_2,SRR34002420,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002420_2,SRR34002420,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002420_2,SRR34002420,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002420_2,SRR34002420,2,per_sequence_gc_content,Per sequence GC content,fail
raw,SRR34002420_2,SRR34002420,2,per_base_n_content,Per base N content,pass
raw,SRR34002420_2,SRR34002420,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002420_2,SRR34002420,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002420_2,SRR34002420,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002420_2,SRR34002420,2,adapter_content,Adapter Content,fail
raw,SRR34002421_1,SRR34002421,1,basic_statistics,Basic Statistics,pass
raw,SRR34002421_1,SRR34002421,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002421_1,SRR34002421,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002421_1,SRR34002421,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002421_1,SRR34002421,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002421_1,SRR34002421,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002421_1,SRR34002421,1,per_base_n_content,Per base N content,pass
raw,SRR34002421_1,SRR34002421,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002421_1,SRR34002421,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002421_1,SRR34002421,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002421_1,SRR34002421,1,adapter_content,Adapter Content,fail
raw,SRR34002421_2,SRR34002421,2,basic_statistics,Basic Statistics,pass
raw,SRR34002421_2,SRR34002421,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002421_2,SRR34002421,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002421_2,SRR34002421,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002421_2,SRR34002421,2,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002421_2,SRR34002421,2,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002421_2,SRR34002421,2,per_base_n_content,Per base N content,pass
raw,SRR34002421_2,SRR34002421,2,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002421_2,SRR34002421,2,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002421_2,SRR34002421,2,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002421_2,SRR34002421,2,adapter_content,Adapter Content,fail
raw,SRR34002422_1,SRR34002422,1,basic_statistics,Basic Statistics,pass
raw,SRR34002422_1,SRR34002422,1,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002422_1,SRR34002422,1,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002422_1,SRR34002422,1,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002422_1,SRR34002422,1,per_base_sequence_content,Per base sequence content,warn
raw,SRR34002422_1,SRR34002422,1,per_sequence_gc_content,Per sequence GC content,warn
raw,SRR34002422_1,SRR34002422,1,per_base_n_content,Per base N content,pass
raw,SRR34002422_1,SRR34002422,1,sequence_length_distribution,Sequence Length Distribution,pass
raw,SRR34002422_1,SRR34002422,1,sequence_duplication_levels,Sequence Duplication Levels,fail
raw,SRR34002422_1,SRR34002422,1,overrepresented_sequences,Overrepresented sequences,warn
raw,SRR34002422_1,SRR34002422,1,adapter_content,Adapter Content,warn
raw,SRR34002422_2,SRR34002422,2,basic_statistics,Basic Statistics,pass
raw,SRR34002422_2,SRR34002422,2,per_base_sequence_quality,Per base sequence quality,pass
raw,SRR34002422_2,SRR34002422,2,per_tile_sequence_quality,Per tile sequence quality,pass
raw,SRR34002422_2,SRR34002422,2,per_sequence_quality_scores,Per sequence quality scores,pass
raw,SRR34002422_2,SRR34002422,2,per_base_sequence_content,Per base sequence content,warn
