Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
reports | SRR30333743	96952822.0	2301618.0	15098.0	nan	922100.0	0.0
reports | SRR30333744	87132802.0	2525984.0	15362.0	nan	882806.0	0.0
reports | SRR30333745	92029982.0	2680604.0	15468.0	nan	900722.0	0.0
reports | SRR30333746	82188026.0	1650196.0	14174.0	nan	579674.0	0.0
reports | SRR30333747	79077716.0	2390078.0	13668.0	nan	792274.0	0.0
reports | SRR30333748	126152262.0	3569280.0	21000.0	nan	1076726.0	0.0
reports | SRR30333749	103380504.0	2600338.0	30096.0	nan	818050.0	0.0
reports | SRR30333750	103439904.0	1856282.0	17526.0	nan	569372.0	0.0
reports | SRR30333751	107019382.0	2576002.0	18838.0	nan	855630.0	0.0
reports | SRR30333752	115195378.0	2589158.0	18734.0	nan	874790.0	0.0
reports | SRR30333753	77778068.0	2121274.0	13358.0	nan	710824.0	0.0
reports | SRR30333754	97662886.0	3286598.0	16100.0	nan	1218076.0	0.0
reports | SRR30333755	77203920.0	2270966.0	14526.0	nan	784390.0	0.0
reports | SRR30333756	95356330.0	3058796.0	15878.0	nan	1122968.0	0.0
reports | SRR30333757	89927674.0	473202.0	2486.0	nan	25818.0	0.0
reports | SRR30333758	80245064.0	615266.0	1802.0	nan	40888.0	0.0
reports | SRR30333759	85192010.0	333080.0	2052.0	nan	13806.0	0.0
reports | SRR30333760	81300532.0	411900.0	2072.0	nan	16204.0	0.0
reports | SRR30333761	83181098.0	472648.0	2362.0	nan	32734.0	0.0
reports | SRR30333762	80355906.0	399292.0	2280.0	nan	18710.0	0.0
reports | SRR30333763	85130192.0	529144.0	2024.0	nan	27134.0	0.0
reports | SRR30333764	80559460.0	437316.0	1996.0	nan	26374.0	0.0
reports | SRR30333765	80212700.0	478220.0	2398.0	nan	35634.0	0.0
reports | SRR30333766	89422856.0	575390.0	1838.0	nan	29356.0	0.0
reports | SRR30333767	83561652.0	545818.0	2304.0	nan	34878.0	0.0
reports | SRR30333768	82290262.0	654436.0	3752.0	nan	42130.0	0.0
