Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR30333749_1	(1.0, 10.295723543781863)	(2.0, 5.6597169689483255)	(3.0, 6.901299263427754)	(4.0, 7.28755767093696)	(5.0, 7.0641615969403455)	(6.0, 6.291639138347953)	(7.0, 5.378052796273684)	(8.0, 4.418677348748585)	(9.0, 3.712488854867969)	('>10', 30.18131421247205)	('>50', 5.227704205857687)	('>100', 6.125641910240498)	('>500', 0.9782697576398244)	('>1k', 0.4777527315168703)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333749_2	(1.0, 8.9535640146336)	(2.0, 4.89810428874038)	(3.0, 6.2640972307445395)	(4.0, 6.691939852668562)	(5.0, 6.530888751568897)	(6.0, 6.045202547148305)	(7.0, 5.235843257635181)	(8.0, 4.416086964381136)	(9.0, 3.8566501624928633)	('>10', 32.948892027856594)	('>50', 5.820906084217174)	('>100', 6.662865400944941)	('>500', 0.9975850837387232)	('>1k', 0.5940153635828712)	('>5k', 0.02156585394663388)	('>10k+', 0.06179311569965762)
fastp | SRR30333750_1	(1.0, 26.153813778525816)	(2.0, 10.092148590362672)	(3.0, 6.469594000373578)	(4.0, 5.003919173227332)	(5.0, 3.891331956742599)	(6.0, 3.1338766196848997)	(7.0, 2.7433239900013806)	(8.0, 2.2838637808179922)	(9.0, 1.997835087765521)	('>10', 23.308891021897928)	('>50', 5.809254296041756)	('>100', 7.219847651885704)	('>500', 1.2124475542604336)	('>1k', 0.6682253105913272)	('>5k', 0.011627187821174527)	('>10k+', 0.0)
fastp | SRR30333750_2	(1.0, 23.45341964123055)	(2.0, 10.727559093809766)	(3.0, 7.5504471493199405)	(4.0, 5.774287317004166)	(5.0, 4.433633591171487)	(6.0, 3.5395487503812664)	(7.0, 3.0699686546108986)	(8.0, 2.5769831712669578)	(9.0, 2.196393311966777)	('>10', 23.227174980911382)	('>50', 5.436277511468911)	('>100', 6.423124666471451)	('>500', 0.99463014322837)	('>1k', 0.5585444004249962)	('>5k', 0.0)	('>10k+', 0.03800761673309301)
fastp | SRR30333751_1	(1.0, 24.762493053044444)	(2.0, 10.176084132391875)	(3.0, 6.777396335229084)	(4.0, 4.912004912276817)	(5.0, 4.05471420590999)	(6.0, 3.350431865555339)	(7.0, 2.725599921968425)	(8.0, 2.3022926544559135)	(9.0, 2.0508534811821924)	('>10', 23.84736210234821)	('>50', 5.956826620341431)	('>100', 7.387960421507215)	('>500', 1.169056984014625)	('>1k', 0.5269233097745752)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333751_2	(1.0, 21.78561899975629)	(2.0, 10.59049318957043)	(3.0, 7.580729225367959)	(4.0, 5.660392207487545)	(5.0, 4.5705147770210655)	(6.0, 3.657028598050737)	(7.0, 3.0620302392423926)	(8.0, 2.577293746105152)	(9.0, 2.256948333469819)	('>10', 24.392423239263564)	('>50', 5.765650303550697)	('>100', 6.742436742159828)	('>500', 0.8739624285054253)	('>1k', 0.41496965990950874)	('>5k', 0.02262929970292688)	('>10k+', 0.046879010836677115)
fastp | SRR30333752_1	(1.0, 25.09867751925273)	(2.0, 9.703488688565558)	(3.0, 6.414218501543327)	(4.0, 4.838739308022982)	(5.0, 3.93400095904146)	(6.0, 3.1634328872474566)	(7.0, 2.6342071120172026)	(8.0, 2.3333745858987265)	(9.0, 2.0854949615613045)	('>10', 23.824854356192194)	('>50', 5.946084488517836)	('>100', 7.761986379517981)	('>500', 1.4135095184667963)	('>1k', 0.8262234323089097)	('>5k', 0.021707301845415826)	('>10k+', 0.0)
fastp | SRR30333752_2	(1.0, 22.46387589774212)	(2.0, 10.16629936645345)	(3.0, 7.1757215285783476)	(4.0, 5.469696266896802)	(5.0, 4.323507808827817)	(6.0, 3.695859013609352)	(7.0, 2.972597880955904)	(8.0, 2.59897954204341)	(9.0, 2.1807767417677555)	('>10', 24.26999253998668)	('>50', 5.671404158114753)	('>100', 7.124454523797182)	('>500', 1.1356859607610936)	('>1k', 0.6644821997129502)	('>5k', 0.03364494566389527)	('>10k+', 0.05302162508845973)
fastp | SRR30333753_1	(1.0, 22.89799704821508)	(2.0, 12.575310496915467)	(3.0, 8.154640401040579)	(4.0, 5.605028024278462)	(5.0, 4.1220032472466706)	(6.0, 3.2595268004401627)	(7.0, 2.577804374674853)	(8.0, 2.2300400362803825)	(9.0, 1.913216790478393)	('>10', 21.632880732452406)	('>50', 5.5063662372487965)	('>100', 7.318479433960093)	('>500', 1.2862776212235436)	('>1k', 0.9071561894965416)	('>5k', 0.013272566048407038)	('>10k+', 0.0)
fastp | SRR30333753_2	(1.0, 19.89593441608901)	(2.0, 11.595342786043872)	(3.0, 8.281449859023834)	(4.0, 6.126784341446978)	(5.0, 4.601553235058422)	(6.0, 3.553615451303323)	(7.0, 2.9117887484321403)	(8.0, 2.482126717100093)	(9.0, 2.163219470140908)	('>10', 22.972056929047394)	('>50', 5.559093174354321)	('>100', 7.62768214665491)	('>500', 1.4110440275169842)	('>1k', 0.7499679738748757)	('>5k', 0.013313329550665625)	('>10k+', 0.055027394362677375)
fastp | SRR30333754_1	(1.0, 17.313124676706057)	(2.0, 11.37706735866698)	(3.0, 8.497100116603516)	(4.0, 6.1001983534022255)	(5.0, 4.625782318401318)	(6.0, 3.593245695837767)	(7.0, 2.9152988006420735)	(8.0, 2.491722121178129)	(9.0, 2.0952574310238803)	('>10', 24.019261811249198)	('>50', 6.272264882906832)	('>100', 8.19968349856409)	('>500', 1.5222202871900818)	('>1k', 0.9777726476278688)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333754_2	(1.0, 15.26350656142518)	(2.0, 10.024086495635473)	(3.0, 8.213585665939645)	(4.0, 6.4193327622446725)	(5.0, 4.944150621383389)	(6.0, 3.9391781237818106)	(7.0, 3.175730267463762)	(8.0, 2.824299471502279)	(9.0, 2.3987462567862097)	('>10', 25.635680343281496)	('>50', 6.276325407291678)	('>100', 8.353453519906488)	('>500', 1.5458764678468198)	('>1k', 0.8656234598386072)	('>5k', 0.05475155426753105)	('>10k+', 0.06567302140477214)
fastp | SRR30333755_1	(1.0, 19.799624863938075)	(2.0, 12.457612208935332)	(3.0, 9.11273529393797)	(4.0, 6.201294484858804)	(5.0, 4.502150509334949)	(6.0, 3.5822366675071993)	(7.0, 2.8483441691156113)	(8.0, 2.3561471192766597)	(9.0, 2.0719146105612207)	('>10', 21.847910579150327)	('>50', 5.483250333410207)	('>100', 7.386496297354513)	('>500', 1.3300818378672106)	('>1k', 1.0046245899339585)	('>5k', 0.015576434818098537)	('>10k+', 0.0)
fastp | SRR30333755_2	(1.0, 16.638881525078865)	(2.0, 11.487810680157022)	(3.0, 8.904476928112633)	(4.0, 6.536734176735467)	(5.0, 4.975069176905667)	(6.0, 3.854777102717568)	(7.0, 3.1767225165387964)	(8.0, 2.6842071811534316)	(9.0, 2.158578812754972)	('>10', 23.713202558196098)	('>50', 5.689954482620989)	('>100', 7.707606200583647)	('>500', 1.4829374935483568)	('>1k', 0.9487802591220968)	('>5k', 0.0)	('>10k+', 0.040260905774223095)
fastp | SRR30333756_1	(1.0, 15.588817442735358)	(2.0, 10.647713797737081)	(3.0, 8.925789793482078)	(4.0, 6.785623006599082)	(5.0, 4.981483318503521)	(6.0, 3.8363572546958618)	(7.0, 3.0929204274239184)	(8.0, 2.633713643110903)	(9.0, 2.323352983458592)	('>10', 24.835415706246973)	('>50', 5.988825847312184)	('>100', 7.966016482170393)	('>500', 1.4548750194081033)	('>1k', 0.939095277115722)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333756_2	(1.0, 13.980044055562981)	(2.0, 9.183938114411236)	(3.0, 8.396216243142183)	(4.0, 6.537597234716941)	(5.0, 5.139470411187137)	(6.0, 4.301389230546781)	(7.0, 3.4739586096183968)	(8.0, 2.944224343707378)	(9.0, 2.510698557542113)	('>10', 26.347742904147626)	('>50', 6.363583539789978)	('>100', 8.2428235810238)	('>500', 1.495270222409766)	('>1k', 0.9457702221017984)	('>5k', 0.029033920439848714)	('>10k+', 0.10823880965196268)
fastp | SRR30333757_1	(1.0, 24.366664946182055)	(2.0, 9.193192014358234)	(3.0, 6.177470725909376)	(4.0, 4.538521902782)	(5.0, 3.7626055703591614)	(6.0, 3.020105120255684)	(7.0, 2.512402027590749)	(8.0, 2.2794819084698883)	(9.0, 1.95422600039699)	('>10', 23.835632494684777)	('>50', 6.247185133376112)	('>100', 8.5795497898731)	('>500', 1.8039806219650976)	('>1k', 1.622790536106152)	('>5k', 0.10619120769063792)	('>10k+', 0.0)
