Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR30333748_2	(30, 2317.0)	(35, 4413.0)	(40, 7735.0)	(45, 13295.0)	(50, 21118.0)	(55, 30343.0)	(60, 49741.0)	(65, 75818.0)	(70, 124393.0)	(75, 198730.0)	(80, 314771.0)	(85, 494623.0)	(90, 734281.0)	(95, 1048397.0)	(100, 1397063.0)	(105, 1763998.0)	(110, 2074223.0)	(115, 2341675.0)	(120, 2510308.0)	(125, 2599266.0)	(130, 2651280.0)	(135, 2659726.0)	(140, 2708675.0)	(145, 2717617.0)	(150, 36532325.0)
fastp | SRR30333749_1	(30, 1145.0)	(35, 2055.0)	(40, 3964.0)	(45, 6575.0)	(50, 10830.0)	(55, 15325.0)	(60, 25836.0)	(65, 39299.0)	(70, 65518.0)	(75, 106259.0)	(80, 172882.0)	(85, 282757.0)	(90, 433997.0)	(95, 641264.0)	(100, 879906.0)	(105, 1148779.0)	(110, 1391804.0)	(115, 1611866.0)	(120, 1785795.0)	(125, 1922247.0)	(130, 2022408.0)	(135, 2080337.0)	(140, 2178686.0)	(145, 2251558.0)	(150, 32609160.0)
fastp | SRR30333749_2	(30, 1294.0)	(35, 2243.0)	(40, 4156.0)	(45, 6770.0)	(50, 11062.0)	(55, 15605.0)	(60, 26088.0)	(65, 39578.0)	(70, 65765.0)	(75, 106410.0)	(80, 172769.0)	(85, 282444.0)	(90, 432986.0)	(95, 639364.0)	(100, 876906.0)	(105, 1144457.0)	(110, 1386393.0)	(115, 1605807.0)	(120, 1780123.0)	(125, 1918847.0)	(130, 2023640.0)	(135, 2092635.0)	(140, 2210245.0)	(145, 2283620.0)	(150, 32561045.0)
fastp | SRR30333750_1	(30, 2197.0)	(35, 4811.0)	(40, 10014.0)	(45, 16002.0)	(50, 29662.0)	(55, 40696.0)	(60, 69071.0)	(65, 97363.0)	(70, 152114.0)	(75, 228072.0)	(80, 340753.0)	(85, 509338.0)	(90, 724736.0)	(95, 1001793.0)	(100, 1299569.0)	(105, 1608368.0)	(110, 1874829.0)	(115, 2094428.0)	(120, 2233076.0)	(125, 2300215.0)	(130, 2321795.0)	(135, 2292286.0)	(140, 2279537.0)	(145, 2241417.0)	(150, 27947810.0)
fastp | SRR30333750_2	(30, 2174.0)	(35, 4965.0)	(40, 10192.0)	(45, 16176.0)	(50, 29914.0)	(55, 40997.0)	(60, 69304.0)	(65, 97632.0)	(70, 152276.0)	(75, 228079.0)	(80, 340471.0)	(85, 508755.0)	(90, 723346.0)	(95, 999537.0)	(100, 1296303.0)	(105, 1604130.0)	(110, 1869775.0)	(115, 2088868.0)	(120, 2228373.0)	(125, 2298007.0)	(130, 2324609.0)	(135, 2306478.0)	(140, 2316088.0)	(145, 2284173.0)	(150, 27879330.0)
fastp | SRR30333751_1	(30, 2166.0)	(35, 4946.0)	(40, 9801.0)	(45, 16245.0)	(50, 27963.0)	(55, 38942.0)	(60, 64610.0)	(65, 93618.0)	(70, 147813.0)	(75, 228646.0)	(80, 351240.0)	(85, 539510.0)	(90, 781662.0)	(95, 1095226.0)	(100, 1435870.0)	(105, 1786751.0)	(110, 2078343.0)	(115, 2314024.0)	(120, 2457446.0)	(125, 2517593.0)	(130, 2526403.0)	(135, 2482161.0)	(140, 2460219.0)	(145, 2408004.0)	(150, 27640489.0)
fastp | SRR30333751_2	(30, 2180.0)	(35, 5169.0)	(40, 10065.0)	(45, 16512.0)	(50, 28294.0)	(55, 39267.0)	(60, 64977.0)	(65, 93968.0)	(70, 148070.0)	(75, 228763.0)	(80, 351015.0)	(85, 539009.0)	(90, 780400.0)	(95, 1092909.0)	(100, 1432491.0)	(105, 1782127.0)	(110, 2072677.0)	(115, 2307790.0)	(120, 2452235.0)	(125, 2514862.0)	(130, 2528650.0)	(135, 2493850.0)	(140, 2486050.0)	(145, 2431521.0)	(150, 27606840.0)
fastp | SRR30333752_1	(30, 2290.0)	(35, 5235.0)	(40, 10273.0)	(45, 16967.0)	(50, 27226.0)	(55, 37633.0)	(60, 59888.0)	(65, 85291.0)	(70, 133844.0)	(75, 205201.0)	(80, 314907.0)	(85, 481872.0)	(90, 702845.0)	(95, 990532.0)	(100, 1312702.0)	(105, 1653594.0)	(110, 1945936.0)	(115, 2192856.0)	(120, 2347195.0)	(125, 2430591.0)	(130, 2470635.0)	(135, 2448007.0)	(140, 2458139.0)	(145, 2437685.0)	(150, 32826345.0)
fastp | SRR30333752_2	(30, 2307.0)	(35, 5459.0)	(40, 10481.0)	(45, 17205.0)	(50, 27521.0)	(55, 37998.0)	(60, 60206.0)	(65, 85644.0)	(70, 134152.0)	(75, 205334.0)	(80, 314773.0)	(85, 481485.0)	(90, 701626.0)	(95, 988485.0)	(100, 1309666.0)	(105, 1649476.0)	(110, 1940700.0)	(115, 2187102.0)	(120, 2342648.0)	(125, 2428186.0)	(130, 2473776.0)	(135, 2465366.0)	(140, 2501488.0)	(145, 2491714.0)	(150, 32734891.0)
fastp | SRR30333753_1	(30, 1917.0)	(35, 4562.0)	(40, 9420.0)	(45, 14405.0)	(50, 27674.0)	(55, 40001.0)	(60, 69927.0)	(65, 101406.0)	(70, 161904.0)	(75, 250432.0)	(80, 381941.0)	(85, 580486.0)	(90, 829336.0)	(95, 1137980.0)	(100, 1456951.0)	(105, 1766478.0)	(110, 2004317.0)	(115, 2176271.0)	(120, 2239417.0)	(125, 2222545.0)	(130, 2160515.0)	(135, 2052134.0)	(140, 1950924.0)	(145, 1835887.0)	(150, 15412204.0)
fastp | SRR30333753_2	(30, 1860.0)	(35, 4685.0)	(40, 9504.0)	(45, 14522.0)	(50, 27861.0)	(55, 40164.0)	(60, 70041.0)	(65, 101519.0)	(70, 161924.0)	(75, 250154.0)	(80, 381360.0)	(85, 579303.0)	(90, 827120.0)	(95, 1134294.0)	(100, 1451883.0)	(105, 1759966.0)	(110, 1996498.0)	(115, 2167737.0)	(120, 2232008.0)	(125, 2217411.0)	(130, 2160786.0)	(135, 2061187.0)	(140, 1973062.0)	(145, 1857576.0)	(150, 15406609.0)
fastp | SRR30333754_1	(30, 2616.0)	(35, 6230.0)	(40, 12713.0)	(45, 19711.0)	(50, 35266.0)	(55, 49835.0)	(60, 84687.0)	(65, 123370.0)	(70, 196101.0)	(75, 306566.0)	(80, 469447.0)	(85, 718906.0)	(90, 1034543.0)	(95, 1424101.0)	(100, 1821893.0)	(105, 2198983.0)	(110, 2482945.0)	(115, 2675868.0)	(120, 2721144.0)	(125, 2687776.0)	(130, 2588861.0)	(135, 2451419.0)	(140, 2314790.0)	(145, 2176232.0)	(150, 20227440.0)
fastp | SRR30333754_2	(30, 2533.0)	(35, 6405.0)	(40, 12892.0)	(45, 19888.0)	(50, 35528.0)	(55, 50087.0)	(60, 84967.0)	(65, 123641.0)	(70, 196329.0)	(75, 306605.0)	(80, 469007.0)	(85, 717798.0)	(90, 1032372.0)	(95, 1420317.0)	(100, 1816079.0)	(105, 2192120.0)	(110, 2474866.0)	(115, 2666920.0)	(120, 2714194.0)	(125, 2683469.0)	(130, 2590110.0)	(135, 2463801.0)	(140, 2345461.0)	(145, 2210801.0)	(150, 20195253.0)
