module,stage_raw,pass_raw,warn_raw,fail_raw,n_raw,stage_trimmed,pass_trimmed,warn_trimmed,fail_trimmed,n_trimmed,pass_delta,warn_delta,fail_delta,n_delta
Adapter Content,raw,0,0,52,52,trimmed,0,0,52,52,0,0,0,0
Basic Statistics,raw,52,0,0,52,trimmed,52,0,0,52,0,0,0,0
Overrepresented sequences,raw,37,13,2,52,trimmed,37,13,2,52,0,0,0,0
Per base N content,raw,52,0,0,52,trimmed,52,0,0,52,0,0,0,0
Per base sequence content,raw,0,26,26,52,trimmed,0,26,26,52,0,0,0,0
Per base sequence quality,raw,52,0,0,52,trimmed,52,0,0,52,0,0,0,0
Per sequence GC content,raw,17,35,0,52,trimmed,17,35,0,52,0,0,0,0
Per sequence quality scores,raw,52,0,0,52,trimmed,52,0,0,52,0,0,0,0
Per tile sequence quality,raw,24,0,28,52,trimmed,24,0,28,52,0,0,0,0
Sequence Duplication Levels,raw,0,0,52,52,trimmed,0,0,52,52,0,0,0,0
Sequence Length Distribution,raw,52,0,0,52,trimmed,0,52,0,52,-52,52,0,0
