stage,module,fail,pass,warn,n_srr
raw,Adapter Content,26,0,0,26
raw,Basic Statistics,0,26,0,26
raw,Overrepresented sequences,2,12,12,26
raw,Per base N content,0,26,0,26
raw,Per base sequence content,26,0,0,26
raw,Per base sequence quality,0,26,0,26
raw,Per sequence GC content,0,4,22,26
raw,Per sequence quality scores,0,26,0,26
raw,Per tile sequence quality,14,12,0,26
raw,Sequence Duplication Levels,26,0,0,26
raw,Sequence Length Distribution,0,26,0,26
trimmed,Adapter Content,26,0,0,26
trimmed,Basic Statistics,0,26,0,26
trimmed,Overrepresented sequences,2,12,12,26
trimmed,Per base N content,0,26,0,26
trimmed,Per base sequence content,26,0,0,26
trimmed,Per base sequence quality,0,26,0,26
trimmed,Per sequence GC content,0,4,22,26
trimmed,Per sequence quality scores,0,26,0,26
trimmed,Per tile sequence quality,14,12,0,26
trimmed,Sequence Duplication Levels,26,0,0,26
trimmed,Sequence Length Distribution,0,0,26,26
