stage,report_id,fail_count,warn_count,severity
raw,SRR30333743_1,4,1,13
raw,SRR30333743_2,3,3,12
raw,SRR30333744_1,4,0,12
raw,SRR30333744_2,3,3,12
raw,SRR30333745_1,4,0,12
raw,SRR30333745_2,3,3,12
raw,SRR30333746_1,4,0,12
raw,SRR30333746_2,3,2,11
raw,SRR30333747_1,4,0,12
raw,SRR30333747_2,3,2,11
raw,SRR30333748_1,4,0,12
raw,SRR30333748_2,3,3,12
raw,SRR30333749_1,4,0,12
raw,SRR30333749_2,3,2,11
raw,SRR30333750_1,4,0,12
raw,SRR30333750_2,3,2,11
raw,SRR30333751_1,4,0,12
raw,SRR30333751_2,3,3,12
raw,SRR30333752_1,4,0,12
raw,SRR30333752_2,3,3,12
raw,SRR30333753_1,4,0,12
raw,SRR30333753_2,3,3,12
raw,SRR30333754_1,4,0,12
raw,SRR30333754_2,4,2,14
raw,SRR30333755_1,4,0,12
raw,SRR30333755_2,3,3,12
raw,SRR30333756_1,4,1,13
raw,SRR30333756_2,4,2,14
raw,SRR30333757_1,3,1,10
raw,SRR30333757_2,2,2,8
raw,SRR30333758_1,3,1,10
raw,SRR30333758_2,2,2,8
raw,SRR30333759_1,3,1,10
raw,SRR30333759_2,2,2,8
raw,SRR30333760_1,3,1,10
raw,SRR30333760_2,2,2,8
raw,SRR30333761_1,3,1,10
raw,SRR30333761_2,2,2,8
raw,SRR30333762_1,3,1,10
raw,SRR30333762_2,2,2,8
raw,SRR30333763_1,3,1,10
raw,SRR30333763_2,2,2,8
raw,SRR30333764_1,3,1,10
raw,SRR30333764_2,2,2,8
raw,SRR30333765_1,3,1,10
raw,SRR30333765_2,2,2,8
raw,SRR30333766_1,3,1,10
raw,SRR30333766_2,2,2,8
raw,SRR30333767_1,3,1,10
raw,SRR30333767_2,2,2,8
raw,SRR30333768_1,3,1,10
raw,SRR30333768_2,2,2,8
trimmed,SRR30333743_1,4,2,14
trimmed,SRR30333743_2,3,4,13
trimmed,SRR30333744_1,4,1,13
trimmed,SRR30333744_2,3,4,13
trimmed,SRR30333745_1,4,1,13
trimmed,SRR30333745_2,3,4,13
trimmed,SRR30333746_1,4,1,13
trimmed,SRR30333746_2,3,3,12
trimmed,SRR30333747_1,4,1,13
trimmed,SRR30333747_2,3,3,12
trimmed,SRR30333748_1,4,1,13
trimmed,SRR30333748_2,3,4,13
trimmed,SRR30333749_1,4,1,13
trimmed,SRR30333749_2,3,3,12
trimmed,SRR30333750_1,4,1,13
trimmed,SRR30333750_2,3,3,12
trimmed,SRR30333751_1,4,1,13
trimmed,SRR30333751_2,3,4,13
trimmed,SRR30333752_1,4,1,13
trimmed,SRR30333752_2,3,4,13
trimmed,SRR30333753_1,4,1,13
trimmed,SRR30333753_2,3,4,13
trimmed,SRR30333754_1,4,1,13
trimmed,SRR30333754_2,4,3,15
trimmed,SRR30333755_1,4,1,13
trimmed,SRR30333755_2,3,4,13
trimmed,SRR30333756_1,4,2,14
trimmed,SRR30333756_2,4,3,15
trimmed,SRR30333757_1,3,2,11
trimmed,SRR30333757_2,2,3,9
trimmed,SRR30333758_1,3,2,11
trimmed,SRR30333758_2,2,3,9
trimmed,SRR30333759_1,3,2,11
trimmed,SRR30333759_2,2,3,9
trimmed,SRR30333760_1,3,2,11
trimmed,SRR30333760_2,2,3,9
trimmed,SRR30333761_1,3,2,11
trimmed,SRR30333761_2,2,3,9
trimmed,SRR30333762_1,3,2,11
trimmed,SRR30333762_2,2,3,9
trimmed,SRR30333763_1,3,2,11
trimmed,SRR30333763_2,2,3,9
trimmed,SRR30333764_1,3,2,11
trimmed,SRR30333764_2,2,3,9
trimmed,SRR30333765_1,3,2,11
trimmed,SRR30333765_2,2,3,9
trimmed,SRR30333766_1,3,2,11
trimmed,SRR30333766_2,2,3,9
trimmed,SRR30333767_1,3,2,11
trimmed,SRR30333767_2,2,3,9
trimmed,SRR30333768_1,3,2,11
trimmed,SRR30333768_2,2,3,9
