stage,report_id,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,pbq_min_10th,pbq_min_mean,adapter_max,deduplicated_pct,sample,read
raw,SRR30333759_1,SRR30333759_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42770474,0,151,49,25.0,34.129914961896375,28.806627207358048,35.489335364535165,SRR30333759,1
raw,SRR30333759_2,SRR30333759_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42770474,0,151,49,25.0,33.72481911236242,28.824239824884803,35.623653392491974,SRR30333759,2
raw,SRR30333760_1,SRR30333760_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40865354,0,151,49,25.0,34.528219368905994,28.721990270780477,34.7783746969823,SRR30333760,1
raw,SRR30333760_2,SRR30333760_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40865354,0,151,49,25.0,33.575290966523866,28.242545017473727,36.04307582110643,SRR30333760,2
raw,SRR30333761_1,SRR30333761_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41844421,0,151,49,25.0,34.00576521300175,31.94397408438272,37.47836399049046,SRR30333761,1
raw,SRR30333761_2,SRR30333761_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41844421,0,151,49,25.0,33.73527585672652,31.943505682633294,36.246616409122126,SRR30333761,2
raw,SRR30333762_1,SRR30333762_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40388094,0,151,49,25.0,34.20622315081271,27.754035632382156,34.83281828716763,SRR30333762,1
raw,SRR30333762_2,SRR30333762_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40388094,0,151,49,25.0,33.87262168152823,28.999392741831294,36.25002571872968,SRR30333762,2
raw,SRR30333763_1,SRR30333763_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42844247,0,151,49,25.0,34.62579021402803,31.338100072105362,34.23492245996461,SRR30333763,1
raw,SRR30333763_2,SRR30333763_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42844247,0,151,49,25.0,33.682070675673216,30.88482334629431,35.67303533551781,SRR30333763,2
raw,SRR30333764_1,SRR30333764_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40512573,0,151,49,25.0,34.38507733142498,30.348709276006733,35.437114284951306,SRR30333764,1
raw,SRR30333764_2,SRR30333764_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40512573,0,151,49,25.0,33.77048821362198,30.125988295041147,36.3708649060482,SRR30333764,2
raw,SRR30333765_1,SRR30333765_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40364476,0,151,49,25.0,33.896900829333205,28.891292927969634,38.06785519879142,SRR30333765,1
raw,SRR30333765_2,SRR30333765_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,40364476,0,151,49,25.0,33.6262124150949,28.957199890319398,37.38327978655291,SRR30333765,2
raw,SRR30333766_1,SRR30333766_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45014720,0,151,49,25.0,34.74331323176064,29.909827274278282,34.48889584277469,SRR30333766,1
raw,SRR30333766_2,SRR30333766_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45014720,0,151,49,25.0,33.670380177861816,29.526781461708527,35.29743662213995,SRR30333766,2
raw,SRR30333767_1,SRR30333767_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42072326,0,151,49,25.0,34.156459771204474,30.265654910546186,35.37781937809531,SRR30333767,1
raw,SRR30333767_2,SRR30333767_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42072326,0,151,49,25.0,33.56641440504145,30.050320963951457,36.11028242410249,SRR30333767,2
raw,SRR30333768_1,SRR30333768_1.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41495290,0,151,49,25.0,33.778243687416094,35.47375858802288,35.877409147463894,SRR30333768,1
raw,SRR30333768_2,SRR30333768_2.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,41495290,0,151,49,25.0,33.41963217994139,35.55516059774495,37.712200489674466,SRR30333768,2
trimmed,SRR30333743_1,SRR30333743_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50095819,0,118-151,53,24.0,36.57401789744448,49.176836494079474,29.943572650157062,SRR30333743,1
trimmed,SRR30333743_2,SRR30333743_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,50095819,0,80-151,53,12.0,34.82538510564049,49.39035531088932,28.14723686649015,SRR30333743,2
trimmed,SRR30333744_1,SRR30333744_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45278477,0,111-151,53,24.0,37.29842035416853,39.12556290265682,36.25352351978061,SRR30333744,1
trimmed,SRR30333744_2,SRR30333744_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,45278477,0,80-151,54,24.0,35.70702927000608,39.1827357620708,35.78551104540189,SRR30333744,2
trimmed,SRR30333745_1,SRR30333745_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47813388,0,120-151,53,24.0,36.835209100802174,44.86611992440276,33.544724717816976,SRR30333745,1
trimmed,SRR30333745_2,SRR30333745_2.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,47813388,0,75-151,54,24.0,35.514189019766135,45.064924075240185,32.20055290977823,SRR30333745,2
trimmed,SRR30333746_1,SRR30333746_1.trim.fastq.gz,Conventional base calls,Sanger / Illumina 1.9,42216035,0,121-151,53,24.0,37.13633827482034,40.55942250379506,37.923483549343906,SRR30333746,1
