stage,srr,module_key,module,status,severity_score
raw,SRR30333749,per_base_n_content,Per base N content,pass,0
raw,SRR30333749,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333749,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333749,per_sequence_gc_content,Per sequence GC content,pass,0
raw,SRR30333749,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333749,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333749,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333749,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333750,adapter_content,Adapter Content,fail,3
raw,SRR30333750,basic_statistics,Basic Statistics,pass,0
raw,SRR30333750,overrepresented_sequences,Overrepresented sequences,warn,1
raw,SRR30333750,per_base_n_content,Per base N content,pass,0
raw,SRR30333750,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333750,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333750,per_sequence_gc_content,Per sequence GC content,pass,0
raw,SRR30333750,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333750,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333750,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333750,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333751,adapter_content,Adapter Content,fail,3
raw,SRR30333751,basic_statistics,Basic Statistics,pass,0
raw,SRR30333751,overrepresented_sequences,Overrepresented sequences,warn,1
raw,SRR30333751,per_base_n_content,Per base N content,pass,0
raw,SRR30333751,per_base_sequence_content,Per base sequence content,fail,3
raw,SRR30333751,per_base_sequence_quality,Per base sequence quality,pass,0
raw,SRR30333751,per_sequence_gc_content,Per sequence GC content,warn,1
raw,SRR30333751,per_sequence_quality_scores,Per sequence quality scores,pass,0
raw,SRR30333751,per_tile_sequence_quality,Per tile sequence quality,fail,3
raw,SRR30333751,sequence_duplication_levels,Sequence Duplication Levels,fail,3
raw,SRR30333751,sequence_length_distribution,Sequence Length Distribution,pass,0
raw,SRR30333752,adapter_content,Adapter Content,fail,3
raw,SRR30333752,basic_statistics,Basic Statistics,pass,0
raw,SRR30333752,overrepresented_sequences,Overrepresented sequences,warn,1
raw,SRR30333752,per_base_n_content,Per base N content,pass,0
raw,SRR30333752,per_base_sequence_content,Per base sequence content,fail,3
