Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastp | SRR35329977_1	SRR35329977_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89957186.0	0.0	30-151	49.0	31.14982125639374	133.27376703401993	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329977_2	SRR35329977_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89957186.0	0.0	30-151	50.0	39.97973006317951	133.20231444322857	142	pass	warn	fail	pass	fail	pass	pass	warn	fail	pass	pass
fastp | SRR35329978_1	SRR35329978_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61342187.0	0.0	30-151	49.0	34.48202413213987	131.7715484288162	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329978_2	SRR35329978_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61342187.0	0.0	30-151	50.0	42.74977336247419	131.740617317736	142	pass	warn	fail	pass	fail	pass	pass	warn	fail	warn	pass
fastp | SRR35329979_1	SRR35329979_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89605541.0	0.0	30-151	49.0	31.36357256598349	133.63489060347283	147	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329979_2	SRR35329979_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89605541.0	0.0	30-151	50.0	41.854103889361504	133.5739020759888	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329980_1	SRR35329980_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58788435.0	0.0	30-151	50.0	37.64022805175489	133.38265155383027	142	pass	warn	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329980_2	SRR35329980_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58788435.0	0.0	30-151	50.0	45.30753645220065	133.32126374855872	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329981_1	SRR35329981_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75914744.0	0.0	30-151	50.0	34.265539110401	131.69550705459798	142	pass	warn	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329981_2	SRR35329981_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	75914744.0	0.0	30-151	50.0	43.12597873568749	131.6578911469424	142	pass	warn	fail	pass	fail	pass	pass	warn	fail	warn	pass
fastp | SRR35329982_1	SRR35329982_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69286090.0	0.0	30-151	49.0	34.04147979911662	131.73107600674248	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329982_2	SRR35329982_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69286090.0	0.0	30-151	50.0	43.529405361523274	131.67752242910518	142	pass	warn	fail	pass	fail	pass	pass	warn	fail	warn	pass
fastp | SRR35329983_1	SRR35329983_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67768714.0	0.0	30-151	50.0	33.942764108817045	132.09356647965905	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329983_2	SRR35329983_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67768714.0	0.0	30-151	50.0	43.21716951647465	132.03944644722046	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	warn	pass
fastp | SRR35329984_1	SRR35329984_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59618686.0	0.0	30-151	49.0	36.01483852279336	131.84876191333703	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329984_2	SRR35329984_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59618686.0	0.0	30-151	50.0	45.520958454003754	131.7908875583068	142	pass	warn	fail	pass	fail	pass	pass	warn	fail	warn	pass
fastp | SRR35329985_1	SRR35329985_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55822712.0	0.0	30-151	49.0	34.88823086328669	132.3828264560131	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329985_2	SRR35329985_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55822712.0	0.0	30-151	50.0	46.60361655583537	132.35531514484643	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	warn	pass
fastp | SRR35329986_1	SRR35329986_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56069970.0	0.0	30-151	50.0	37.74043174440627	133.24721445365495	142	pass	warn	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329986_2	SRR35329986_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56069970.0	0.0	30-151	50.0	46.93515824581834	133.17771452347844	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329987_1	SRR35329987_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83988754.0	0.0	30-151	50.0	35.13361094825859	133.25988977048047	142	pass	warn	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329987_2	SRR35329987_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83988754.0	0.0	30-151	50.0	41.384007095663776	133.2206154290609	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	warn	pass
fastp | SRR35329988_1	SRR35329988_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61557682.0	0.0	30-151	50.0	36.55746651502944	132.38198749913943	142	pass	warn	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329988_2	SRR35329988_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61557682.0	0.0	30-151	50.0	46.68038494632763	132.32377393612708	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329989_1	SRR35329989_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59104797.0	0.0	30-151	49.0	35.78856653910902	132.39481455286955	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329989_2	SRR35329989_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59104797.0	0.0	30-151	50.0	46.64087056621443	132.3447806444543	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329990_1	SRR35329990_1.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58326465.0	0.0	30-151	49.0	34.993192583507636	132.12141550152234	142	pass	pass	warn	pass	fail	warn	pass	warn	fail	pass	pass
fastp | SRR35329990_2	SRR35329990_2.fastp.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58326465.0	0.0	30-151	50.0	44.41756923483447	132.07484319510877	142	pass	warn	fail	pass	fail	warn	pass	warn	fail	warn	pass
