Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
fastp | SRR35329977_1 - nextera_transposase_sequence	(1, 6.336347604292557e-05)	(2, 0.0810874630960555)	(3, 0.08117083609084882)	(4, 0.08118862232973806)	(5, 0.08124309268633637)	(6, 0.08127310696446197)	(7, 0.081330912240852)	(8, 0.08136314979883875)	(9, 0.08142095507522878)	(10, 0.08152922880446706)	(15, 0.08167396432342826)	(20, 0.08178290503662486)	(25, 0.08192764055558607)	(30, 0.08212573479121502)	(35, 0.08215952864510456)	(40, 0.08217820419593827)	(45, 0.08220977476996669)	(50, 0.0823029301961491)	(55, 0.08249035268844448)	(60, 0.08279338573351994)	(65, 0.08341234684686558)	(70, 0.08441882564001058)	(75, 0.0861874447695596)	(80, 0.08902012564065755)	(85, 0.09353449539873335)	(90, 0.10054160653713647)	(95, 0.11047544328476437)	(100, 0.12452679433525189)	(105, 0.1416106991163552)	(110, 0.16196282529335676)	(115, 0.18501290158187028)	(120, 0.21081917791425803)	(125, 0.23808303652361915)	(130, 0.26602544014660484)	(135, 0.2944367334923082)	(140, 0.3111369001693761)
fastp | SRR35329977_2 - nextera_transposase_sequence	(1, 3.0014278125596326e-05)	(2, 0.08172220949641533)	(3, 0.08179335445197229)	(4, 0.08181002905093096)	(5, 0.0818578295679458)	(6, 0.08187672744676562)	(7, 0.08192675124364161)	(8, 0.08195787716169779)	(9, 0.08200567767871263)	(10, 0.08210194569670067)	(15, 0.08224067836003673)	(20, 0.08234672880941385)	(25, 0.08247101015365244)	(30, 0.08267510724490648)	(35, 0.08270801178685158)	(40, 0.08272490871379637)	(45, 0.08276048119157485)	(50, 0.08284029693859032)	(55, 0.0829830315056765)	(60, 0.083199578964153)	(65, 0.08362867197735598)	(70, 0.08427542408896607)	(75, 0.08547933013378164)	(80, 0.08730108565201229)	(85, 0.08999614549970472)	(90, 0.09397981835492275)	(95, 0.09920763862044328)	(100, 0.106223642878291)	(105, 0.11420099334810227)	(110, 0.12284955200799634)	(115, 0.13207460713588798)	(120, 0.1418325824464985)	(125, 0.1512766306407139)	(130, 0.1603216000998519)	(135, 0.16817044499368844)	(140, 0.17221414640515767)
fastp | SRR35329978_1 - nextera_transposase_sequence	(1, 0.00012552535826608203)	(2, 0.1907806123704067)	(3, 0.1909550437124128)	(4, 0.19100721009506882)	(5, 0.19113110525387692)	(6, 0.19118327163653295)	(7, 0.191271302407265)	(8, 0.19134792178179105)	(9, 0.19144736394872913)	(10, 0.19165179096076246)	(15, 0.1919706579747475)	(20, 0.19221583997323083)	(25, 0.19247080316846218)	(30, 0.1928278168497644)	(35, 0.19288911234938527)	(40, 0.19291291326147209)	(45, 0.19295986300586251)	(50, 0.19307397696792258)	(55, 0.19333024432272033)	(60, 0.19378506997150263)	(65, 0.19458549790538116)	(70, 0.1958593357618632)	(75, 0.1979975053709774)	(80, 0.20128235727884952)	(85, 0.20658604819551024)	(90, 0.21448403852963377)	(95, 0.22539105102333568)	(100, 0.24024966700323222)	(105, 0.25833999038867006)	(110, 0.2797657018651781)	(115, 0.30319003787719534)	(120, 0.329330612226134)	(125, 0.3559905681223918)	(130, 0.3833475973068909)	(135, 0.4103701095626082)	(140, 0.4260803417393645)
fastp | SRR35329978_2 - nextera_transposase_sequence	(1, 0.00010270256585406711)	(2, 0.19240429103057574)	(3, 0.19253307678775783)	(4, 0.19257546197366585)	(5, 0.19268957593572594)	(6, 0.19273522152054995)	(7, 0.192818361692908)	(8, 0.19288356967122805)	(9, 0.1929683400430441)	(10, 0.19315516090093104)	(15, 0.19344859680337123)	(20, 0.19367356432857535)	(25, 0.19390929117020234)	(30, 0.19427478188868616)	(35, 0.19431488479535303)	(40, 0.19433053471014977)	(45, 0.19437031157692503)	(50, 0.1944707318635379)	(55, 0.19466765995806443)	(60, 0.19498685301194102)	(65, 0.1955254709128646)	(70, 0.19636078511514435)	(75, 0.19768026855645035)	(80, 0.1997284511554829)	(85, 0.20273453895603688)	(90, 0.20705913207822216)	(95, 0.2128750316645867)	(100, 0.2202076688266755)	(105, 0.22851255694551614)	(110, 0.23758266068994244)	(115, 0.24690414119079254)	(120, 0.2567430469996122)	(125, 0.26603159747141064)	(130, 0.2748614098157276)	(135, 0.28240173438876576)	(140, 0.2862516134287811)
fastp | SRR35329979_1 - nextera_transposase_sequence	(1, 0.00011160024132882586)	(2, 0.057148251579665146)	(3, 0.05731676794407167)	(4, 0.0573904241033487)	(5, 0.05752211238811671)	(6, 0.05756786848706153)	(7, 0.05767946872839036)	(8, 0.0577419648635345)	(9, 0.05783012905418427)	(10, 0.05803234869147211)	(15, 0.05837518463283427)	(20, 0.05864101640767951)	(25, 0.058886090537637624)	(30, 0.059193437602257204)	(35, 0.05923852409975405)	(40, 0.059273120174565985)	(45, 0.059315751466753594)	(50, 0.059412620476227015)	(55, 0.05960100168359008)	(60, 0.05990455434000449)	(65, 0.060482866790570466)	(70, 0.06144887847951278)	(75, 0.06318761023941588)	(80, 0.06591779854328428)	(85, 0.0702295854672648)	(90, 0.07678096603423219)	(95, 0.08639287161940132)	(100, 0.09972910045819598)	(105, 0.11660662815483698)	(110, 0.13680783423873305)	(115, 0.16026575856508693)	(120, 0.1866632332480421)	(125, 0.2146041392685749)	(130, 0.24381416323349914)	(135, 0.2731121281885905)	(140, 0.29053672026822536)
fastp | SRR35329979_2 - nextera_transposase_sequence	(1, 8.37001809966194e-05)	(2, 0.05766496069701761)	(3, 0.05779106896971918)	(4, 0.0578557971096899)	(5, 0.05796404934377886)	(6, 0.058005341433070526)	(7, 0.05809796963337346)	(8, 0.05815153774921129)	(9, 0.058225193908488314)	(10, 0.05839616547820407)	(15, 0.058707976552476816)	(20, 0.0589568450906401)	(25, 0.059177143967023206)	(30, 0.059483821430194816)	(35, 0.059516855101628144)	(40, 0.05953136313300089)	(45, 0.05958091364015089)	(50, 0.059662158615838276)	(55, 0.059798310910259445)	(60, 0.06003289461753264)	(65, 0.06046411795002722)	(70, 0.06106586645127225)	(75, 0.06217472644911547)	(80, 0.06381926760533704)	(85, 0.06630973859083113)	(90, 0.06987893750900963)	(95, 0.07493844604989328)	(100, 0.08159785565046698)	(105, 0.08930786992291023)	(110, 0.09787653645213748)	(115, 0.10721993185666942)	(120, 0.11692826005034669)	(125, 0.1265859217344606)	(130, 0.13572486549687812)	(135, 0.1435219279575579)	(140, 0.14750650297396228)
fastp | SRR35329980_1 - nextera_transposase_sequence	(1, 6.293754885633543e-05)	(2, 0.06666447235753087)	(3, 0.06679715151457935)	(4, 0.06684307891509614)	(5, 0.06692302661229203)	(6, 0.06695874792380509)	(7, 0.06702848953199723)	(8, 0.06706421084351029)	(9, 0.06712374636269872)	(10, 0.06728840459862558)	(15, 0.06751191794780725)	(20, 0.0676993697825091)	(25, 0.06787899694897474)	(30, 0.06809094339728554)	(35, 0.06812496369396463)	(40, 0.06815217993130793)	(45, 0.06817667454491687)	(50, 0.06825832325694672)	(55, 0.06844849671538289)	(60, 0.0687509371528601)	(65, 0.06933098321123873)	(70, 0.07034342724040876)	(75, 0.07224209999806934)	(80, 0.07527841147667905)	(85, 0.08018447846077208)	(90, 0.08769207753191592)	(95, 0.09852516060344182)	(100, 0.11356791518603956)	(105, 0.13230561419095438)	(110, 0.15501586323908775)	(115, 0.18038683969049352)	(120, 0.2087624887445975)	(125, 0.23770219431764086)	(130, 0.26766148818215696)	(135, 0.2969413967219913)	(140, 0.3139954312442575)
fastp | SRR35329980_2 - nextera_transposase_sequence	(1, 7.824668236193055e-05)	(2, 0.06760173153104007)	(3, 0.06769868937657551)	(4, 0.06773951373259043)	(5, 0.06780245128144677)	(6, 0.06783306954845796)	(7, 0.06789600709731429)	(8, 0.06792832637915944)	(9, 0.06797595479451018)	(10, 0.06811475760496091)	(15, 0.06831309593460007)	(20, 0.06846754808152318)	(25, 0.06861859819877839)	(30, 0.06882884363225522)	(35, 0.06885265783993058)	(40, 0.0688669463645358)	(45, 0.06888667813660969)	(50, 0.06897240928424102)	(55, 0.06911053168875816)	(60, 0.06937963223548986)	(65, 0.06982835994868719)	(70, 0.07052475542170837)	(75, 0.07183623785868767)	(80, 0.073865548555596)	(85, 0.07698384894920234)	(90, 0.08143472436372903)	(95, 0.08756518182530289)	(100, 0.09569365131084032)	(105, 0.1051240775502869)	(110, 0.11576426553964228)	(115, 0.12698177796364202)	(120, 0.1389487575234823)	(125, 0.1503458971139477)	(130, 0.1615630693349806)	(135, 0.1710227530295712)	(140, 0.17577776989640906)
fastp | SRR35329981_1 - nextera_transposase_sequence	(1, 0.00013831305286361763)	(2, 0.23561694418675772)	(3, 0.2357802853158538)	(4, 0.23581980333095767)	(5, 0.2359133293000369)	(6, 0.23596470271967196)	(7, 0.2360292488110083)	(8, 0.23607271862762258)	(9, 0.2361609755280213)	(10, 0.2363164130540966)	(15, 0.23652849306848744)	(20, 0.23669736671969804)	(25, 0.2369178772439778)	(30, 0.23727801808829124)	(35, 0.23731938027743332)	(40, 0.23734098345902344)	(45, 0.2373999970282453)	(50, 0.23755938635583096)	(55, 0.23789528948421404)	(60, 0.238423513619436)	(65, 0.23937668814374186)	(70, 0.24085861371013778)	(75, 0.24347813120465772)	(80, 0.24752056069635167)	(85, 0.2536935381090134)	(90, 0.2627850526638146)	(95, 0.27531964014790067)	(100, 0.2927188952912757)	(105, 0.3131020240284285)	(110, 0.33744564823929324)	(115, 0.3633088718576196)	(120, 0.39222051516106016)	(125, 0.4216008421236328)	(130, 0.45158500435699284)	(135, 0.48074192280751155)	(140, 0.49745540866211707)
fastp | SRR35329981_2 - nextera_transposase_sequence	(1, 0.0001778310679675084)	(2, 0.23815004895491712)	(3, 0.23826860300022878)	(4, 0.23829890014514177)	(5, 0.23837398437383917)	(6, 0.2384161369232833)	(7, 0.23847541394593916)	(8, 0.23850966289236253)	(9, 0.23857816078520927)	(10, 0.23872253326705545)	(15, 0.23892170406317909)	(20, 0.23908162029763283)	(25, 0.2392784200128502)	(30, 0.2396267054526325)	(35, 0.23965700259754552)	(40, 0.23967544433792728)	(45, 0.23972918883846858)	(50, 0.23988041110959948)	(55, 0.24013964928868098)	(60, 0.24055959406251834)	(65, 0.24129910785182912)	(70, 0.24234923323985655)	(75, 0.2441575776110106)	(80, 0.24681661312063435)	(85, 0.2507017609122149)	(90, 0.25618211924682244)	(95, 0.2633406759561753)	(100, 0.27293143476845555)	(105, 0.28327883184325825)	(110, 0.2947277277257235)	(115, 0.3062843760627053)	(120, 0.3186042489980602)	(125, 0.33031844248858955)	(130, 0.3414490866227514)	(135, 0.3509961121649834)	(140, 0.35572668202635316)
