Sample	Unique Reads	Duplicate Reads
fastp | SRR35329977_1	28021503.0	61935683.0
fastp | SRR35329977_2	35964641.0	53992545.0
fastp | SRR35329978_1	21152028.0	40190159.0
fastp | SRR35329978_2	26223646.0	35118541.0
fastp | SRR35329979_1	28103499.0	61502042.0
fastp | SRR35329979_2	37503597.0	52101944.0
fastp | SRR35329980_1	22128102.0	36660333.0
fastp | SRR35329980_2	26635592.0	32152843.0
fastp | SRR35329981_1	26012597.0	49902147.0
fastp | SRR35329981_2	32738977.0	43175767.0
fastp | SRR35329982_1	23586011.0	45700079.0
fastp | SRR35329982_2	30159823.0	39126267.0
fastp | SRR35329983_1	23002575.0	44766139.0
fastp | SRR35329983_2	29287721.0	38480993.0
fastp | SRR35329984_1	21471574.0	38147112.0
fastp | SRR35329984_2	27138998.0	32479688.0
fastp | SRR35329985_1	19475557.0	36347155.0
fastp | SRR35329985_2	26015403.0	29807309.0
fastp | SRR35329986_1	21161049.0	34908921.0
fastp | SRR35329986_2	26316530.0	29753440.0
fastp | SRR35329987_1	29508283.0	54480471.0
fastp | SRR35329987_2	34757912.0	49230842.0
fastp | SRR35329988_1	22503929.0	39053753.0
fastp | SRR35329988_2	28735363.0	32822319.0
fastp | SRR35329989_1	21152760.0	37952037.0
fastp | SRR35329989_2	27566992.0	31537805.0
fastp | SRR35329990_1	20410293.0	37916172.0
fastp | SRR35329990_2	25907198.0	32419267.0
fastp | SRR35329991_1	21815502.0	42987164.0
fastp | SRR35329991_2	27882311.0	36920355.0
fastp | SRR35329992_1	26017675.0	50026761.0
fastp | SRR35329992_2	33318977.0	42725459.0
fastp | SRR35329993_1	27455498.0	54921181.0
fastp | SRR35329993_2	34972614.0	47404065.0
fastp | SRR35329994_1	21698619.0	41755635.0
fastp | SRR35329994_2	28654631.0	34799623.0
fastp | SRR35329995_1	22052486.0	43651935.0
fastp | SRR35329995_2	29208167.0	36496254.0
fastp | SRR35329996_1	25935657.0	37153385.0
fastp | SRR35329996_2	27817351.0	35271691.0
