Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR35329982_1	(1, 0.0)	(2, 0.09416897388783232)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000788036963840794)	(9, 0.0)	(10, 0.020805907794768038)	(15, 8.284491158326296e-05)	(20, 1.27009620545769e-05)	(25, 0.0)	(30, 0.0009413180236823433)	(35, 0.0001506834011841637)	(40, 0.010787672652091901)	(45, 0.03235362255352872)	(50, 0.001372295280482924)	(55, 0.016961613951184496)	(60, 0.014615400915104812)	(65, 0.00010737245368081107)	(70, 0.06525641647167137)	(75, 1.4730077154523828e-06)	(80, 0.0005381541579672891)	(85, 0.0005564505101027442)	(90, 0.049112313387710035)	(95, 0.017415719312375257)	(100, 0.00020507811184205957)	(105, 6.399284564136617e-05)	(110, 0.0019929777562503123)	(115, 0.0014050844555452057)	(120, 0.02171175376087247)	(125, 0.018784793753029085)	(130, 4.891292994178056e-07)	(135, 0.0017867657621450418)	(140, 0.03532190731625738)	(145, 0.0)	(150, 0.0018649058508743732)
fastp | SRR35329982_2	(1, 0.04129111629765802)	(2, 3.463898742157336e-05)	(3, 0.0)	(4, 0.0)	(5, 0.07896823157433187)	(6, 0.0)	(7, 0.0)	(8, 0.0010175202555087175)	(9, 0.0)	(10, 0.004266657275652299)	(15, 0.08601582222347949)	(20, 1.0391696226472009e-05)	(25, 0.019613171994551863)	(30, 0.00016684582771785025)	(35, 0.002299837329881643)	(40, 0.001752389181282706)	(45, 1.2994275680823813e-05)	(50, 0.03671648693828629)	(55, 0.08480096407230557)	(60, 0.06670230156605607)	(65, 3.4585777032825326e-05)	(70, 1.050973382645238e-05)	(75, 0.03432241896862412)	(80, 1.1908926874720165e-06)	(85, 3.8980797080305665e-05)	(90, 0.0015541821398576301)	(95, 0.0270637563222699)	(100, 0.01738793525616779)	(105, 0.0002703067149528369)	(110, 0.00011623751044450866)	(115, 0.0016066768773312437)	(120, 2.0987877746015095e-06)	(125, 0.03426622242826594)	(130, 0.004275164403402866)	(135, 0.0006700667092357566)	(140, 0.03455335675795383)	(145, 0.0012877958934884343)	(150, 0.0)
fastp | SRR35329983_1	(1, 0.0)	(2, 0.09813230335166165)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0008042059053975851)	(9, 0.0)	(10, 0.025125458334652774)	(15, 9.119252285058855e-05)	(20, 1.3870707359151007e-05)	(25, 0.0)	(30, 0.0009857095925477027)	(35, 0.00015464802702260598)	(40, 0.012357198240197076)	(45, 0.03291808192164749)	(50, 0.001361706851784409)	(55, 0.016682760907276696)	(60, 0.01572421769350598)	(65, 0.00010402983152315284)	(70, 0.06618749422078714)	(75, 3.305642338099698e-06)	(80, 0.0005569440936242678)	(85, 0.0005693428423451282)	(90, 0.049453773278300396)	(95, 0.01710153608868916)	(100, 0.00019894467219720575)	(105, 7.049407847636498e-05)	(110, 0.0020771662744070375)	(115, 0.0014657808768698986)	(120, 0.021289365802316405)	(125, 0.018775562621399972)	(130, 9.926951583710862e-07)	(135, 0.0019516612224933097)	(140, 0.03539423132513317)	(145, 0.0)	(150, 0.0019489759805452701)
fastp | SRR35329983_2	(1, 0.04347581392794321)	(2, 3.984139347841247e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08295568365071823)	(6, 0.0)	(7, 0.0)	(8, 0.0009576690506477664)	(9, 0.0)	(10, 0.004192199958228512)	(15, 0.08468037330618373)	(20, 1.1509735893763602e-05)	(25, 0.019413087874147944)	(30, 0.0001605475071362113)	(35, 0.0022926094646792904)	(40, 0.0017904618220292046)	(45, 1.6237560301722923e-05)	(50, 0.03684500039103674)	(55, 0.08440959738653747)	(60, 0.06642546055294929)	(65, 3.9494285122007186e-05)	(70, 1.6695961271118032e-05)	(75, 0.033613090413912104)	(80, 2.73080934052338e-06)	(85, 4.98439717537535e-05)	(90, 0.0015378750862185741)	(95, 0.03123415401252159)	(100, 0.017322471582375626)	(105, 0.00025722847457029476)	(110, 0.00015150134209580458)	(115, 0.0016408723265144691)	(120, 5.102128259689689e-06)	(125, 0.033576092798006316)	(130, 0.004140389815015103)	(135, 0.0007538054073403548)	(140, 0.03452353338153573)	(145, 0.0012907681164130895)	(150, 0.0)
fastp | SRR35329984_1	(1, 0.0)	(2, 0.09432109926072507)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007648608692918862)	(9, 0.0)	(10, 0.022476174667787882)	(15, 9.896226159697648e-05)	(20, 1.4760472916159205e-05)	(25, 0.0)	(30, 0.0009081074802601185)	(35, 0.00017813590975515383)	(40, 0.011077998935760596)	(45, 0.03306683379055066)	(50, 0.001377389049918862)	(55, 0.01682483232085972)	(60, 0.015217929349637348)	(65, 9.454164616238441e-05)	(70, 0.06590339955866181)	(75, 1.707241427385086e-06)	(80, 0.0005210423001898211)	(85, 0.0006080895070807212)	(90, 0.04954891391745078)	(95, 0.017323360455955086)	(100, 0.00021639435768916823)	(105, 6.371073358730462e-05)	(110, 0.0020007343952058465)	(115, 0.001502178654645991)	(120, 0.021882560500084712)	(125, 0.01858594764451162)	(130, 0.0)	(135, 0.0018689197976577067)	(140, 0.035514102820833685)	(145, 0.0)	(150, 0.0018209777143988384)
fastp | SRR35329984_2	(1, 0.04155911789132689)	(2, 3.186920288716192e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08159186869700549)	(6, 0.0)	(7, 0.0)	(8, 0.0010131051865182)	(9, 0.0)	(10, 0.0041902969817214685)	(15, 0.08566877840950737)	(20, 1.2747681154864766e-05)	(25, 0.019678729584882163)	(30, 0.0001576697823188509)	(35, 0.0022799038033572637)	(40, 0.0017734653054107049)	(45, 1.5100370400341188e-05)	(50, 0.03724279058226681)	(55, 0.08495981455170877)	(60, 0.06695064635838134)	(65, 4.04960041023532e-05)	(70, 1.5248376845864305e-05)	(75, 0.034089954360839794)	(80, 6.898109459973499e-07)	(85, 5.074522619359107e-05)	(90, 0.0015702278900123865)	(95, 0.028942860892993597)	(100, 0.017404069395233698)	(105, 0.0002661973841977736)	(110, 0.00015210389556006095)	(115, 0.0016374608277697413)	(120, 2.435832332969472e-06)	(125, 0.03405372796806093)	(130, 0.004206368929444387)	(135, 0.0007335217468195916)	(140, 0.03459832829883604)	(145, 0.00134533958629513)	(150, 0.0)
fastp | SRR35329985_1	(1, 0.0)	(2, 0.09628697366046995)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0007344680781542825)	(9, 0.0)	(10, 0.024585333654158544)	(15, 9.494343449311456e-05)	(20, 1.540591578567519e-05)	(25, 0.0)	(30, 0.0009544535825253994)	(35, 0.00017412675111857088)	(40, 0.01238133748370719)	(45, 0.03303042500684241)	(50, 0.0013340632719011907)	(55, 0.0166975808976141)	(60, 0.015707228735001813)	(65, 0.00010389130585679083)	(70, 0.06573048510623467)	(75, 2.186008983615232e-06)	(80, 0.0005308281596795362)	(85, 0.0005815410459959365)	(90, 0.0492745580288596)	(95, 0.017126927967681914)	(100, 0.0002163325018886658)	(105, 5.680230949373326e-05)	(110, 0.002018302655446859)	(115, 0.001452988065182763)	(120, 0.02160425299939849)	(125, 0.0185854098058022)	(130, 0.0)	(135, 0.0018792911453870988)	(140, 0.03554880906509818)	(145, 7.739071687825909e-07)	(150, 0.0019041081266634957)
fastp | SRR35329985_2	(1, 0.04281232341416877)	(2, 3.7619096685951055e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08233924571776449)	(6, 0.0)	(7, 0.0)	(8, 0.0009279377182534592)	(9, 0.0)	(10, 0.004106213972549381)	(15, 0.08448604216864275)	(20, 8.240373559779754e-06)	(25, 0.01950962181844551)	(30, 0.000156926572301249)	(35, 0.002279804411914187)	(40, 0.0017428603478610227)	(45, 1.5410421693323726e-05)	(50, 0.0366065847582636)	(55, 0.08396283633572563)	(60, 0.06645765814856391)	(65, 3.3495499935409514e-05)	(70, 1.9881558399254615e-05)	(75, 0.03365580743102533)	(80, 1.4707603629214443e-06)	(85, 4.3971618377314845e-05)	(90, 0.0015326523544533625)	(95, 0.03106729282869761)	(100, 0.017131456760233532)	(105, 0.00026634109944961203)	(110, 0.00014268361496745736)	(115, 0.0016375746607811621)	(120, 9.23399198868089e-06)	(125, 0.033568692639629805)	(130, 0.004101179027575532)	(135, 0.0007711015532228368)	(140, 0.034708313447845154)	(145, 0.0012984937900196196)	(150, 0.0)
fastp | SRR35329986_1	(1, 0.0)	(2, 0.0954254122126336)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0006456218899350222)	(9, 0.0)	(10, 0.023472457716670798)	(15, 7.561980147305234e-05)	(20, 1.319779554010819e-05)	(25, 3.566971767596808e-07)	(30, 0.000932052877924426)	(35, 0.0001762121476688046)	(40, 0.011919996564586715)	(45, 0.03268466691418437)	(50, 0.0013280499241127076)	(55, 0.01658448387133585)	(60, 0.01558822053639378)	(65, 9.714964344234655e-05)	(70, 0.06551418887881538)	(75, 1.8093462606153983e-06)	(80, 0.0005294211617329729)	(85, 0.0005729348057927765)	(90, 0.049346036641449494)	(95, 0.016914280526305073)	(100, 0.00021197743400813135)	(105, 6.749358304759175e-05)	(110, 0.0020322955753814937)	(115, 0.0015021086222980198)	(120, 0.021652575744271516)	(125, 0.018600456172348994)	(130, 1.160197588610526e-06)	(135, 0.0018610820871426972)	(140, 0.0351839604947691)	(145, 7.467721817923081e-07)	(150, 0.0020256018214782952)
fastp | SRR35329986_2	(1, 0.04289640247711921)	(2, 3.388623179216968e-05)	(3, 0.0)	(4, 0.0)	(5, 0.08238277994441588)	(6, 0.0)	(7, 0.0)	(8, 0.00088282551248021)	(9, 0.0)	(10, 0.004158018989487599)	(15, 0.08468419012886934)	(20, 9.630823772511382e-06)	(25, 0.019423944760448418)	(30, 0.00014303662605120863)	(35, 0.002214815430127198)	(40, 0.0017105540614814156)	(45, 1.7483094035386647e-05)	(50, 0.03677124976762095)	(55, 0.08400828634104561)	(60, 0.06620820119333344)	(65, 3.118751686299179e-05)	(70, 1.5107264980496143e-05)	(75, 0.033671570797588646)	(80, 1.459809197390626e-06)	(85, 4.6926460221378196e-05)	(90, 0.001481903092012251)	(95, 0.030791589117207703)	(100, 0.017210416500346635)	(105, 0.00024969823613832967)	(110, 0.00015254785224999313)	(115, 0.0015757601971434284)	(120, 7.499938950496943e-06)	(125, 0.033605815807805854)	(130, 0.0041639624257143355)	(135, 0.0007123304181237214)	(140, 0.03433152882927787)	(145, 0.001336636504439039)	(150, 0.0)
