Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
fastp | SRR35329982_2	(30, 1721.0)	(35, 3804.0)	(40, 11650.0)	(45, 22410.0)	(50, 59787.0)	(55, 91594.0)	(60, 179784.0)	(65, 265387.0)	(70, 393397.0)	(75, 769554.0)	(80, 832339.0)	(85, 1265549.0)	(90, 1622555.0)	(95, 2211708.0)	(100, 2588582.0)	(105, 3086157.0)	(110, 3313534.0)	(115, 3479928.0)	(120, 3520103.0)	(125, 3395350.0)	(130, 3330982.0)	(135, 3098187.0)	(140, 3110704.0)	(145, 2923819.0)	(150, 29707505.0)
fastp | SRR35329983_1	(30, 1058.0)	(35, 2955.0)	(40, 10371.0)	(45, 54571.0)	(50, 55240.0)	(55, 78506.0)	(60, 179524.0)	(65, 260083.0)	(70, 372725.0)	(75, 539292.0)	(80, 767699.0)	(85, 1143592.0)	(90, 1539042.0)	(95, 2070588.0)	(100, 2515916.0)	(105, 2980198.0)	(110, 3262931.0)	(115, 3432002.0)	(120, 3486751.0)	(125, 3381739.0)	(130, 3293090.0)	(135, 3095220.0)	(140, 3026969.0)	(145, 2855232.0)	(150, 29363420.0)
fastp | SRR35329983_2	(30, 1923.0)	(35, 3876.0)	(40, 11605.0)	(45, 20720.0)	(50, 53865.0)	(55, 79066.0)	(60, 160460.0)	(65, 226715.0)	(70, 356651.0)	(75, 654776.0)	(80, 770650.0)	(85, 1146621.0)	(90, 1542557.0)	(95, 2073920.0)	(100, 2519728.0)	(105, 2985286.0)	(110, 3269210.0)	(115, 3440243.0)	(120, 3497678.0)	(125, 3397030.0)	(130, 3314341.0)	(135, 3128531.0)	(140, 3082121.0)	(145, 2950721.0)	(150, 29080420.0)
fastp | SRR35329984_1	(30, 683.0)	(35, 2031.0)	(40, 7445.0)	(45, 17110.0)	(50, 43330.0)	(55, 66819.0)	(60, 165982.0)	(65, 233985.0)	(70, 321653.0)	(75, 500886.0)	(80, 701933.0)	(85, 1065917.0)	(90, 1397063.0)	(95, 1897180.0)	(100, 2255586.0)	(105, 2678738.0)	(110, 2888458.0)	(115, 3028140.0)	(120, 3064857.0)	(125, 2949260.0)	(130, 2889141.0)	(135, 2682084.0)	(140, 2658703.0)	(145, 2459591.0)	(150, 25642111.0)
fastp | SRR35329984_2	(30, 1281.0)	(35, 2704.0)	(40, 8169.0)	(45, 16003.0)	(50, 43210.0)	(55, 67215.0)	(60, 137777.0)	(65, 205147.0)	(70, 319813.0)	(75, 569615.0)	(80, 704411.0)	(85, 1068193.0)	(90, 1399370.0)	(95, 1899744.0)	(100, 2258695.0)	(105, 2682682.0)	(110, 2893580.0)	(115, 3034858.0)	(120, 3073839.0)	(125, 2962185.0)	(130, 2906837.0)	(135, 2708852.0)	(140, 2701983.0)	(145, 2531839.0)	(150, 25420684.0)
fastp | SRR35329985_1	(30, 710.0)	(35, 1964.0)	(40, 6768.0)	(45, 59061.0)	(50, 38431.0)	(55, 56700.0)	(60, 143111.0)	(65, 194773.0)	(70, 269888.0)	(75, 424165.0)	(80, 600176.0)	(85, 927568.0)	(90, 1233603.0)	(95, 1698992.0)	(100, 2043874.0)	(105, 2454096.0)	(110, 2667153.0)	(115, 2814804.0)	(120, 2855581.0)	(125, 2772312.0)	(130, 2706105.0)	(135, 2529565.0)	(140, 2494705.0)	(145, 2336113.0)	(150, 24492494.0)
fastp | SRR35329985_2	(30, 1252.0)	(35, 2690.0)	(40, 7547.0)	(45, 14115.0)	(50, 35570.0)	(55, 56044.0)	(60, 112182.0)	(65, 169752.0)	(70, 266723.0)	(75, 540563.0)	(80, 602390.0)	(85, 929748.0)	(90, 1235939.0)	(95, 1701138.0)	(100, 2046364.0)	(105, 2457693.0)	(110, 2671960.0)	(115, 2821179.0)	(120, 2863967.0)	(125, 2783851.0)	(130, 2721508.0)	(135, 2550905.0)	(140, 2524769.0)	(145, 2386433.0)	(150, 24318430.0)
fastp | SRR35329986_1	(30, 665.0)	(35, 1806.0)	(40, 6419.0)	(45, 12817.0)	(50, 32871.0)	(55, 51284.0)	(60, 112795.0)	(65, 182627.0)	(70, 254485.0)	(75, 392148.0)	(80, 563176.0)	(85, 854819.0)	(90, 1160739.0)	(95, 1587353.0)	(100, 1947147.0)	(105, 2351576.0)	(110, 2598379.0)	(115, 2768733.0)	(120, 2834550.0)	(125, 2773649.0)	(130, 2714067.0)	(135, 2559681.0)	(140, 2521566.0)	(145, 2378745.0)	(150, 25407873.0)
fastp | SRR35329986_2	(30, 1278.0)	(35, 2567.0)	(40, 7378.0)	(45, 13632.0)	(50, 34078.0)	(55, 52507.0)	(60, 107858.0)	(65, 157597.0)	(70, 252924.0)	(75, 430037.0)	(80, 565356.0)	(85, 857170.0)	(90, 1163357.0)	(95, 1590026.0)	(100, 1950515.0)	(105, 2355537.0)	(110, 2603369.0)	(115, 2775288.0)	(120, 2843310.0)	(125, 2785748.0)	(130, 2730058.0)	(135, 2585347.0)	(140, 2561147.0)	(145, 2442389.0)	(150, 25201497.0)
fastp | SRR35329987_1	(30, 1095.0)	(35, 2815.0)	(40, 10313.0)	(45, 23901.0)	(50, 52281.0)	(55, 80508.0)	(60, 209632.0)	(65, 288716.0)	(70, 380540.0)	(75, 586323.0)	(80, 840398.0)	(85, 1281169.0)	(90, 1735906.0)	(95, 2372373.0)	(100, 2913819.0)	(105, 3497342.0)	(110, 3870522.0)	(115, 4107518.0)	(120, 4213000.0)	(125, 4112105.0)	(130, 4036929.0)	(135, 3801543.0)	(140, 3773565.0)	(145, 3569328.0)	(150, 38227113.0)
fastp | SRR35329987_2	(30, 2076.0)	(35, 3967.0)	(40, 11490.0)	(45, 21122.0)	(50, 53339.0)	(55, 81146.0)	(60, 162650.0)	(65, 239074.0)	(70, 375767.0)	(75, 702823.0)	(80, 843474.0)	(85, 1284456.0)	(90, 1739469.0)	(95, 2375829.0)	(100, 2918095.0)	(105, 3502834.0)	(110, 3877414.0)	(115, 4116136.0)	(120, 4224220.0)	(125, 4125900.0)	(130, 4053694.0)	(135, 3819966.0)	(140, 3780493.0)	(145, 3575889.0)	(150, 38097431.0)
fastp | SRR35329988_1	(30, 941.0)	(35, 2583.0)	(40, 9673.0)	(45, 28739.0)	(50, 46201.0)	(55, 68981.0)	(60, 162854.0)	(65, 214231.0)	(70, 316879.0)	(75, 485136.0)	(80, 686027.0)	(85, 1034651.0)	(90, 1378839.0)	(95, 1867412.0)	(100, 2249942.0)	(105, 2686522.0)	(110, 2919776.0)	(115, 3091038.0)	(120, 3126098.0)	(125, 3047634.0)	(130, 2957048.0)	(135, 2791130.0)	(140, 2734639.0)	(145, 2578378.0)	(150, 27072330.0)
