contrast_id	subset	abs_log2FoldChange
geno_in_contra	all tested genes	0.462436287621937
geno_in_contra	all tested genes	0.225437582810624
geno_in_contra	all tested genes	0.150765691317982
geno_in_contra	all tested genes	1.44130068437457
geno_in_contra	all tested genes	1.53724857631195
geno_in_contra	all tested genes	0.887291925944862
geno_in_contra	all tested genes	0.103257281624317
geno_in_contra	all tested genes	0.171676700653525
geno_in_contra	all tested genes	0.588694218501651
geno_in_contra	all tested genes	0.250916835784713
geno_in_contra	all tested genes	2.30803626788465
geno_in_contra	all tested genes	1.36057963612601
geno_in_contra	all tested genes	0.365396993856073
geno_in_contra	all tested genes	1.69716640963787
geno_in_contra	all tested genes	0.348915040121213
geno_in_contra	all tested genes	1.39707908417544
geno_in_contra	all tested genes	1.94334514476439
geno_in_contra	all tested genes	0.130097070551633
geno_in_contra	all tested genes	0.155487907735518
geno_in_contra	all tested genes	0.616253034778818
geno_in_contra	all tested genes	0.989003089335976
geno_in_contra	all tested genes	0.182439032610647
geno_in_contra	all tested genes	0.754155699245468
geno_in_contra	all tested genes	1.28704443731524
geno_in_contra	all tested genes	0.167536400631248
geno_in_contra	all tested genes	0.332639520015562
geno_in_contra	all tested genes	0.401916189089285
geno_in_contra	all tested genes	0.183818059831127
geno_in_contra	all tested genes	0.694682348119576
geno_in_contra	all tested genes	0.935861463883384
geno_in_contra	all tested genes	0.43805781240502
geno_in_contra	all tested genes	1.65898520360455
geno_in_contra	all tested genes	1.35621116382031
geno_in_contra	all tested genes	0.216331890286331
geno_in_contra	all tested genes	1.48965287028901
geno_in_contra	all tested genes	1.14408817380728
geno_in_contra	all tested genes	0.201055912923178
geno_in_contra	all tested genes	0.514199995528316
geno_in_contra	all tested genes	1.01420410686043
geno_in_contra	all tested genes	0.617598610694536
geno_in_contra	all tested genes	0.326671693360726
geno_in_contra	all tested genes	0.160993395344321
geno_in_contra	all tested genes	1.40329315889829
geno_in_contra	all tested genes	0.102275546255902
geno_in_contra	all tested genes	1.25092261183035
geno_in_contra	all tested genes	0.488058397331581
geno_in_contra	all tested genes	0.127447641865012
geno_in_contra	all tested genes	0.185234320892764
geno_in_contra	all tested genes	0.507185025364776
geno_in_contra	all tested genes	0.80749182605026
geno_in_contra	all tested genes	0.137049223125791
geno_in_contra	all tested genes	0.524718501432214
geno_in_contra	all tested genes	0.146629730460755
geno_in_contra	all tested genes	1.22888967122937
geno_in_contra	all tested genes	0.395856212292315
geno_in_contra	all tested genes	1.20618801480668
geno_in_contra	all tested genes	0.230217791786441
geno_in_contra	all tested genes	0.697183340744556
geno_in_contra	all tested genes	0.808554472189025
geno_in_contra	all tested genes	0.236707909376718
geno_in_contra	all tested genes	1.81804553850617
geno_in_contra	all tested genes	0.216942999360933
geno_in_contra	all tested genes	0.504221375571044
geno_in_contra	all tested genes	0.316468998842603
geno_in_contra	all tested genes	0.617356578147199
geno_in_contra	all tested genes	0.401841457989247
geno_in_contra	all tested genes	0.309977537119263
geno_in_contra	all tested genes	0.822891741939818
geno_in_contra	all tested genes	0.73995536434538
geno_in_contra	all tested genes	0.573059369263339
geno_in_contra	all tested genes	0.804497355478753
geno_in_contra	all tested genes	0.388355362199759
geno_in_contra	all tested genes	0.119029455632935
geno_in_contra	all tested genes	0.800247160777134
geno_in_contra	all tested genes	1.5147228751532
