read_id,srr,fastx_total_sequences,fastp_total_sequences,fastx_sequence_length,fastp_sequence_length,fastx_adapter_max,fastp_adapter_max,adapter_max_delta_fastp_minus_fastx,fastx_dominant_signal_label,fastp_dominant_signal_label,fastx_dominant_overrep_pct,fastp_dominant_overrep_pct,fastx_status_adapter_content,fastp_status_adapter_content,direction_adapter_content,fastx_status_overrepresented_sequences,fastp_status_overrepresented_sequences,direction_overrepresented_sequences,fastx_status_per_base_sequence_content,fastp_status_per_base_sequence_content,direction_per_base_sequence_content,fastx_status_sequence_length_distribution,fastp_status_sequence_length_distribution,direction_sequence_length_distribution,fastp_retained_pct,fastp_q20_rate_after,fastp_q30_rate_after
SRR30333751_2,SRR30333751,55234926,53509691,80-151,30-151,36.43200680670777,0.045440367054259384,-36.38656643965351,poly-G artifact,not detected,0.72809185984969,,fail,pass,improved,warn,pass,improved,warn,warn,unchanged,warn,warn,unchanged,96.87655053615894,0.98276,0.947467
SRR30333752_1,SRR30333752,59339030,57597689,118-151,30-151,31.85324903356189,0.002331690773218349,-31.850917342788673,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,97.06543736896272,0.981738,0.944191
SRR30333752_2,SRR30333752,59339030,57597689,80-151,30-151,31.86000175601118,0.043564247864180804,-31.816437508146997,poly-G artifact,not detected,0.697849290761915,,fail,pass,improved,warn,pass,improved,warn,warn,unchanged,warn,warn,unchanged,97.06543736896272,0.981738,0.944191
SRR30333753_1,SRR30333753,40311762,38889034,119-151,30-151,46.555429653509066,0.005523407961226293,-46.54990624554784,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,96.47068763702266,0.980178,0.940037
SRR30333753_2,SRR30333753,40311762,38889034,88-151,30-151,46.65650685276421,0.08262483454847451,-46.573882018215734,poly-G artifact,not detected,0.8194456992477778,,fail,pass,improved,warn,pass,improved,warn,warn,unchanged,warn,warn,unchanged,96.47068763702266,0.980178,0.940037
SRR30333754_1,SRR30333754,51091830,48831443,118-151,30-151,44.868886082177916,0.004796090093016502,-44.8640899920849,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,95.57583472739184,0.982486,0.94695
SRR30333754_2,SRR30333754,51091830,48831443,75-151,30-151,45.08971982408929,0.05889852568968728,-45.03082129839961,poly-G artifact,not detected,1.1192846292646006,,fail,pass,improved,fail,pass,improved,warn,warn,unchanged,warn,warn,unchanged,95.57583472739184,0.982486,0.94695
SRR30333755_1,SRR30333755,40136901,38601960,103-151,30-151,48.280817694420406,0.004893533903459825,-48.275924160516944,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,96.175736138672,0.978964,0.936514
SRR30333755_2,SRR30333755,40136901,38601960,86-151,30-151,48.60427066853019,0.09497445207445425,-48.50929621645574,poly-G artifact,not detected,0.8893536648482154,,fail,pass,improved,warn,pass,improved,warn,warn,unchanged,warn,warn,unchanged,96.175736138672,0.978964,0.936514
SRR30333756_1,SRR30333756,49776986,47678165,116-151,30-151,32.40337211256624,0.004400337135458128,-32.39897177543078,not detected,not detected,,,fail,pass,improved,pass,pass,unchanged,fail,fail,unchanged,warn,warn,unchanged,95.7835514589011,0.982283,0.946339
