Sample	cutadapt-percent_trimmed	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
cutadapt | SRR30333743	9.049822716636333															
cutadapt | SRR30333743_1											69.30046229835567	52.0	130.6180142738572	137	27.27272727272727	49.201417
cutadapt | SRR30333743_2											72.04412900332323	52.0	149.1569802755884	151	27.27272727272727	49.201417
cutadapt | SRR30333754	3.505038790477657															
cutadapt | SRR30333754_1											68.99367706907273	52.0	149.79056848708305	151	36.36363636363637	49.820744999999995
cutadapt | SRR30333754_2											70.25965919421101	53.0	149.17007571845824	151	27.27272727272727	49.820744999999995
cutadapt | SRR30333756	3.1561603123603987															
cutadapt | SRR30333756_1											70.12137285856042	52.0	150.0828456027698	151	36.36363636363637	48.607951
cutadapt | SRR30333756_2											71.34196728043764	52.0	149.56998701714457	151	27.27272727272727	48.607951
fastp | SRR30333743		19.9265	94.56219999999999	11936.599466	96.952822	53.0952	96.76737893036542	61.05801763616241	151.0	151.0						
fastp | SRR30333743_1											69.5689342815019	53.0	130.17562869908005	137	27.27272727272727	48.476411
fastp | SRR30333743_2											72.44569394080777	53.0	130.20675736493777	137	18.181818181818183	48.476411
fastp | SRR30333754		19.5001	94.695	12232.842039	97.662886	53.1303	95.57583472739184	57.256026061309605	151.0	151.0						
fastp | SRR30333754_1											68.69180452050853	53.0	132.25468354478076	142	27.27272727272727	48.831443
fastp | SRR30333754_2											71.09530064855163	53.0	132.27858601270498	142	18.181818181818183	48.831443
fastp | SRR30333756		24.563	94.63390000000001	12528.096185	95.35633	52.526399999999995	95.7835514589011	44.443828921260916	151.0	151.0						
fastp | SRR30333756_1											70.2362683430188	52.0	138.8282779549087	151	27.27272727272727	47.678165
fastp | SRR30333756_2											72.49081488744501	52.0	138.82246445516517	151	18.181818181818183	47.678165
fastx | SRR30333743_1											70.05642734984293	53.0	150.73182147196755	151	36.36363636363637	50.095819
fastx | SRR30333743_2											71.85276313350985	53.0	150.35239650438692	150	27.27272727272727	50.095819
fastx | SRR30333754_1											69.18401195150824	52.0	150.84106566548897	151	36.36363636363637	51.091829999999995
fastx | SRR30333754_2											69.93965619875785	54.0	150.3652256926401	150	36.36363636363637	51.091829999999995
fastx | SRR30333756_1											70.26084423829558	52.0	150.87261476618934	151	36.36363636363637	49.776986
fastx | SRR30333756_2											71.0313578643349	53.0	150.38495454505824	150	36.36363636363637	49.776986
raw | SRR30333743_1											70.05642734984293	53.0	151.0	151	36.36363636363637	50.095819
raw | SRR30333743_2											71.85276313350985	53.0	151.0	151	27.27272727272727	50.095819
raw | SRR30333754_1											69.18401195150824	52.0	151.0	151	36.36363636363637	51.091829999999995
raw | SRR30333754_2											69.93965679099377	54.0	151.0	151	36.36363636363637	51.091829999999995
raw | SRR30333756_1											70.26084423829558	52.0	151.0	151	36.36363636363637	49.776986
raw | SRR30333756_2											71.0313578643349	53.0	151.0	151	36.36363636363637	49.776986
