Sample	Unique Reads	Duplicate Reads
cutadapt | SRR30333743_1	15104608.0	34096809.0
cutadapt | SRR30333743_2	13754685.0	35446732.0
cutadapt | SRR30333754_1	15447582.0	34373163.0
cutadapt | SRR30333754_2	14816860.0	35003885.0
cutadapt | SRR30333756_1	14523389.0	34084562.0
cutadapt | SRR30333756_2	13930083.0	34677868.0
fastp | SRR30333743_1	14751889.0	33724522.0
fastp | SRR30333743_2	13357339.0	35119072.0
fastp | SRR30333754_1	15288244.0	33543199.0
fastp | SRR30333754_2	14114582.0	34716861.0
fastp | SRR30333756_1	14190802.0	33487363.0
fastp | SRR30333756_2	13115875.0	34562290.0
fastx | SRR30333743_1	15000478.0	35095341.0
fastx | SRR30333743_2	14100589.0	35995230.0
fastx | SRR30333754_1	15744453.0	35347377.0
fastx | SRR30333754_2	15358380.0	35733450.0
fastx | SRR30333756_1	14803256.0	34973730.0
fastx | SRR30333756_2	14419717.0	35357269.0
raw | SRR30333743_1	15000478.0	35095341.0
raw | SRR30333743_2	14100589.0	35995230.0
raw | SRR30333754_1	15744453.0	35347377.0
raw | SRR30333754_2	15358380.0	35733450.0
raw | SRR30333756_1	14803256.0	34973730.0
raw | SRR30333756_2	14419717.0	35357269.0
