Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
fastp | SRR30333756_1	(1.0, 15.588817442735358)	(2.0, 10.647713797737081)	(3.0, 8.925789793482078)	(4.0, 6.785623006599082)	(5.0, 4.981483318503521)	(6.0, 3.8363572546958618)	(7.0, 3.0929204274239184)	(8.0, 2.633713643110903)	(9.0, 2.323352983458592)	('>10', 24.835415706246973)	('>50', 5.988825847312184)	('>100', 7.966016482170393)	('>500', 1.4548750194081033)	('>1k', 0.939095277115722)	('>5k', 0.0)	('>10k+', 0.0)
fastp | SRR30333756_2	(1.0, 13.980044055562981)	(2.0, 9.183938114411236)	(3.0, 8.396216243142183)	(4.0, 6.537597234716941)	(5.0, 5.139470411187137)	(6.0, 4.301389230546781)	(7.0, 3.4739586096183968)	(8.0, 2.944224343707378)	(9.0, 2.510698557542113)	('>10', 26.347742904147626)	('>50', 6.363583539789978)	('>100', 8.2428235810238)	('>500', 1.495270222409766)	('>1k', 0.9457702221017984)	('>5k', 0.029033920439848714)	('>10k+', 0.10823880965196268)
fastx | SRR30333743_1	(1.0, 16.49883656427924)	(2.0, 10.276242083394884)	(3.0, 8.317944380540867)	(4.0, 6.105873495375794)	(5.0, 4.665613389072985)	(6.0, 3.593230108066788)	(7.0, 2.952257109515496)	(8.0, 2.4703277406088597)	(9.0, 2.1825602300857416)	('>10', 24.69943887759482)	('>50', 6.454554308142642)	('>100', 8.738069683052744)	('>500', 1.7036228479527384)	('>1k', 1.1949828551709405)	('>5k', 0.01409807123012218)	('>10k+', 0.13234825591516067)
fastx | SRR30333743_2	(1.0, 15.23889273673556)	(2.0, 9.114088900592433)	(3.0, 7.778176457853438)	(4.0, 6.080137995689984)	(5.0, 4.888068173666221)	(6.0, 3.8663500709737355)	(7.0, 3.2009712429138104)	(8.0, 2.611284560865834)	(9.0, 2.298615154293928)	('>10', 25.850335115716085)	('>50', 6.372494402936578)	('>100', 8.899683533823442)	('>500', 1.695577625482285)	('>1k', 1.1102267298155666)	('>5k', 0.022260179555018463)	('>10k+', 0.9728371190861149)
fastx | SRR30333754_1	(1.0, 17.1849754996968)	(2.0, 10.89434516826569)	(3.0, 8.241242312650659)	(4.0, 5.9721627927396375)	(5.0, 4.501265481983769)	(6.0, 3.6243344208030583)	(7.0, 2.870696312815138)	(8.0, 2.513361787148982)	(9.0, 2.077176517314116)	('>10', 24.358835132212615)	('>50', 6.42457666834587)	('>100', 8.527214052432901)	('>500', 1.6241122817768703)	('>1k', 1.0781523062917828)	('>5k', 0.0)	('>10k+', 0.10754926552209944)
fastx | SRR30333754_2	(1.0, 17.14023973507422)	(2.0, 9.34647355226163)	(3.0, 7.710691549377864)	(4.0, 6.129403928903504)	(5.0, 4.7424967836042375)	(6.0, 3.791285123116248)	(7.0, 3.0685635468513905)	(8.0, 2.7180541838120567)	(9.0, 2.3601312714155718)	('>10', 24.870538250505764)	('>50', 6.131290393322109)	('>100', 8.23549468612441)	('>500', 1.566104482699)	('>1k', 0.858094040534429)	('>5k', 0.03956666080737161)	('>10k+', 1.29157181159025)
fastx | SRR30333756_1	(1.0, 15.808769333641038)	(2.0, 10.378938180469472)	(3.0, 8.744998517617681)	(4.0, 6.668293020821489)	(5.0, 4.908589569032771)	(6.0, 3.8271740694943808)	(7.0, 3.1021929270817035)	(8.0, 2.657552691249127)	(9.0, 2.2293642656621615)	('>10', 24.85961320530553)	('>50', 6.0955389676587)	('>100', 8.16540973978527)	('>500', 1.5405743114198946)	('>1k', 1.0129912007608437)	('>5k', 0.0)	('>10k+', 0.0)
fastx | SRR30333756_2	(1.0, 15.994068565724904)	(2.0, 8.790790395481789)	(3.0, 8.027400555831347)	(4.0, 6.263803872172975)	(5.0, 4.94588419916178)	(6.0, 4.142613264137824)	(7.0, 3.3471441656750915)	(8.0, 2.8311848788069027)	(9.0, 2.4209999171421006)	('>10', 25.37127157147166)	('>50', 6.1349713375701045)	('>100', 8.007564231490113)	('>500', 1.4839844209086004)	('>1k', 0.9438255770595098)	('>5k', 0.01275816212684752)	('>10k+', 1.2817348852383752)
raw | SRR30333743_1	(1.0, 16.49883656427924)	(2.0, 10.276242083394884)	(3.0, 8.317944380540867)	(4.0, 6.105873495375794)	(5.0, 4.665613389072985)	(6.0, 3.593230108066788)	(7.0, 2.952257109515496)	(8.0, 2.4703277406088597)	(9.0, 2.1825602300857416)	('>10', 24.69943887759482)	('>50', 6.454554308142642)	('>100', 8.738069683052744)	('>500', 1.7036228479527384)	('>1k', 1.1949828551709405)	('>5k', 0.01409807123012218)	('>10k+', 0.13234825591516067)
raw | SRR30333743_2	(1.0, 15.23889273673556)	(2.0, 9.114088900592433)	(3.0, 7.778176457853438)	(4.0, 6.080137995689984)	(5.0, 4.888068173666221)	(6.0, 3.8663500709737355)	(7.0, 3.2009712429138104)	(8.0, 2.611284560865834)	(9.0, 2.298615154293928)	('>10', 25.850335115716085)	('>50', 6.372494402936578)	('>100', 8.899683533823442)	('>500', 1.695577625482285)	('>1k', 1.1102267298155666)	('>5k', 0.022260179555018463)	('>10k+', 0.9728371190861149)
raw | SRR30333754_1	(1.0, 17.1849754996968)	(2.0, 10.89434516826569)	(3.0, 8.241242312650659)	(4.0, 5.9721627927396375)	(5.0, 4.501265481983769)	(6.0, 3.6243344208030583)	(7.0, 2.870696312815138)	(8.0, 2.513361787148982)	(9.0, 2.077176517314116)	('>10', 24.358835132212615)	('>50', 6.42457666834587)	('>100', 8.527214052432901)	('>500', 1.6241122817768703)	('>1k', 1.0781523062917828)	('>5k', 0.0)	('>10k+', 0.10754926552209944)
raw | SRR30333754_2	(1.0, 17.140239397384615)	(2.0, 9.34647336812144)	(3.0, 7.710691397465147)	(4.0, 6.129403808144632)	(5.0, 4.742496690169613)	(6.0, 3.791285048421985)	(7.0, 3.0685634863958757)	(8.0, 2.718054130262126)	(9.0, 2.3601312249172843)	('>10', 24.87053776051715)	('>50', 6.131290272526072)	('>100', 8.235494523872248)	('>500', 1.566104451844285)	('>1k', 0.8580940236286305)	('>5k', 0.039566660027846326)	('>10k+', 1.2915737563011098)
raw | SRR30333756_1	(1.0, 15.808769333641038)	(2.0, 10.378938180469472)	(3.0, 8.744998517617681)	(4.0, 6.668293020821489)	(5.0, 4.908589569032771)	(6.0, 3.8271740694943808)	(7.0, 3.1021929270817035)	(8.0, 2.657552691249127)	(9.0, 2.2293642656621615)	('>10', 24.85961320530553)	('>50', 6.0955389676587)	('>100', 8.16540973978527)	('>500', 1.5405743114198946)	('>1k', 1.0129912007608437)	('>5k', 0.0)	('>10k+', 0.0)
raw | SRR30333756_2	(1.0, 15.994068565724904)	(2.0, 8.790790395481789)	(3.0, 8.027400555831347)	(4.0, 6.263803872172975)	(5.0, 4.94588419916178)	(6.0, 4.142613264137824)	(7.0, 3.3471441656750915)	(8.0, 2.8311848788069027)	(9.0, 2.4209999171421006)	('>10', 25.37127157147166)	('>50', 6.1349713375701045)	('>100', 8.007564231490113)	('>500', 1.4839844209086004)	('>1k', 0.9438255770595098)	('>5k', 0.01275816212684752)	('>10k+', 1.2817348852383752)
