Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
fastp | SRR30333756_1	(19.0, 1.0)	(20.0, 857.0)	(21.0, 17033.0)	(22.0, 39209.0)	(23.0, 51860.0)	(24.0, 64879.0)	(25.0, 77146.0)	(26.0, 91611.0)	(27.0, 106734.0)	(28.0, 128040.0)	(29.0, 150382.0)	(30.0, 182771.0)	(31.0, 218754.0)	(32.0, 279034.0)	(33.0, 355487.0)	(34.0, 486711.0)	(35.0, 710321.0)	(36.0, 1208117.0)	(37.0, 2061518.0)	(38.0, 4895999.0)	(39.0, 27866446.0)	(40.0, 8685255.0)						
fastp | SRR30333756_2	(19.0, 14.0)	(20.0, 7260.0)	(21.0, 68834.0)	(22.0, 96929.0)	(23.0, 95696.0)	(24.0, 105592.0)	(25.0, 113309.0)	(26.0, 122860.0)	(27.0, 129339.0)	(28.0, 146204.0)	(29.0, 163349.0)	(30.0, 189356.0)	(31.0, 216228.0)	(32.0, 266384.0)	(33.0, 330655.0)	(34.0, 440222.0)	(35.0, 626596.0)	(36.0, 1052745.0)	(37.0, 1843070.0)	(38.0, 4573297.0)	(39.0, 27814456.0)	(40.0, 9275770.0)						
fastx | SRR30333743_1	(15.0, 2.0)	(16.0, 15.0)	(17.0, 432.0)	(18.0, 4961.0)	(19.0, 21770.0)	(20.0, 54548.0)	(21.0, 81525.0)	(22.0, 93276.0)	(23.0, 99705.0)	(24.0, 111959.0)	(25.0, 122661.0)	(26.0, 138272.0)	(27.0, 155906.0)	(28.0, 182843.0)	(29.0, 212552.0)	(30.0, 258690.0)	(31.0, 321750.0)	(32.0, 456172.0)	(33.0, 653321.0)	(34.0, 919400.0)	(35.0, 1242072.0)	(36.0, 1855266.0)	(37.0, 2916983.0)	(38.0, 6775056.0)	(39.0, 27999855.0)	(40.0, 5416827.0)		
fastx | SRR30333743_2	(13.0, 1.0)	(14.0, 6.0)	(15.0, 1296.0)	(16.0, 33293.0)	(17.0, 178826.0)	(18.0, 299481.0)	(19.0, 248354.0)	(20.0, 198087.0)	(21.0, 153767.0)	(22.0, 127155.0)	(23.0, 117450.0)	(24.0, 123585.0)	(25.0, 130632.0)	(26.0, 144820.0)	(27.0, 162630.0)	(28.0, 194332.0)	(29.0, 234753.0)	(30.0, 297592.0)	(31.0, 378752.0)	(32.0, 519621.0)	(33.0, 708813.0)	(34.0, 988767.0)	(35.0, 1380788.0)	(36.0, 2202485.0)	(37.0, 3879128.0)	(38.0, 8403037.0)	(39.0, 24591674.0)	(40.0, 4396694.0)
fastx | SRR30333754_1	(16.0, 10.0)	(17.0, 407.0)	(18.0, 4399.0)	(19.0, 19974.0)	(20.0, 51809.0)	(21.0, 80731.0)	(22.0, 91657.0)	(23.0, 98593.0)	(24.0, 110412.0)	(25.0, 120534.0)	(26.0, 136524.0)	(27.0, 152239.0)	(28.0, 178987.0)	(29.0, 207504.0)	(30.0, 248760.0)	(31.0, 298357.0)	(32.0, 391696.0)	(33.0, 530478.0)	(34.0, 771833.0)	(35.0, 1118141.0)	(36.0, 1759460.0)	(37.0, 2869422.0)	(38.0, 6280942.0)	(39.0, 28221683.0)	(40.0, 7347278.0)			
fastx | SRR30333754_2	(14.0, 20.0)	(15.0, 1935.0)	(16.0, 52963.0)	(17.0, 285479.0)	(18.0, 465213.0)	(19.0, 359425.0)	(20.0, 261317.0)	(21.0, 190072.0)	(22.0, 147521.0)	(23.0, 131238.0)	(24.0, 133616.0)	(25.0, 138618.0)	(26.0, 151182.0)	(27.0, 165319.0)	(28.0, 194501.0)	(29.0, 225672.0)	(30.0, 278004.0)	(31.0, 341623.0)	(32.0, 454497.0)	(33.0, 602857.0)	(34.0, 833964.0)	(35.0, 1166166.0)	(36.0, 1883924.0)	(37.0, 3356439.0)	(38.0, 7776348.0)	(39.0, 26098461.0)	(40.0, 5395456.0)	
fastx | SRR30333756_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 300.0)	(18.0, 3687.0)	(19.0, 15789.0)	(20.0, 41619.0)	(21.0, 67117.0)	(22.0, 77472.0)	(23.0, 82992.0)	(24.0, 93894.0)	(25.0, 103266.0)	(26.0, 117736.0)	(27.0, 132898.0)	(28.0, 155994.0)	(29.0, 179039.0)	(30.0, 214950.0)	(31.0, 256301.0)	(32.0, 334087.0)	(33.0, 444248.0)	(34.0, 617374.0)	(35.0, 870868.0)	(36.0, 1469139.0)	(37.0, 2498704.0)	(38.0, 5508920.0)	(39.0, 28911587.0)	(40.0, 7578999.0)	
fastx | SRR30333756_2	(14.0, 16.0)	(15.0, 1510.0)	(16.0, 44184.0)	(17.0, 253361.0)	(18.0, 429298.0)	(19.0, 336600.0)	(20.0, 249721.0)	(21.0, 187275.0)	(22.0, 146565.0)	(23.0, 129486.0)	(24.0, 132004.0)	(25.0, 134826.0)	(26.0, 145051.0)	(27.0, 155806.0)	(28.0, 179566.0)	(29.0, 206616.0)	(30.0, 248104.0)	(31.0, 298745.0)	(32.0, 390651.0)	(33.0, 514623.0)	(34.0, 716772.0)	(35.0, 1016432.0)	(36.0, 1668382.0)	(37.0, 2978297.0)	(38.0, 7008125.0)	(39.0, 26713292.0)	(40.0, 5491678.0)	
raw | SRR30333743_1	(15.0, 2.0)	(16.0, 20.0)	(17.0, 534.0)	(18.0, 5874.0)	(19.0, 23758.0)	(20.0, 56884.0)	(21.0, 83632.0)	(22.0, 94493.0)	(23.0, 100271.0)	(24.0, 113121.0)	(25.0, 124840.0)	(26.0, 140907.0)	(27.0, 157401.0)	(28.0, 185481.0)	(29.0, 217290.0)	(30.0, 263933.0)	(31.0, 327565.0)	(32.0, 466950.0)	(33.0, 676784.0)	(34.0, 953641.0)	(35.0, 1343834.0)	(36.0, 2032764.0)	(37.0, 3183848.0)	(38.0, 6561243.0)	(39.0, 27633739.0)	(40.0, 5347010.0)		
raw | SRR30333743_2	(13.0, 1.0)	(14.0, 13.0)	(15.0, 1685.0)	(16.0, 39279.0)	(17.0, 195344.0)	(18.0, 302257.0)	(19.0, 240952.0)	(20.0, 193929.0)	(21.0, 152369.0)	(22.0, 126491.0)	(23.0, 117349.0)	(24.0, 124586.0)	(25.0, 133014.0)	(26.0, 147672.0)	(27.0, 164888.0)	(28.0, 198387.0)	(29.0, 242937.0)	(30.0, 307198.0)	(31.0, 390751.0)	(32.0, 539721.0)	(33.0, 743026.0)	(34.0, 1032732.0)	(35.0, 1428127.0)	(36.0, 2269290.0)	(37.0, 3971547.0)	(38.0, 8479817.0)	(39.0, 24295762.0)	(40.0, 4256695.0)
raw | SRR30333754_1	(16.0, 11.0)	(17.0, 493.0)	(18.0, 5191.0)	(19.0, 21750.0)	(20.0, 54240.0)	(21.0, 82508.0)	(22.0, 92736.0)	(23.0, 99052.0)	(24.0, 111262.0)	(25.0, 122982.0)	(26.0, 138212.0)	(27.0, 153632.0)	(28.0, 180797.0)	(29.0, 211275.0)	(30.0, 252517.0)	(31.0, 302061.0)	(32.0, 397659.0)	(33.0, 544130.0)	(34.0, 791284.0)	(35.0, 1166560.0)	(36.0, 1825435.0)	(37.0, 2940550.0)	(38.0, 6317940.0)	(39.0, 28020134.0)	(40.0, 7259419.0)			
raw | SRR30333754_2	(14.0, 29.0)	(15.0, 2521.0)	(16.0, 62618.0)	(17.0, 312414.0)	(18.0, 467484.0)	(19.0, 345694.0)	(20.0, 253635.0)	(21.0, 186897.0)	(22.0, 145709.0)	(23.0, 130690.0)	(24.0, 133961.0)	(25.0, 141041.0)	(26.0, 153068.0)	(27.0, 167168.0)	(28.0, 197258.0)	(29.0, 232300.0)	(30.0, 285360.0)	(31.0, 350299.0)	(32.0, 468081.0)	(33.0, 626901.0)	(34.0, 864172.0)	(35.0, 1199780.0)	(36.0, 1929433.0)	(37.0, 3429592.0)	(38.0, 7902766.0)	(39.0, 25864872.0)	(40.0, 5238087.0)	
raw | SRR30333756_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 10.0)	(17.0, 388.0)	(18.0, 4263.0)	(19.0, 17070.0)	(20.0, 43367.0)	(21.0, 68762.0)	(22.0, 78268.0)	(23.0, 83490.0)	(24.0, 94419.0)	(25.0, 105056.0)	(26.0, 119371.0)	(27.0, 133905.0)	(28.0, 157029.0)	(29.0, 181852.0)	(30.0, 217535.0)	(31.0, 258717.0)	(32.0, 338219.0)	(33.0, 453548.0)	(34.0, 631503.0)	(35.0, 914715.0)	(36.0, 1505090.0)	(37.0, 2553399.0)	(38.0, 5607660.0)	(39.0, 28697532.0)	(40.0, 7511817.0)	
raw | SRR30333756_2	(14.0, 22.0)	(15.0, 1980.0)	(16.0, 52361.0)	(17.0, 278009.0)	(18.0, 431866.0)	(19.0, 324031.0)	(20.0, 243089.0)	(21.0, 184529.0)	(22.0, 144910.0)	(23.0, 129049.0)	(24.0, 132182.0)	(25.0, 136695.0)	(26.0, 146388.0)	(27.0, 156934.0)	(28.0, 181773.0)	(29.0, 211034.0)	(30.0, 253651.0)	(31.0, 305223.0)	(32.0, 400647.0)	(33.0, 534011.0)	(34.0, 740794.0)	(35.0, 1044393.0)	(36.0, 1702319.0)	(37.0, 3044892.0)	(38.0, 7110330.0)	(39.0, 26521737.0)	(40.0, 5364137.0)	
