Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
fastp | SRR30333756_1	(1, 0.0010906460011621672)	(2, 0.09867829435130317)	(3, 0.38362843872032404)	(4, 0.11979487885072759)	(5, 0.002170805021543929)	(6, 0.00125004810902433)	(7, 0.1082340312384086)	(8, 0.05498953242013404)	(9, 0.0)	(10, 0.15958961507851654)	(15, 0.0)	(20, 0.07404102066428102)	(25, 0.011832250674915865)	(30, 0.012555511976515828)	(35, 0.12877884326204816)	(40, 0.1464924454912638)	(45, 0.006653983486088404)	(50, 0.025323897333868854)	(55, 0.05730334625109969)	(60, 0.044312180243948444)	(65, 0.035590639892745336)	(70, 0.04044218561094719)	(75, 0.02688916219461447)	(80, 0.007492122979493812)	(85, 0.03199671232169354)	(90, 0.031154619791427123)	(95, 0.05882480499825076)	(100, 0.14207395592491937)	(105, 0.013428129511844519)	(110, 0.03037772538483017)	(115, 0.058178533909814076)	(120, 0.11988873954055937)	(125, 0.01866174787455466)	(130, 0.09549844138487512)	(135, 0.10665241270441242)	(140, 0.04688362189016707)	(145, 0.0007094124100661778)	(150, 0.0007261294246115585)
fastp | SRR30333756_2	(1, 0.05441274847721173)	(2, 0.04171301475214073)	(3, 0.00019296044635946035)	(4, 0.0007236016738479763)	(5, 0.06273941121685367)	(6, 0.0)	(7, 0.09519242193989638)	(8, 0.11374389094043363)	(9, 2.097396156081091e-05)	(10, 0.10555523686786183)	(15, 0.04361367514878142)	(20, 0.10931502921725281)	(25, 0.03205702232877461)	(30, 0.03572395583114297)	(35, 0.028757226536822316)	(40, 0.04816634883339785)	(45, 0.049731017682214204)	(50, 0.16695414803752862)	(55, 0.03169336236679352)	(60, 0.01717764831335806)	(65, 0.016467329087943874)	(70, 0.01547375648419501)	(75, 0.07685994408737964)	(80, 0.10571941672935264)	(85, 0.07393141156506937)	(90, 0.011975489231079337)	(95, 0.006190244153596931)	(100, 0.09507919817470051)	(105, 0.011700081727244233)	(110, 0.03767722448688927)	(115, 0.017769938009773178)	(120, 0.03992155401818695)	(125, 0.012820299379509358)	(130, 0.09561454083081121)	(135, 0.05422250249298271)	(140, 0.09063768864593123)	(145, 0.06537869191148078)	(150, 9.723279358761394e-06)
fastx | SRR30333743_1	(1, 0.002868502858492043)	(2, 0.07025536402548883)	(3, 0.26795250118577757)	(4, 0.08759613252355451)	(5, 0.0036490071157435316)	(6, 0.001982201348978844)	(7, 0.07720404770705516)	(8, 0.03886951124603832)	(9, 0.0)	(10, 0.11257905574914345)	(15, 3.2338028049805914e-05)	(20, 0.052633534147829786)	(25, 0.008281329825149678)	(30, 0.01001201317818559)	(35, 0.09478276021398113)	(40, 0.10576251882417573)	(45, 0.006616120998041773)	(50, 0.020752230839863103)	(55, 0.04269697636842707)	(60, 0.033466665152235564)	(65, 0.027857015372879722)	(70, 0.031021351302790358)	(75, 0.02074744002089276)	(80, 0.00668359169854075)	(85, 0.023892612674922035)	(90, 0.023258627631180157)	(95, 0.04296286682128103)	(100, 0.10927219295486516)	(105, 0.012573504387661572)	(110, 0.02493980585485587)	(115, 0.04358048340752941)	(120, 0.08715737857229433)	(125, 0.013776014358866004)	(130, 0.06925530969018984)	(135, 0.07710635140969338)	(140, 0.03266041539914279)	(145, 0.002185594052777421)	(150, 0.0022992383604667523)
fastx | SRR30333743_2	(1, 0.07352509797274698)	(2, 0.0448280923404007)	(3, 0.0001816518859587863)	(4, 0.0022217422974959247)	(5, 0.04647493636145564)	(6, 8.98278556939053e-05)	(7, 0.06904168988633563)	(8, 0.08147785746351408)	(9, 5.788906255829454e-05)	(10, 0.07630097833114577)	(15, 0.04058741908181998)	(20, 0.07837660065004627)	(25, 0.02336682029292704)	(30, 0.025992987558502635)	(35, 0.021788644677113674)	(40, 0.035221302600123176)	(45, 0.03637349456249034)	(50, 0.120281095713796)	(55, 0.022176701013711345)	(60, 0.012682096284322649)	(65, 0.0123990387301583)	(70, 0.017049327010703226)	(75, 0.05645660768616239)	(80, 0.07637164413056736)	(85, 0.053184880324657215)	(90, 0.009043072857476122)	(95, 0.004284591664980065)	(100, 0.06939869040408571)	(105, 0.008518492708668089)	(110, 0.027066199732568616)	(115, 0.013582421771153309)	(120, 0.02881776026803783)	(125, 0.009867619709346298)	(130, 0.06848181477579705)	(135, 0.03893286061607065)	(140, 0.06521892835329798)	(145, 0.0449097956853598)	(150, 0.00021490592470524352)
fastx | SRR30333754_1	(1, 0.0020120633768647552)	(2, 0.09232004412447156)	(3, 0.35005988237258284)	(4, 0.11289476223497964)	(5, 0.00280671097512068)	(6, 0.001624525878207925)	(7, 0.10098679182170614)	(8, 0.050567771794433676)	(9, 0.0)	(10, 0.14565851330829216)	(15, 3.444777765838491e-05)	(20, 0.06936882080755377)	(25, 0.010871405467371203)	(30, 0.012696354779227911)	(35, 0.12214790505644445)	(40, 0.135487806954654)	(45, 0.008262769213786235)	(50, 0.025969709834233773)	(55, 0.05477862116115238)	(60, 0.0425899796503668)	(65, 0.036597632145883206)	(70, 0.04103278351940026)	(75, 0.02768661838888918)	(80, 0.008668313505309949)	(85, 0.030068995375581574)	(90, 0.029660710919925944)	(95, 0.05474456483551284)	(100, 0.13919564047715652)	(105, 0.016143481257179473)	(110, 0.03076147399691888)	(115, 0.05469915682956869)	(120, 0.1104728602704864)	(125, 0.017873707786415394)	(130, 0.08832084575437178)	(135, 0.09857703401376842)	(140, 0.04142206285702784)	(145, 0.001600833132805743)	(150, 0.001468357562904083)
fastx | SRR30333754_2	(1, 0.0651963337386819)	(2, 0.04501698216720755)	(3, 0.00027205915309747177)	(4, 0.0017478332641441888)	(5, 0.0583870258708682)	(6, 0.00012135012584203775)	(7, 0.08813737930310972)	(8, 0.10482693612657837)	(9, 4.697424226143397e-05)	(10, 0.0973971768088949)	(15, 0.043695831603604726)	(20, 0.10178183087198091)	(25, 0.029744481651958834)	(30, 0.03330004033913054)	(35, 0.028792861794145953)	(40, 0.04489641494540321)	(45, 0.046333043854565395)	(50, 0.1539177594539088)	(55, 0.028565036719178)	(60, 0.01602369693941282)	(65, 0.01647856418531104)	(70, 0.016358388415525536)	(75, 0.07329939167650706)	(80, 0.09841769530408898)	(85, 0.0679384612474621)	(90, 0.01141396127182422)	(95, 0.005540223350504973)	(100, 0.08867298250918834)	(105, 0.010989249603046484)	(110, 0.034281483418564164)	(115, 0.017554726738277397)	(120, 0.0366757695641485)	(125, 0.012292937133544481)	(130, 0.08738727593957606)	(135, 0.050340055925852424)	(140, 0.08389298394721438)	(145, 0.05767243693811698)	(150, 0.00016817826161862797)
fastx | SRR30333756_1	(1, 0.00146654118431357)	(2, 0.10024913923072803)	(3, 0.3814734785268035)	(4, 0.12032468177161229)	(5, 0.0023444569343752555)	(6, 0.0012676540921943325)	(7, 0.10787314442863213)	(8, 0.054716048898581365)	(9, 0.0)	(10, 0.1587167210164151)	(15, 2.20985657910264e-05)	(20, 0.07369791332886247)	(25, 0.012157023729801559)	(30, 0.013598653803587062)	(35, 0.13145552846449965)	(40, 0.14784623560775656)	(45, 0.008928222371679957)	(50, 0.027872318344063656)	(55, 0.059491348069969516)	(60, 0.04663761682959269)	(65, 0.03786328083423934)	(70, 0.04227134202139117)	(75, 0.028171653462505743)	(80, 0.00909697505590234)	(85, 0.03286177270757213)	(90, 0.03195211538119243)	(95, 0.0592639337383746)	(100, 0.15035823985003832)	(105, 0.017324471995954115)	(110, 0.032749270918090545)	(115, 0.059414606494028466)	(120, 0.1212817578759243)	(125, 0.019159061445939478)	(130, 0.0959366705070639)	(135, 0.10692090843427203)	(140, 0.045542542678863915)	(145, 0.0013402524103226703)	(150, 0.0011846523648701881)
fastx | SRR30333756_2	(1, 0.058617450240960746)	(2, 0.04367480184517399)	(3, 0.0002290215000160918)	(4, 0.0015368548027395632)	(5, 0.0626233175307159)	(6, 7.232257895245003e-05)	(7, 0.09514637949352739)	(8, 0.11354443999482011)	(9, 2.8125447370397234e-05)	(10, 0.1054117659916171)	(15, 0.04412280004257389)	(20, 0.10913195909451007)	(25, 0.0321309128680471)	(30, 0.03586677586304643)	(35, 0.02897403229677265)	(40, 0.04842157377708646)	(45, 0.05014968162194473)	(50, 0.1670780147275289)	(55, 0.031772916102232464)	(60, 0.017196702106471454)	(65, 0.016924688851189182)	(70, 0.015667079561627134)	(75, 0.07700707310804233)	(80, 0.10579628103638095)	(85, 0.07382930231369583)	(90, 0.012262697270667923)	(95, 0.006295280198047876)	(100, 0.09546585484903743)	(105, 0.011685331864529882)	(110, 0.037502926959225684)	(115, 0.018422613491873373)	(120, 0.03947222453588495)	(125, 0.013142348980984191)	(130, 0.0945451545809179)	(135, 0.05409454892288108)	(140, 0.09022468193184909)	(145, 0.06355340875241168)	(150, 0.00014316988251919963)
raw | SRR30333743_1	(1, 0.002868502858492043)	(2, 0.07025536402548883)	(3, 0.26795250118577757)	(4, 0.08759613252355451)	(5, 0.0036490071157435316)	(6, 0.001982201348978844)	(7, 0.07720404770705516)	(8, 0.03886951124603832)	(9, 0.0)	(10, 0.11257905574914345)	(15, 3.2338028049805914e-05)	(20, 0.052633534147829786)	(25, 0.008281329825149678)	(30, 0.01001201317818559)	(35, 0.09478276021398113)	(40, 0.10576251882417573)	(45, 0.006616120998041773)	(50, 0.020752230839863103)	(55, 0.04269697636842707)	(60, 0.033466665152235564)	(65, 0.027857015372879722)	(70, 0.031021351302790358)	(75, 0.02074744002089276)	(80, 0.00668359169854075)	(85, 0.023892612674922035)	(90, 0.023258627631180157)	(95, 0.04296286682128103)	(100, 0.10927219295486516)	(105, 0.012573504387661572)	(110, 0.02493980585485587)	(115, 0.043580483233540905)	(120, 0.08715737335285406)	(125, 0.013776399184131514)	(130, 0.069257276740001)	(135, 0.0771349800668994)	(140, 0.03263585729579548)	(145, 0.0021997843772151924)	(150, 0.013265578111418838)
raw | SRR30333743_2	(1, 0.07352509797274698)	(2, 0.0448280923404007)	(3, 0.0001816518859587863)	(4, 0.0022217422974959247)	(5, 0.04647493636145564)	(6, 8.98278556939053e-05)	(7, 0.06904168988633563)	(8, 0.08147785746351408)	(9, 5.788906255829454e-05)	(10, 0.07630097833114577)	(15, 0.04058741908181998)	(20, 0.07837660065004627)	(25, 0.02336682029292704)	(30, 0.025992987558502635)	(35, 0.021788644677113674)	(40, 0.035221302600123176)	(45, 0.03637349456249034)	(50, 0.120281095713796)	(55, 0.022176701013711345)	(60, 0.012682096284322649)	(65, 0.0123990387301583)	(70, 0.017049327010703226)	(75, 0.05645660768616239)	(80, 0.0763716429109583)	(85, 0.053184877564333266)	(90, 0.009043070041433997)	(95, 0.004284589099142186)	(100, 0.06939860589962607)	(105, 0.008518475364181589)	(110, 0.02706613100785916)	(115, 0.013582371015832678)	(120, 0.028817574576433212)	(125, 0.009867490139246949)	(130, 0.06848196253663405)	(135, 0.03893378806722374)	(140, 0.06519825536737905)	(145, 0.04477180021749919)	(150, 0.0685765812112983)
raw | SRR30333754_1	(1, 0.0020120633768647552)	(2, 0.09232004412447156)	(3, 0.35005988237258284)	(4, 0.11289476223497964)	(5, 0.00280671097512068)	(6, 0.001624525878207925)	(7, 0.10098679182170614)	(8, 0.050567771794433676)	(9, 0.0)	(10, 0.14565851330829216)	(15, 3.444777765838491e-05)	(20, 0.06936882080755377)	(25, 0.010871405467371203)	(30, 0.012696354779227911)	(35, 0.12214790505644445)	(40, 0.135487806954654)	(45, 0.008262769213786235)	(50, 0.025969709834233773)	(55, 0.05477862116115238)	(60, 0.0425899796503668)	(65, 0.036597632145883206)	(70, 0.04103278351940026)	(75, 0.02768661838888918)	(80, 0.008668313505309949)	(85, 0.030068995375581574)	(90, 0.029660710919925944)	(95, 0.05474456483551284)	(100, 0.13919564047715652)	(105, 0.016143481257179473)	(110, 0.03076147399691888)	(115, 0.05469915640132679)	(120, 0.11047284859438387)	(125, 0.017873699180475624)	(130, 0.08832097029994815)	(135, 0.09857544738561919)	(140, 0.0414160150458498)	(145, 0.001613956673699102)	(150, 0.01624232289193791)
raw | SRR30333754_2	(1, 0.0651963337386819)	(2, 0.04501698216720755)	(3, 0.00027205915309747177)	(4, 0.0017478332641441888)	(5, 0.0583870258708682)	(6, 0.00012135012584203775)	(7, 0.08813737930310972)	(8, 0.10482693612657837)	(9, 4.697424226143397e-05)	(10, 0.0973971768088949)	(15, 0.043695831603604726)	(20, 0.10178183087198091)	(25, 0.029744481651958834)	(30, 0.03330004033913054)	(35, 0.028792861794145953)	(40, 0.04489641494540321)	(45, 0.046333043854565395)	(50, 0.1539177594539088)	(55, 0.028565036719178)	(60, 0.01602369693941282)	(65, 0.01647856418531104)	(70, 0.016358388415525536)	(75, 0.07329939052877926)	(80, 0.09841769222202452)	(85, 0.0679384551306931)	(90, 0.011413957965490764)	(95, 0.005540220422717292)	(100, 0.08867288566489007)	(105, 0.010989232525043632)	(110, 0.03428141055037567)	(115, 0.017554665785116722)	(120, 0.03667553109763342)	(125, 0.012292767747798425)	(130, 0.08738539997490792)	(135, 0.05034151252754109)	(140, 0.08387133520173382)	(145, 0.05752700578546511)	(150, 0.08881067677552361)
raw | SRR30333756_1	(1, 0.00146654118431357)	(2, 0.10024913923072803)	(3, 0.3814734785268035)	(4, 0.12032468177161229)	(5, 0.0023444569343752555)	(6, 0.0012676540921943325)	(7, 0.10787314442863213)	(8, 0.054716048898581365)	(9, 0.0)	(10, 0.1587167210164151)	(15, 2.20985657910264e-05)	(20, 0.07369791332886247)	(25, 0.012157023729801559)	(30, 0.013598653803587062)	(35, 0.13145552846449965)	(40, 0.14784623560775656)	(45, 0.008928222371679957)	(50, 0.027872318344063656)	(55, 0.059491348069969516)	(60, 0.04663761682959269)	(65, 0.03786328083423934)	(70, 0.04227134202139117)	(75, 0.028171653462505743)	(80, 0.00909697505590234)	(85, 0.03286177270757213)	(90, 0.03195211538119243)	(95, 0.0592639337383746)	(100, 0.15035823985003832)	(105, 0.017324471995954115)	(110, 0.032749270918090545)	(115, 0.05941460577785887)	(120, 0.12128175056641637)	(125, 0.0191590547487146)	(130, 0.09593630277253026)	(135, 0.10692049534698625)	(140, 0.0455318849558308)	(145, 0.0013427892158838222)	(150, 0.016202266645875263)
raw | SRR30333756_2	(1, 0.058617450240960746)	(2, 0.04367480184517399)	(3, 0.0002290215000160918)	(4, 0.0015368548027395632)	(5, 0.0626233175307159)	(6, 7.232257895245003e-05)	(7, 0.09514637949352739)	(8, 0.11354443999482011)	(9, 2.8125447370397234e-05)	(10, 0.1054117659916171)	(15, 0.04412280004257389)	(20, 0.10913195909451007)	(25, 0.0321309128680471)	(30, 0.03586677586304643)	(35, 0.02897403229677265)	(40, 0.04842157377708646)	(45, 0.05014968162194473)	(50, 0.1670780147275289)	(55, 0.031772916102232464)	(60, 0.017196702106471454)	(65, 0.016924688851189182)	(70, 0.015667079561627134)	(75, 0.07700707310804233)	(80, 0.10579628103638095)	(85, 0.07382929934729274)	(90, 0.012262695053493193)	(95, 0.006295278705705484)	(100, 0.09546580421723404)	(105, 0.011685319798189469)	(110, 0.037503275107898255)	(115, 0.018422569819715483)	(120, 0.03947205642382606)	(125, 0.013142619764081336)	(130, 0.09454489671190618)	(135, 0.054094074719590296)	(140, 0.0902091581037068)	(145, 0.0634027942149812)	(150, 0.09642910078967015)
