cutadapt_adapter_delta_vs_fastx,cutadapt_adapter_max,cutadapt_dominant_overrep_pct,cutadapt_dominant_signal_label,cutadapt_overrep_delta_vs_fastx,cutadapt_sequence_length,fastp_adapter_delta_vs_fastx,fastp_adapter_max,fastp_dominant_overrep_pct,fastp_dominant_signal_label,fastp_overrep_delta_vs_fastx,fastp_sequence_length,fastx_adapter_delta_vs_raw,fastx_adapter_max,fastx_dominant_overrep_pct,fastx_dominant_signal_label,fastx_overrep_delta_vs_raw,fastx_sequence_length,focus_read,issue_type,raw_adapter_max,raw_dominant_overrep_pct,raw_dominant_signal_label,raw_sequence_length,srr
-0.02962688489298415,45.06009293919631,,not detected,,30-151,-45.03082129839961,0.05889852568968728,,not detected,,30-151,-0.03536377538247848,45.08971982408929,1.1192846292646006,poly-G artifact,-1.957260094220814e-06,75-151,SRR30333754_2,poly-G dominated read 2,45.12508359947177,1.1192865865246948,poly-G artifact,151,SRR30333754
-0.6061924294734347,31.883106942730418,,not detected,,30-151,-32.44585390822679,0.04344546397706371,,not detected,,30-151,-0.03842739695006969,32.48929937220385,1.0564560899689668,poly-G artifact,0.0,84-151,SRR30333756_2,poly-G dominated read 2,32.52772676915392,1.0564560899689668,poly-G artifact,151,SRR30333756
-49.14304071945778,0.03379577462169433,,not detected,,30-151,-49.17146274642312,0.0053737476563601215,,not detected,,30-151,-0.033230318083035115,49.176836494079474,0.1040326339409682,TruSeq adapter,0.0,118-151,SRR30333743_1,explicit TruSeq adapter in read 1,49.21006681216251,0.1040326339409682,TruSeq adapter,151,SRR30333743
