focus_read,stage,stage_label,position,position_end,max_adapter_pct
SRR30333754_2,fastp,fastp,4,4,6.96272686432797e-05
SRR30333754_2,fastp,fastp,5,5,0.00016792458908085103
SRR30333754_2,fastp,fastp,6,6,0.00019864250171759207
SRR30333754_2,fastp,fastp,7,7,0.0003215141522645563
SRR30333754_2,fastp,fastp,8,8,0.0003378970390041515
SRR30333754_2,fastp,fastp,9,9,0.0003522320649012973
SRR30333754_2,fastp,fastp,10-14,14,0.000493534463030306
SRR30333754_2,fastp,fastp,15-19,19,0.0007110172844984328
SRR30333754_2,fastp,fastp,20-24,24,0.0008842663117696522
SRR30333754_2,fastp,fastp,25-29,29,0.0011697381132070989
SRR30333754_2,fastp,fastp,30-34,34,0.0013028490679663101
SRR30333754_2,fastp,fastp,35-39,39,0.0014343217340515618
SRR30333754_2,fastp,fastp,40-44,44,0.0016714640196072027
SRR30333754_2,fastp,fastp,45-49,49,0.0020290205226988684
SRR30333754_2,fastp,fastp,50-54,54,0.00233169435521289
SRR30333754_2,fastp,fastp,55-59,59,0.0026437883476021795
SRR30333754_2,fastp,fastp,60-64,64,0.002891989081707047
SRR30333754_2,fastp,fastp,65-69,69,0.0030013448506938456
SRR30333754_2,fastp,fastp,70-74,74,0.0033634066476388993
SRR30333754_2,fastp,fastp,75-79,79,0.003634133851010711
SRR30333754_2,fastp,fastp,80-84,84,0.003828680631043404
SRR30333754_2,fastp,fastp,85-89,89,0.004149785211139471
SRR30333754_2,fastp,fastp,90-94,94,0.004670351437290108
SRR30333754_2,fastp,fastp,95-99,99,0.006992625632627732
SRR30333754_2,fastp,fastp,100-104,104,0.01039903735795807
SRR30333754_2,fastp,fastp,105-109,109,0.01481791148379539
SRR30333754_2,fastp,fastp,110-114,114,0.02030413068071734
SRR30333754_2,fastp,fastp,115-119,119,0.02686711510859919
SRR30333754_2,fastp,fastp,120-124,124,0.03444010450397708
SRR30333754_2,fastp,fastp,125-129,129,0.041858685191834284
SRR30333754_2,fastp,fastp,130-134,134,0.049371877050612654
SRR30333754_2,fastp,fastp,135-139,139,0.05578659635350116
