contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0015850	organic hydroxy compound transport	0.013764761904304956	290	818	25	25907	['GO:0006810']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1903350	response to dopamine	0.013777200353454	54	818	10	25907	['GO:0071869']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009967	positive regulation of signal transduction	0.013853284994644655	1578	818	82	25907	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1902414	protein localization to cell junction	0.014047335526137477	136	818	16	25907	['GO:0008104']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1901701	cellular response to oxygen-containing compound	0.014636815302330063	1407	818	75	25907	['GO:0070887', 'GO:1901700']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006605	protein targeting	0.014836926002842574	310	818	26	25907	['GO:0045184']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050708	regulation of protein secretion	0.014836926002842574	310	818	26	25907	['GO:0009306', 'GO:0051223', 'GO:1903530']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1901699	cellular response to nitrogen compound	0.015286102683918635	704	818	45	25907	['GO:0070887', 'GO:1901698']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0042886	amide transport	0.015303071604188107	388	818	30	25907	['GO:0071705']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006915	apoptotic process	0.01572578021787326	2015	818	99	25907	['GO:0012501']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030334	regulation of cell migration	0.01576210597223515	978	818	57	25907	['GO:0016477', 'GO:2000145']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0031399	regulation of protein modification process	0.016056220688666658	909	818	54	25907	['GO:0036211', 'GO:0051246']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-2132295	MHC class II antigen presentation	0.0171262003854515	104	414	16	8469	['REAC:R-MMU-1280218']
interaction	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04724	Glutamatergic synapse	0.0172194067165738	114	369	14	9330	['KEGG:00000']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007264	small GTPase-mediated signal transduction	0.01764167876716817	431	818	32	25907	['GO:0141124']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008610	lipid biosynthetic process	0.017727756781850224	686	818	44	25907	['GO:0006629', 'GO:0009058']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	0.01807470565606569	36	414	9	8469	['REAC:R-MMU-390466']
interaction	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04925	Aldosterone synthesis and secretion	0.018305263116497956	101	369	13	9330	['KEGG:00000']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035725	sodium ion transmembrane transport	0.018891130968541454	155	818	17	25907	['GO:0006814', 'GO:0098655', 'GO:0098662']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0072666	establishment of protein localization to vacuole	0.01936467025296665	56	818	10	25907	['GO:0072594', 'GO:0072665']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0018230	peptidyl-L-cysteine S-palmitoylation	0.019424257793484546	17	818	6	25907	['GO:0018231', 'GO:0018345']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0018231	peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine	0.019424257793484546	17	818	6	25907	['GO:0018198']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006873	intracellular monoatomic ion homeostasis	0.01952059563851907	537	818	37	25907	['GO:0050801', 'GO:0055082']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0030031	cell projection assembly	0.020146973392500486	602	818	40	25907	['GO:0022607', 'GO:0030030']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0055080	monoatomic cation homeostasis	0.020146973392500486	602	818	40	25907	['GO:0050801']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:2000145	regulation of cell motility	0.020577685208772598	1034	818	59	25907	['GO:0040012', 'GO:0048870', 'GO:0050794']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032886	regulation of microtubule-based process	0.02236530547484668	261	818	23	25907	['GO:0007017', 'GO:0050794']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-390466	Chaperonin-mediated protein folding	0.022866298742450383	37	414	9	8469	['REAC:R-MMU-391251']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-391251	Protein folding	0.022866298742450383	37	414	9	8469	['REAC:R-MMU-392499']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-983712	Ion channel transport	0.023525694915212354	166	414	21	8469	['REAC:R-MMU-382551']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-112315	Transmission across Chemical Synapses	0.024997256346602634	192	414	23	8469	['REAC:R-MMU-112316']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0042158	lipoprotein biosynthetic process	0.025050172404485475	46	818	9	25907	['GO:0009059', 'GO:0042157']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0080090	regulation of primary metabolic process	0.025469803326441	5176	818	213	25907	['GO:0019222', 'GO:0044238']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0014832	urinary bladder smooth muscle contraction	0.026575337965991548	11	818	5	25907	['GO:0014848']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0097120	receptor localization to synapse	0.027757764407348336	98	818	13	25907	['GO:0031503']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007420	brain development	0.028342349675419154	744	818	46	25907	['GO:0007417', 'GO:0048513', 'GO:0060322']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0045956	positive regulation of calcium ion-dependent exocytosis	0.028358244062842958	18	818	6	25907	['GO:0017156', 'GO:0017158', 'GO:1903307']
interaction	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04742	Taste transduction	0.028655464445963376	92	369	12	9330	['KEGG:00000']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0016311	dephosphorylation	0.02968151845258119	194	818	19	25907	['GO:0006796']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0050801	monoatomic ion homeostasis	0.031820557109692595	614	818	40	25907	['GO:0048878']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007049	cell cycle	0.03206339074937873	1640	818	83	25907	['GO:0009987']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0097553	calcium ion transmembrane import into cytosol	0.03212476400094489	178	818	18	25907	['GO:0070588']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1902903	regulation of supramolecular fiber organization	0.032131189507137115	383	818	29	25907	['GO:0051128', 'GO:0097435']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-9012999	RHO GTPase cycle	0.032643836562991045	376	414	36	8469	['REAC:R-MMU-194315']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0015748	organophosphate ester transport	0.03395980618861211	162	818	17	25907	['GO:0006810']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0010970	transport along microtubule	0.03468263706128886	179	818	18	25907	['GO:0007018', 'GO:0030705', 'GO:0099111']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0060322	head development	0.035251336478357403	796	818	48	25907	['GO:0048856']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0015711	organic anion transport	0.03545783182347907	467	818	33	25907	['GO:0006810']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051240	positive regulation of multicellular organismal process	0.03793624164286967	1775	818	88	25907	['GO:0032501', 'GO:0048518', 'GO:0051239']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-382551	Transport of small molecules	0.03873365158825097	641	414	53	8469	['REAC:0000000']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0009891	positive regulation of biosynthetic process	0.03971087839305779	2697	818	123	25907	['GO:0009058', 'GO:0009889', 'GO:0009893']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0008088	axo-dendritic transport	0.0398228462376085	87	818	12	25907	['GO:0010970']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051924	regulation of calcium ion transport	0.04002836651237825	252	818	22	25907	['GO:0006816', 'GO:0010959']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0006898	receptor-mediated endocytosis	0.04256350762387215	253	818	22	25907	['GO:0006897']
interaction	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04070	Phosphatidylinositol signaling system	0.042804635862991894	96	369	12	9330	['KEGG:00000']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1903539	protein localization to postsynaptic membrane	0.04309397758250281	74	818	11	25907	['GO:0062237', 'GO:0072657', 'GO:1990778']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0035023	regulation of Rho protein signal transduction	0.044802541283975414	88	818	12	25907	['GO:0007266', 'GO:0051056']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0032388	positive regulation of intracellular transport	0.0449738065420019	149	818	16	25907	['GO:0032386', 'GO:0046907', 'GO:0048522', 'GO:0051050']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0060078	regulation of postsynaptic membrane potential	0.0467282290348912	166	818	17	25907	['GO:0042391']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0051650	establishment of vesicle localization	0.04683262976485722	183	818	18	25907	['GO:0051648', 'GO:0051649', 'GO:0051656']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0007018	microtubule-based movement	0.04760535747987274	495	818	34	25907	['GO:0007017']
interaction	bend-point selected genes (log2FC > 0)	REAC	REAC:R-MMU-422356	Regulation of insulin secretion	0.04761460476619216	59	414	11	8469	['REAC:R-MMU-163685']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:0062237	protein localization to postsynapse	0.04907615869669734	75	818	11	25907	['GO:0035418']
interaction	bend-point selected genes (log2FC > 0)	GO:BP	GO:1901379	regulation of potassium ion transmembrane transport	0.049299758536078736	62	818	10	25907	['GO:0043266', 'GO:0071805', 'GO:1904062']
interaction	bend-point selected genes (log2FC > 0)	KEGG	KEGG:04750	Inflammatory mediator regulation of TRP channels	0.04940854927417735	126	369	14	9330	['KEGG:00000']
