contrast_id	gene_set_used	source	native	name	p_value	term_size	query_size	intersection_size	effective_domain_size	parents
interaction	bend-point selected genes	GO:BP	GO:0023057	negative regulation of signaling	1.3818641778473916e-18	1426	1605	184	25907	['GO:0023051', 'GO:0023052', 'GO:0048519']
interaction	bend-point selected genes	GO:BP	GO:0010648	negative regulation of cell communication	1.8929807888605874e-18	1430	1605	184	25907	['GO:0007154', 'GO:0010646', 'GO:0048523']
interaction	bend-point selected genes	GO:BP	GO:0040012	regulation of locomotion	2.0381380638420608e-18	1081	1605	152	25907	['GO:0040011', 'GO:0050789']
interaction	bend-point selected genes	GO:BP	GO:0001525	angiogenesis	2.329707078863417e-18	564	1605	100	25907	['GO:0048514', 'GO:0048646']
interaction	bend-point selected genes	GO:BP	GO:0008283	cell population proliferation	3.3363728741183453e-18	2103	1605	241	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0071705	nitrogen compound transport	3.7428552005306214e-18	1949	1605	228	25907	['GO:0006810']
interaction	bend-point selected genes	GO:BP	GO:0060341	regulation of cellular localization	4.340629132105565e-18	1068	1605	150	25907	['GO:0032879', 'GO:0050794', 'GO:0051641']
interaction	bend-point selected genes	GO:BP	GO:0048699	generation of neurons	5.285306675042814e-18	1672	1605	204	25907	['GO:0022008']
interaction	bend-point selected genes	GO:BP	GO:2000145	regulation of cell motility	9.414690959917199e-18	1034	1605	146	25907	['GO:0040012', 'GO:0048870', 'GO:0050794']
interaction	bend-point selected genes	GO:BP	GO:0006996	organelle organization	2.4491392571034922e-17	3494	1605	348	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0030030	cell projection organization	3.8925290057070046e-17	1724	1605	206	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0120036	plasma membrane bounded cell projection organization	5.061166635340905e-17	1681	1605	202	25907	['GO:0030030']
interaction	bend-point selected genes	GO:BP	GO:0060429	epithelium development	5.1741849424990686e-17	1293	1605	168	25907	['GO:0009888']
interaction	bend-point selected genes	GO:BP	GO:0000902	cell morphogenesis	5.2929047266945285e-17	1053	1605	146	25907	['GO:0009653']
interaction	bend-point selected genes	GO:BP	GO:0009887	animal organ morphogenesis	6.326142733166005e-17	1098	1605	150	25907	['GO:0009653', 'GO:0048513']
interaction	bend-point selected genes	GO:BP	GO:0006812	monoatomic cation transport	6.541874469721328e-17	1034	1605	144	25907	['GO:0006811']
interaction	bend-point selected genes	GO:BP	GO:0007165	signal transduction	7.31966965596636e-17	6843	1605	586	25907	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']
interaction	bend-point selected genes	GO:BP	GO:0007167	enzyme-linked receptor protein signaling pathway	9.605046394818097e-17	964	1605	137	25907	['GO:0007166']
interaction	bend-point selected genes	GO:BP	GO:0071495	cellular response to endogenous stimulus	1.1404268683177302e-16	1303	1605	168	25907	['GO:0009719']
interaction	bend-point selected genes	GO:BP	GO:0060348	bone development	1.1942572824395241e-16	235	1605	58	25907	['GO:0001501', 'GO:0048513']
interaction	bend-point selected genes	GO:BP	GO:0008219	cell death	1.622677940725179e-16	2081	1605	234	25907	['GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0012501	programmed cell death	1.622677940725179e-16	2081	1605	234	25907	['GO:0008219']
interaction	bend-point selected genes	GO:BP	GO:0051649	establishment of localization in cell	2.020030063625266e-16	2036	1605	230	25907	['GO:0051234', 'GO:0051641']
interaction	bend-point selected genes	GO:BP	GO:0045229	external encapsulating structure organization	2.380567379773294e-16	308	1605	67	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0030198	extracellular matrix organization	2.380567379773294e-16	308	1605	67	25907	['GO:0043062', 'GO:0045229']
interaction	bend-point selected genes	GO:BP	GO:0006915	apoptotic process	2.464128661745174e-16	2015	1605	228	25907	['GO:0012501']
interaction	bend-point selected genes	GO:BP	GO:0043062	extracellular structure organization	3.4340999867925786e-16	310	1605	67	25907	['GO:0016043']
interaction	bend-point selected genes	GO:BP	GO:0009968	negative regulation of signal transduction	4.1613628404712197e-16	1286	1605	165	25907	['GO:0007165', 'GO:0009966', 'GO:0010648', 'GO:0023057', 'GO:0048585']
interaction	bend-point selected genes	GO:BP	GO:0032880	regulation of protein localization	4.2628344801448297e-16	959	1605	135	25907	['GO:0008104', 'GO:0060341']
interaction	bend-point selected genes	GO:BP	GO:0009628	response to abiotic stimulus	5.25032417594283e-16	1289	1605	165	25907	['GO:0050896']
interaction	bend-point selected genes	GO:BP	GO:0001503	ossification	5.268728524898747e-16	476	1605	86	25907	['GO:0032501']
interaction	bend-point selected genes	GO:BP	GO:0006811	monoatomic ion transport	6.091701916884516e-16	1235	1605	160	25907	['GO:0006810']
interaction	bend-point selected genes	GO:BP	GO:0055085	transmembrane transport	9.264655477127594e-16	1525	1605	185	25907	['GO:0006810', 'GO:0009987']
interaction	bend-point selected genes	GO:BP	GO:0023056	positive regulation of signaling	1.2668070168767006e-15	1957	1605	221	25907	['GO:0023051', 'GO:0023052', 'GO:0048518']
interaction	bend-point selected genes	GO:BP	GO:0030182	neuron differentiation	1.2882526104863039e-15	1588	1605	190	25907	['GO:0030154', 'GO:0048699']
interaction	bend-point selected genes	GO:BP	GO:0009967	positive regulation of signal transduction	1.4452293598735274e-15	1578	1605	189	25907	['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']
interaction	bend-point selected genes	GO:BP	GO:0070848	response to growth factor	3.651487813622158e-15	763	1605	114	25907	['GO:0009719']
interaction	bend-point selected genes	GO:BP	GO:0006793	phosphorus metabolic process	4.1075402104101316e-15	2235	1605	242	25907	['GO:0008152']
interaction	bend-point selected genes	GO:BP	GO:0141124	intracellular signaling cassette	4.572320694052832e-15	1773	1605	204	25907	['GO:0035556']
