gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_bend
ENSMUSG00000071074	0.440551041290571	0.670911800487662	0.0374542609215448	3487.54211657118	11073	0.5158164453761938	0.3560037679177968	0.4245343948599478	False
ENSMUSG00000057604	0.440615418274275		-0.159073878614219	175.522190890077	11074	0.5158630328441649	0.35594030983100633	0.4244979807315784	False
ENSMUSG00000103770	0.440621847784974		0.186936747705274	358.753695435152	11075	0.515909620312136	0.3559339726023722	0.42445289524391466	False
ENSMUSG00000050550	0.440718350958409		0.345134329957912	15.0934275802416	11076	0.5159562077801072	0.3558388656370114	0.424421285644157	False
ENSMUSG00000038069	0.440753082691466		-0.0628436165500631	558.076175157883	11077	0.5160027952480782	0.3558046414989496	0.42438043359098754	False
ENSMUSG00000027035	0.440828279635732		0.0764154241326048	1777.08229395475	11078	0.5160493827160494	0.3557305527774192	0.4243456332698389	False
ENSMUSG00000024847	0.440925571235785	0.671270211512055	-0.0386445074007046	6799.04536574518	11079	0.5160959701840205	0.3556347137738962	0.4243141347987674	False
ENSMUSG00000022724	0.440985142297905		0.053420503729083	734.239966784671	11080	0.5161425576519916	0.3555760425655706	0.4242769939876344	False
ENSMUSG00000032263	0.441047073345758		-0.0653397248111783	905.73926146867	11081	0.5161891451199627	0.35551505542267897	0.4242402047521143	False
ENSMUSG00000058729	0.441079861704792		-0.116645487000804	168.667840398034	11082	0.5162357325879339	0.3554827702654303	0.42419905834763705	False
ENSMUSG00000113831	0.441121284425284		0.11056155154114	147.820742952378	11083	0.5162823200559049	0.35544198668897	0.4241592020646461	False
ENSMUSG00000022209	0.441165130357471		-0.132280622474232	175.655419342369	11084	0.5163289075238761	0.3553988214625778	0.4241197073333358	False
ENSMUSG00000040195	0.441173753435279		0.0772808978072002	316.194185841278	11085	0.5163754949918472	0.3553903327624243	0.4240749484546055	False
ENSMUSG00000071392	0.441269533361149		-0.369834826396525	11.8347411748664	11086	0.5164220824598184	0.3552960565770463	0.4240432127364393	False
ENSMUSG00000042448	0.44128637149479		0.113464430039008	1066.67062612063	11087	0.5164686699277894	0.35527948491629036	0.4239996809095743	False
ENSMUSG00000107659	0.44136338732993		-0.370577427140251	14.2263807323235	11088	0.5165152573957605	0.3552036959592981	0.42396513869646274	False
ENSMUSG00000027894	0.441375026235267	0.671742427116659	0.0814128847365714	14570.6297904883	11089	0.5165618448637317	0.35519224361444524	0.4239208297204272	False
ENSMUSG00000017007	0.441683779012136		-0.52600853829162	6.84559608021944	11090	0.5166084323317027	0.35488855006213865	0.42392088507280323	False
ENSMUSG00000062115	0.441775771683642		0.0872881098071165	2278.43903204508	11091	0.5166550197996739	0.3547981058313337	0.42388856763622496	False
ENSMUSG00000051251	0.44182672714884		-0.555243307536839	7.71985752551181	11092	0.516701607267645	0.3547480161645161	0.42385012408504	False
ENSMUSG00000000439	0.441893079247176		-0.0321339187258493	2387.63693852209	11093	0.5167481947356162	0.3546828001310729	0.42381397682568367	False
ENSMUSG00000038642	0.441894394209786		-0.397008196759107	1165.36113162369	11094	0.5167947822035872	0.35468150778189944	0.42376812548883985	False
ENSMUSG00000030105	0.441905305427819	0.672337314851222	0.0316592465143859	13313.7816226023	11095	0.5168413696715584	0.35467078435263205	0.4237237058581477	False
ENSMUSG00000022877	0.441940131355913		0.468646125486217	10.259946429218	11096	0.5168879571395295	0.35463655957129187	0.42368285390263255	False
ENSMUSG00000000942	0.441973123830584		0.12747962338978	132.161850513261	11097	0.5169345446075005	0.35460413908293165	0.4236417280423967	False
ENSMUSG00000143530	0.441988790840851		0.256499177309206	23.7558955096979	11098	0.5169811320754717	0.3545887445370928	0.4235980175209757	False
ENSMUSG00000006522	0.442031194178291		0.261123650556325	67.1854014982487	11099	0.5170277195434428	0.3545470813715747	0.4235582947659638	False
ENSMUSG00000097749	0.442061159224971		0.0941010413159601	390.070266304382	11100	0.5170743070114139	0.3545176417901147	0.42351671638250626	False
ENSMUSG00000108905	0.442106885976905		-0.399937055863919	10.9846874373725	11101	0.517120894479385	0.3544727207456011	0.42347748819708264	False
ENSMUSG00000087303	0.442132170941004		-0.306303518595771	16.6153436064295	11102	0.5171674819473562	0.35444788329853205	0.42343521117634764	False
ENSMUSG00000073758	0.442176398378356		-0.191313993991124	74.7615994741267	11103	0.5172140694153273	0.3544044420548913	0.42339575834645143	False
