stage	run	read	percent_duplicates	percent_gc	percent_fails	total_sequences
raw	SRR35329977	1	69.06908832788405	50.0	27.27272727272727	91.55971199999999
raw	SRR35329977	2	59.99776671693308	50.0	36.36363636363637	91.55971199999999
raw	SRR35329978	1	65.94733614845441	50.0	27.27272727272727	62.431273
raw	SRR35329978	2	57.384691166560096	50.0	36.36363636363637	62.431273
raw	SRR35329979	1	68.7519740965607	50.0	27.27272727272727	91.295732
raw	SRR35329979	2	57.98248495063297	50.0	36.36363636363637	91.295732
raw	SRR35329980	1	62.6674767732052	50.0	27.27272727272727	59.771063999999996
raw	SRR35329980	2	54.71078660980632	50.0	36.36363636363637	59.771063999999996
raw	SRR35329981	1	66.2461295950219	50.0	27.27272727272727	77.269576
raw	SRR35329981	2	57.0784539890963	50.0	36.36363636363637	77.269576
raw	SRR35329982	1	66.45992290148318	50.0	27.27272727272727	70.763706
raw	SRR35329982	2	56.673956515776155	50.0	36.36363636363637	70.763706
raw	SRR35329983	1	66.5135805973753	50.0	27.27272727272727	69.026313
raw	SRR35329983	2	56.921456938535655	50.0	36.36363636363637	69.026313
raw	SRR35329984	1	64.4502008527534	50.0	27.27272727272727	60.683491
raw	SRR35329984	2	54.664271397657224	50.0	36.36363636363637	60.683491
raw	SRR35329985	1	65.45147167565936	50.0	27.27272727272727	56.779104999999994
raw	SRR35329985	2	53.49412172738181	50.0	36.36363636363637	56.779104999999994
raw	SRR35329986	1	62.5957220580119	50.0	27.27272727272727	57.019234
raw	SRR35329986	2	53.19965325184515	50.0	36.36363636363637	57.019234
raw	SRR35329987	1	65.2400718655237	50.0	27.27272727272727	85.210535
raw	SRR35329987	2	58.79952373179478	50.0	36.36363636363637	85.210535
raw	SRR35329988	1	63.801265857199574	50.0	27.27272727272727	62.628496
raw	SRR35329988	2	53.39983062194075	50.0	36.36363636363637	62.628496
raw	SRR35329989	1	64.54200418746194	50.0	27.27272727272727	60.136548999999995
raw	SRR35329989	2	53.494636663672125	50.0	36.36363636363637	60.136548999999995
raw	SRR35329990	1	65.32933859131231	50.0	27.27272727272727	59.321844999999996
raw	SRR35329990	2	55.68308049231527	49.0	36.36363636363637	59.321844999999996
raw	SRR35329991	1	66.90952209045477	50.0	27.27272727272727	65.85270299999999
raw	SRR35329991	2	57.31862980594377	50.0	36.36363636363637	65.85270299999999
raw	SRR35329992	1	66.05921040415289	50.0	27.27272727272727	77.329467
raw	SRR35329992	2	56.25131128553936	50.0	36.36363636363637	77.329467
raw	SRR35329993	1	67.03489668437942	50.0	27.27272727272727	83.91563699999999
raw	SRR35329993	2	57.63834721798083	50.0	36.36363636363637	83.91563699999999
raw	SRR35329994	1	66.24259435154133	50.0	27.27272727272727	64.574923
raw	SRR35329994	2	55.06704325039441	50.0	36.36363636363637	64.574923
raw	SRR35329995	1	66.80018190119091	50.0	27.27272727272727	66.742396
raw	SRR35329995	2	55.66695921308149	50.0	36.36363636363637	66.742396
raw	SRR35329996	1	59.48325037861023	50.0	27.27272727272727	63.897394999999996
raw	SRR35329996	2	56.42206994747339	49.0	36.36363636363637	63.897394999999996
