stage	sample	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_duplicates	fastqc-percent_fails	fastqc-percent_gc	fastqc-total_sequences
raw	fastqc_out | SRR35329977_1	151.0	151.0	69.06908832788405	27.27272727272727	50.0	91.55971199999999
raw	fastqc_out | SRR35329977_2	151.0	151.0	59.99776671693308	36.36363636363637	50.0	91.55971199999999
raw	fastqc_out | SRR35329978_1	151.0	151.0	65.94733614845441	27.27272727272727	50.0	62.431273
raw	fastqc_out | SRR35329978_2	151.0	151.0	57.384691166560096	36.36363636363637	50.0	62.431273
raw	fastqc_out | SRR35329979_1	151.0	151.0	68.7519740965607	27.27272727272727	50.0	91.295732
raw	fastqc_out | SRR35329979_2	151.0	151.0	57.98248495063297	36.36363636363637	50.0	91.295732
raw	fastqc_out | SRR35329980_1	151.0	151.0	62.6674767732052	27.27272727272727	50.0	59.771063999999996
raw	fastqc_out | SRR35329980_2	151.0	151.0	54.71078660980632	36.36363636363637	50.0	59.771063999999996
raw	fastqc_out | SRR35329981_1	151.0	151.0	66.2461295950219	27.27272727272727	50.0	77.269576
raw	fastqc_out | SRR35329981_2	151.0	151.0	57.0784539890963	36.36363636363637	50.0	77.269576
raw	fastqc_out | SRR35329982_1	151.0	151.0	66.45992290148318	27.27272727272727	50.0	70.763706
raw	fastqc_out | SRR35329982_2	151.0	151.0	56.673956515776155	36.36363636363637	50.0	70.763706
raw	fastqc_out | SRR35329983_1	151.0	151.0	66.5135805973753	27.27272727272727	50.0	69.026313
raw	fastqc_out | SRR35329983_2	151.0	151.0	56.921456938535655	36.36363636363637	50.0	69.026313
raw	fastqc_out | SRR35329984_1	151.0	151.0	64.4502008527534	27.27272727272727	50.0	60.683491
raw	fastqc_out | SRR35329984_2	151.0	151.0	54.664271397657224	36.36363636363637	50.0	60.683491
raw	fastqc_out | SRR35329985_1	151.0	151.0	65.45147167565936	27.27272727272727	50.0	56.779104999999994
raw	fastqc_out | SRR35329985_2	151.0	151.0	53.49412172738181	36.36363636363637	50.0	56.779104999999994
raw	fastqc_out | SRR35329986_1	151.0	151.0	62.5957220580119	27.27272727272727	50.0	57.019234
raw	fastqc_out | SRR35329986_2	151.0	151.0	53.19965325184515	36.36363636363637	50.0	57.019234
raw	fastqc_out | SRR35329987_1	151.0	151.0	65.2400718655237	27.27272727272727	50.0	85.210535
raw	fastqc_out | SRR35329987_2	151.0	151.0	58.79952373179478	36.36363636363637	50.0	85.210535
raw	fastqc_out | SRR35329988_1	151.0	151.0	63.801265857199574	27.27272727272727	50.0	62.628496
raw	fastqc_out | SRR35329988_2	151.0	151.0	53.39983062194075	36.36363636363637	50.0	62.628496
raw	fastqc_out | SRR35329989_1	151.0	151.0	64.54200418746194	27.27272727272727	50.0	60.136548999999995
raw	fastqc_out | SRR35329989_2	151.0	151.0	53.494636663672125	36.36363636363637	50.0	60.136548999999995
raw	fastqc_out | SRR35329990_1	151.0	151.0	65.32933859131231	27.27272727272727	50.0	59.321844999999996
raw	fastqc_out | SRR35329990_2	151.0	151.0	55.68308049231527	36.36363636363637	49.0	59.321844999999996
raw	fastqc_out | SRR35329991_1	151.0	151.0	66.90952209045477	27.27272727272727	50.0	65.85270299999999
raw	fastqc_out | SRR35329991_2	151.0	151.0	57.31862980594377	36.36363636363637	50.0	65.85270299999999
raw	fastqc_out | SRR35329992_1	151.0	151.0	66.05921040415289	27.27272727272727	50.0	77.329467
raw	fastqc_out | SRR35329992_2	151.0	151.0	56.25131128553936	36.36363636363637	50.0	77.329467
raw	fastqc_out | SRR35329993_1	151.0	151.0	67.03489668437942	27.27272727272727	50.0	83.91563699999999
raw	fastqc_out | SRR35329993_2	151.0	151.0	57.63834721798083	36.36363636363637	50.0	83.91563699999999
raw	fastqc_out | SRR35329994_1	151.0	151.0	66.24259435154133	27.27272727272727	50.0	64.574923
raw	fastqc_out | SRR35329994_2	151.0	151.0	55.06704325039441	36.36363636363637	50.0	64.574923
raw	fastqc_out | SRR35329995_1	151.0	151.0	66.80018190119091	27.27272727272727	50.0	66.742396
raw	fastqc_out | SRR35329995_2	151.0	151.0	55.66695921308149	36.36363636363637	50.0	66.742396
raw	fastqc_out | SRR35329996_1	151.0	151.0	59.48325037861023	27.27272727272727	50.0	63.897394999999996
raw	fastqc_out | SRR35329996_2	151.0	151.0	56.42206994747339	36.36363636363637	49.0	63.897394999999996
