Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
qc_bundle_trimmed | SRR30333743_1	0.1040326339409682	0.0
qc_bundle_trimmed | SRR30333743_2	0.8563808488688447	0.0
qc_bundle_trimmed | SRR30333744_1	0.0	0.0
qc_bundle_trimmed | SRR30333744_2	0.8941665595333518	0.11003461975984752
qc_bundle_trimmed | SRR30333745_1	0.0	0.0
qc_bundle_trimmed | SRR30333745_2	0.8847584697407346	0.0
qc_bundle_trimmed | SRR30333746_1	0.0	0.0
qc_bundle_trimmed | SRR30333746_2	0.653104916176993	0.0
qc_bundle_trimmed | SRR30333747_1	0.0	0.0
qc_bundle_trimmed | SRR30333747_2	0.8906438866468882	0.0
qc_bundle_trimmed | SRR30333748_1	0.0	0.0
qc_bundle_trimmed | SRR30333748_2	0.7704920042818157	0.10307503020120856
qc_bundle_trimmed | SRR30333749_1	0.0	0.0
qc_bundle_trimmed | SRR30333749_2	0.7483043834506792	0.0
qc_bundle_trimmed | SRR30333750_1	0.0	0.0
qc_bundle_trimmed | SRR30333750_2	0.5158217718705662	0.0
qc_bundle_trimmed | SRR30333751_1	0.0	0.0
qc_bundle_trimmed | SRR30333751_2	0.72809185984969	0.0
qc_bundle_trimmed | SRR30333752_1	0.0	0.0
qc_bundle_trimmed | SRR30333752_2	0.697849290761915	0.0
qc_bundle_trimmed | SRR30333753_1	0.0	0.0
qc_bundle_trimmed | SRR30333753_2	0.8194456992477778	0.0
qc_bundle_trimmed | SRR30333754_1	0.0	0.0
qc_bundle_trimmed | SRR30333754_2	1.1192846292646006	0.10520273006466985
qc_bundle_trimmed | SRR30333755_1	0.0	0.0
qc_bundle_trimmed | SRR30333755_2	0.8893536648482154	0.0
qc_bundle_trimmed | SRR30333756_1	0.0	0.0
qc_bundle_trimmed | SRR30333756_2	1.0564560899689668	0.13469075849630596
qc_bundle_trimmed | SRR30333757_1	0.0	0.0
qc_bundle_trimmed | SRR30333757_2	0.0	0.0
qc_bundle_trimmed | SRR30333758_1	0.0	0.0
qc_bundle_trimmed | SRR30333758_2	0.0	0.0
qc_bundle_trimmed | SRR30333759_1	0.0	0.0
qc_bundle_trimmed | SRR30333759_2	0.0	0.0
qc_bundle_trimmed | SRR30333760_1	0.0	0.0
qc_bundle_trimmed | SRR30333760_2	0.0	0.0
qc_bundle_trimmed | SRR30333761_1	0.0	0.0
qc_bundle_trimmed | SRR30333761_2	0.0	0.0
qc_bundle_trimmed | SRR30333762_1	0.0	0.0
qc_bundle_trimmed | SRR30333762_2	0.0	0.0
qc_bundle_trimmed | SRR30333763_1	0.0	0.0
qc_bundle_trimmed | SRR30333763_2	0.0	0.0
qc_bundle_trimmed | SRR30333764_1	0.0	0.0
qc_bundle_trimmed | SRR30333764_2	0.0	0.0
qc_bundle_trimmed | SRR30333765_1	0.0	0.0
qc_bundle_trimmed | SRR30333765_2	0.0	0.0
qc_bundle_trimmed | SRR30333766_1	0.0	0.0
qc_bundle_trimmed | SRR30333766_2	0.0	0.0
qc_bundle_trimmed | SRR30333767_1	0.0	0.0
qc_bundle_trimmed | SRR30333767_2	0.0	0.0
qc_bundle_trimmed | SRR30333768_1	0.0	0.0
qc_bundle_trimmed | SRR30333768_2	0.0	0.0
