Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
qc_bundle_trimmed | SRR30333748_1	(15.0, 2.0)	(16.0, 16.0)	(17.0, 491.0)	(18.0, 5952.0)	(19.0, 25304.0)	(20.0, 63264.0)	(21.0, 96829.0)	(22.0, 110653.0)	(23.0, 116771.0)	(24.0, 131002.0)	(25.0, 143122.0)	(26.0, 162232.0)	(27.0, 178998.0)	(28.0, 209876.0)	(29.0, 243695.0)	(30.0, 292089.0)	(31.0, 350986.0)	(32.0, 460788.0)	(33.0, 625222.0)	(34.0, 885358.0)	(35.0, 1238938.0)	(36.0, 2060748.0)	(37.0, 3509569.0)	(38.0, 7673764.0)	(39.0, 37671624.0)	(40.0, 9152341.0)										
qc_bundle_trimmed | SRR30333748_2	(13.0, 1.0)	(14.0, 21.0)	(15.0, 1948.0)	(16.0, 53312.0)	(17.0, 286520.0)	(18.0, 483547.0)	(19.0, 393177.0)	(20.0, 302222.0)	(21.0, 233394.0)	(22.0, 186335.0)	(23.0, 167931.0)	(24.0, 172640.0)	(25.0, 178015.0)	(26.0, 193636.0)	(27.0, 207870.0)	(28.0, 240152.0)	(29.0, 273394.0)	(30.0, 325881.0)	(31.0, 385156.0)	(32.0, 496543.0)	(33.0, 644090.0)	(34.0, 888950.0)	(35.0, 1270485.0)	(36.0, 2102769.0)	(37.0, 3828688.0)	(38.0, 9173590.0)	(39.0, 35728517.0)	(40.0, 7190850.0)								
qc_bundle_trimmed | SRR30333749_1	(15.0, 3.0)	(16.0, 70.0)	(17.0, 1203.0)	(18.0, 10917.0)	(19.0, 37105.0)	(20.0, 68602.0)	(21.0, 83460.0)	(22.0, 86393.0)	(23.0, 88899.0)	(24.0, 97782.0)	(25.0, 105917.0)	(26.0, 118734.0)	(27.0, 131104.0)	(28.0, 154057.0)	(29.0, 177817.0)	(30.0, 211416.0)	(31.0, 249781.0)	(32.0, 323537.0)	(33.0, 424211.0)	(34.0, 584051.0)	(35.0, 837054.0)	(36.0, 1347866.0)	(37.0, 2233326.0)	(38.0, 5216294.0)	(39.0, 29106551.0)	(40.0, 11718344.0)										
qc_bundle_trimmed | SRR30333749_2	(5.0, 2.0)	(6.0, 12.0)	(7.0, 22.0)	(8.0, 36.0)	(9.0, 41.0)	(10.0, 33.0)	(11.0, 66.0)	(12.0, 63.0)	(13.0, 70.0)	(14.0, 98.0)	(15.0, 1561.0)	(16.0, 32202.0)	(17.0, 176372.0)	(18.0, 323398.0)	(19.0, 297133.0)	(20.0, 242701.0)	(21.0, 182626.0)	(22.0, 145016.0)	(23.0, 129835.0)	(24.0, 132410.0)	(25.0, 135664.0)	(26.0, 146020.0)	(27.0, 155227.0)	(28.0, 176998.0)	(29.0, 199648.0)	(30.0, 236938.0)	(31.0, 281819.0)	(32.0, 365450.0)	(33.0, 477592.0)	(34.0, 668052.0)	(35.0, 959680.0)	(36.0, 1565681.0)	(37.0, 2725063.0)	(38.0, 6283032.0)	(39.0, 27857482.0)	(40.0, 9516451.0)
qc_bundle_trimmed | SRR30333750_1	(16.0, 9.0)	(17.0, 271.0)	(18.0, 3504.0)	(19.0, 16702.0)	(20.0, 45932.0)	(21.0, 73320.0)	(22.0, 85413.0)	(23.0, 90027.0)	(24.0, 100958.0)	(25.0, 111875.0)	(26.0, 126242.0)	(27.0, 141126.0)	(28.0, 166448.0)	(29.0, 194507.0)	(30.0, 235919.0)	(31.0, 286478.0)	(32.0, 391935.0)	(33.0, 553780.0)	(34.0, 786711.0)	(35.0, 1068996.0)	(36.0, 1773325.0)	(37.0, 2971330.0)	(38.0, 6489542.0)	(39.0, 30589473.0)	(40.0, 6637719.0)											
qc_bundle_trimmed | SRR30333750_2	(14.0, 13.0)	(15.0, 844.0)	(16.0, 22177.0)	(17.0, 124620.0)	(18.0, 220178.0)	(19.0, 201838.0)	(20.0, 184143.0)	(21.0, 155584.0)	(22.0, 131472.0)	(23.0, 123550.0)	(24.0, 130153.0)	(25.0, 136320.0)	(26.0, 152052.0)	(27.0, 165368.0)	(28.0, 195238.0)	(29.0, 227515.0)	(30.0, 279276.0)	(31.0, 339704.0)	(32.0, 448422.0)	(33.0, 589591.0)	(34.0, 812511.0)	(35.0, 1147762.0)	(36.0, 1871259.0)	(37.0, 3325788.0)	(38.0, 7812742.0)	(39.0, 28801115.0)	(40.0, 5342307.0)									
qc_bundle_trimmed | SRR30333751_1	(14.0, 1.0)	(15.0, 3.0)	(16.0, 12.0)	(17.0, 406.0)	(18.0, 4849.0)	(19.0, 21124.0)	(20.0, 54963.0)	(21.0, 85775.0)	(22.0, 96808.0)	(23.0, 102828.0)	(24.0, 115176.0)	(25.0, 125960.0)	(26.0, 142129.0)	(27.0, 157326.0)	(28.0, 185119.0)	(29.0, 213811.0)	(30.0, 258400.0)	(31.0, 311844.0)	(32.0, 426677.0)	(33.0, 581213.0)	(34.0, 811647.0)	(35.0, 1095047.0)	(36.0, 1805282.0)	(37.0, 2946233.0)	(38.0, 6378255.0)	(39.0, 31389867.0)	(40.0, 7924171.0)									
qc_bundle_trimmed | SRR30333751_2	(14.0, 14.0)	(15.0, 1484.0)	(16.0, 37642.0)	(17.0, 203445.0)	(18.0, 340870.0)	(19.0, 278459.0)	(20.0, 218251.0)	(21.0, 168912.0)	(22.0, 137399.0)	(23.0, 125271.0)	(24.0, 130494.0)	(25.0, 136598.0)	(26.0, 150563.0)	(27.0, 163238.0)	(28.0, 191475.0)	(29.0, 223557.0)	(30.0, 275435.0)	(31.0, 337802.0)	(32.0, 447091.0)	(33.0, 590319.0)	(34.0, 821532.0)	(35.0, 1158609.0)	(36.0, 1887802.0)	(37.0, 3338232.0)	(38.0, 7728333.0)	(39.0, 29548207.0)	(40.0, 6593892.0)									
qc_bundle_trimmed | SRR30333752_1	(15.0, 3.0)	(16.0, 10.0)	(17.0, 356.0)	(18.0, 4180.0)	(19.0, 18816.0)	(20.0, 49968.0)	(21.0, 80714.0)	(22.0, 93639.0)	(23.0, 99566.0)	(24.0, 111949.0)	(25.0, 124184.0)	(26.0, 140802.0)	(27.0, 156571.0)	(28.0, 185395.0)	(29.0, 216620.0)	(30.0, 263530.0)	(31.0, 322042.0)	(32.0, 440980.0)	(33.0, 590901.0)	(34.0, 829084.0)	(35.0, 1152801.0)	(36.0, 1899658.0)	(37.0, 3214912.0)	(38.0, 7568843.0)	(39.0, 35064546.0)	(40.0, 6708960.0)										
qc_bundle_trimmed | SRR30333752_2	(14.0, 20.0)	(15.0, 1329.0)	(16.0, 36103.0)	(17.0, 195629.0)	(18.0, 332414.0)	(19.0, 283152.0)	(20.0, 240795.0)	(21.0, 195735.0)	(22.0, 160425.0)	(23.0, 146336.0)	(24.0, 151660.0)	(25.0, 158712.0)	(26.0, 174209.0)	(27.0, 188478.0)	(28.0, 220788.0)	(29.0, 257060.0)	(30.0, 311889.0)	(31.0, 381905.0)	(32.0, 503613.0)	(33.0, 660868.0)	(34.0, 913678.0)	(35.0, 1286446.0)	(36.0, 2056477.0)	(37.0, 3598176.0)	(38.0, 8434534.0)	(39.0, 32591398.0)	(40.0, 5857201.0)									
