Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
qc_bundle_trimmed | SRR30333749_1	(1.0, 10.633464781886856)	(2.0, 5.469374626787871)	(3.0, 6.751624702232349)	(4.0, 7.181022327751233)	(5.0, 6.968140443626606)	(6.0, 6.170506267317821)	(7.0, 5.348887971704421)	(8.0, 4.380270411359129)	(9.0, 3.6832439655817293)	('>10', 30.263396036010654)	('>50', 5.32983899283918)	('>100', 6.231089462733863)	('>500', 0.9994892222641265)	('>1k', 0.5386978415336178)	('>5k', 0.0)	('>10k+', 0.05095294637038796)
qc_bundle_trimmed | SRR30333749_2	(1.0, 10.650252428331058)	(2.0, 4.690844315820664)	(3.0, 6.045952477188577)	(4.0, 6.482948657748889)	(5.0, 6.312121702439542)	(6.0, 5.897047390202131)	(7.0, 5.073922030063243)	(8.0, 4.2926372231886685)	(9.0, 3.7583001944438714)	('>10', 32.05970027861243)	('>50', 5.715922914497542)	('>100', 6.559894202902004)	('>500', 0.9968412600716554)	('>1k', 0.5797666808616859)	('>5k', 0.020809962643134124)	('>10k+', 0.8630382809848982)
qc_bundle_trimmed | SRR30333750_1	(1.0, 25.859883202588758)	(2.0, 9.910769817998544)	(3.0, 6.495623125597767)	(4.0, 4.956919468086913)	(5.0, 3.884497313268627)	(6.0, 3.152587828762283)	(7.0, 2.7019624905198696)	(8.0, 2.251419039525921)	(9.0, 2.0462793538281936)	('>10', 23.510910135024226)	('>50', 5.829077893885139)	('>100', 7.402874018266497)	('>500', 1.2634358866877944)	('>1k', 0.7123630337613427)	('>5k', 0.021397392198195628)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333750_2	(1.0, 23.991190835272842)	(2.0, 10.423393130827277)	(3.0, 7.432596970811916)	(4.0, 5.652016604606943)	(5.0, 4.388936214059129)	(6.0, 3.497544490715683)	(7.0, 3.0196980413979144)	(8.0, 2.557418824501073)	(9.0, 2.173950877284618)	('>10', 22.946294595121632)	('>50', 5.347553756457036)	('>100', 6.414466956851414)	('>500', 1.0048482592446322)	('>1k', 0.5476332453521867)	('>5k', 0.0)	('>10k+', 0.6024571974956525)
qc_bundle_trimmed | SRR30333751_1	(1.0, 24.49058944537379)	(2.0, 9.992614183582752)	(3.0, 6.710358453562826)	(4.0, 4.876653430996973)	(5.0, 4.009907389398816)	(6.0, 3.334040243385921)	(7.0, 2.7873078388602988)	(8.0, 2.354490889506312)	(9.0, 1.9949605224394793)	('>10', 24.018003658873674)	('>50', 6.052054147009144)	('>100', 7.580998774788237)	('>500', 1.210811770429695)	('>1k', 0.577150706297346)	('>5k', 0.01005854549444501)	('>10k+', 0.0)
qc_bundle_trimmed | SRR30333751_2	(1.0, 22.750591395494695)	(2.0, 10.171749657532137)	(3.0, 7.386473781195997)	(4.0, 5.515867889636753)	(5.0, 4.431959459836192)	(6.0, 3.6141764957645948)	(7.0, 2.997380174109455)	(8.0, 2.511333407778557)	(9.0, 2.2408790241286787)	('>10', 23.882757330615323)	('>50', 5.65754836393293)	('>100', 6.67653153849122)	('>500', 0.8820742719919499)	('>1k', 0.41047316486287083)	('>5k', 0.02020629812218273)	('>10k+', 0.8499977465064663)
qc_bundle_trimmed | SRR30333752_1	(1.0, 24.758377133158085)	(2.0, 9.561956406587525)	(3.0, 6.365089135047075)	(4.0, 4.750670176183083)	(5.0, 3.9257220983694654)	(6.0, 3.1923879960745327)	(7.0, 2.6547333713886916)	(8.0, 2.3715443003907026)	(9.0, 2.0956318616201126)	('>10', 23.967380689664648)	('>50', 6.053667450824406)	('>100', 7.881101599448488)	('>500', 1.4778716026688845)	('>1k', 0.9012268912612251)	('>5k', 0.021778914199468535)	('>10k+', 0.020860373113474297)
qc_bundle_trimmed | SRR30333752_2	(1.0, 23.34045465186529)	(2.0, 9.816317094251557)	(3.0, 6.967185066350233)	(4.0, 5.3367990810831305)	(5.0, 4.228609211556956)	(6.0, 3.6314419960209725)	(7.0, 2.8939823481259683)	(8.0, 2.550069652275876)	(9.0, 2.148399857124438)	('>10', 23.784781899343812)	('>50', 5.557082649789184)	('>100', 7.068115473803795)	('>500', 1.1429760489867964)	('>1k', 0.6823764454147175)	('>5k', 0.021408216673445436)	('>10k+', 0.8300003073336412)
qc_bundle_trimmed | SRR30333753_1	(1.0, 22.641800961056447)	(2.0, 12.180342804479624)	(3.0, 7.952806058428805)	(4.0, 5.615844345047341)	(5.0, 4.0962210657205365)	(6.0, 3.2856798222677437)	(7.0, 2.6298603511193708)	(8.0, 2.2247625051944357)	(9.0, 1.935339105717974)	('>10', 21.877088310943936)	('>50', 5.619816874195161)	('>100', 7.540431340678541)	('>500', 1.3439522905425236)	('>1k', 0.9990154695701401)	('>5k', 0.02740343817515651)	('>10k+', 0.02963525686228322)
qc_bundle_trimmed | SRR30333753_2	(1.0, 21.080244349411416)	(2.0, 10.961247343808095)	(3.0, 7.940557064354993)	(4.0, 5.968972092391905)	(5.0, 4.473822914446382)	(6.0, 3.4989435068300807)	(7.0, 2.8392973587696853)	(8.0, 2.4674664521326584)	(9.0, 2.0984784266343817)	('>10', 22.500912684550435)	('>50', 5.4795061798293165)	('>100', 7.5775433862836)	('>500', 1.4088013829679875)	('>1k', 0.7634966825647062)	('>5k', 0.0)	('>10k+', 0.9407101750242088)
qc_bundle_trimmed | SRR30333754_1	(1.0, 17.1849754996968)	(2.0, 10.89434516826569)	(3.0, 8.241242312650659)	(4.0, 5.9721627927396375)	(5.0, 4.501265481983769)	(6.0, 3.6243344208030583)	(7.0, 2.870696312815138)	(8.0, 2.513361787148982)	(9.0, 2.077176517314116)	('>10', 24.358835132212615)	('>50', 6.42457666834587)	('>100', 8.527214052432901)	('>500', 1.6241122817768703)	('>1k', 1.0781523062917828)	('>5k', 0.0)	('>10k+', 0.10754926552209944)
qc_bundle_trimmed | SRR30333754_2	(1.0, 17.14023973507422)	(2.0, 9.34647355226163)	(3.0, 7.710691549377864)	(4.0, 6.129403928903504)	(5.0, 4.7424967836042375)	(6.0, 3.791285123116248)	(7.0, 3.0685635468513905)	(8.0, 2.7180541838120567)	(9.0, 2.3601312714155718)	('>10', 24.870538250505764)	('>50', 6.131290393322109)	('>100', 8.23549468612441)	('>500', 1.566104482699)	('>1k', 0.858094040534429)	('>5k', 0.03956666080737161)	('>10k+', 1.29157181159025)
